time,x,y,z,vx,vy,vz,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b
0.000000000000000000e+00,0.000000000000000000e+00,-4.044836085078591357e-07,1.434186419908257959e-02,0.000000000000000000e+00,-4.044836085078591251e-06,1.434186419908257959e-01,-4.044836085078591357e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.124083641998103111e+01,3.598340847570260665e-06,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,-9.243768340749567243e-07,7.722018903830843439e-02,0.000000000000000000e+00,-5.198932255670975569e-06,6.287832483922585203e-01,-9.251662452580043327e-08,5.210207820738332885e-10,5.210206161842759052e-10,1.467333054563193251e+01,8.271765585255858304e-07,0.000000000000000000e+00
2.000000000000000111e-01,7.340804485103132203e-11,-1.626222650535875808e-06,1.829008639344852083e-01,7.340804485103131169e-10,-7.018458164609190416e-06,1.056806748961767628e+00,-1.630120588989890775e-07,2.153087041989465433e-09,2.153085289340648093e-09,1.433742718351005863e+01,1.361358093375919072e-06,0.000000000000000000e+00
3.000000000000000444e-01,4.086816272766238469e-10,-2.644926939945250091e-06,3.120926055686709111e-01,3.352735824255925042e-09,-1.018704289409374283e-05,1.291917416341856750e+00,-2.654132058675062347e-07,5.638389755091566258e-09,5.638375541211577759e-09,1.286549051051974502e+01,2.620446025929117556e-06,0.000000000000000000e+00
4.000000000000000222e-01,1.337615374148402208e-09,-4.175252868698837111e-06,4.484522151752111663e-01,9.289337468717782574e-09,-1.530325928753586851e-05,1.363596096065402552e+00,-4.190241529915465381e-07,1.203246591252593589e-08,1.203240576621942953e-08,1.158110248552920929e+01,4.665953209855666624e-06,0.000000000000000000e+00
5.000000000000000000e-01,3.431952568054043129e-09,-6.466784628761044916e-06,5.835510538905556155e-01,2.094337193905640673e-08,-2.291531760062207805e-05,1.350988387153444048e+00,-6.485789383807166008e-07,2.291962575284856030e-08,2.291945411368555678e-08,1.085885906228996767e+01,7.395520845697179140e-06,0.000000000000000000e+00
6.000000000000000888e-01,7.689879360433402899e-09,-9.846142655430586543e-06,7.149458380054111162e-01,4.257926792379359688e-08,-3.379358026669542473e-05,1.313947841148555007e+00,-9.865601224167535313e-07,4.066917180800544429e-08,4.066879022722239587e-08,1.059284520358880499e+01,1.086542223197671459e-05,0.000000000000000000e+00
7.000000000000000666e-01,1.580023856811814556e-08,-1.477395383838054561e-05,8.429776185771828967e-01,8.110359207684740674e-08,-4.927811182949958391e-05,1.280317805717717139e+00,-1.478952372586397700e-06,6.874982383386907259e-08,6.874910625294744041e-08,1.056440328801255646e+01,1.556786706044966862e-05,0.000000000000000000e+00
8.000000000000000444e-01,3.049216738350058874e-08,-2.193054460650219032e-05,9.686650972113427516e-01,1.469192881538244185e-07,-7.156590768121645391e-05,1.256874786341598549e+00,-2.193811535956918622e-06,1.121855555119566361e-07,1.121843584459225023e-07,1.061099767810147654e+01,2.237568637518840060e-05,0.000000000000000000e+00
9.000000000000000222e-01,5.601308622887929490e-08,-3.233251457529733150e-05,1.092814302897353373e+00,2.552091884537870881e-07,-1.040196996879513982e-04,1.241492056860105775e+00,-3.232897902911544893e-06,1.782317282650325296e-07,1.782298974333128849e-07,1.065393173792466719e+01,3.250217881344385752e-05,0.000000000000000000e+00
