run_type,ground_truth_csv,candidate_csv,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_mass,rmse_ux,rmse_uy,rmse_uz,rmse_sigma,rmse_thrust_force,rmse_xyz,rmse_vxyz,rmse_uxyz
ultra_short,trajectory_zoh_truth.csv,trajectory_zoh_direct_descent_ultra_short_1.csv,0,0,3.089628682,0,0,1.001057723,0.04637513065,0,0,1.101432393,0.6545879476,87.58865098,3.089628682,1.001057723,1.101432393
very_short,trajectory_zoh_truth.csv,trajectory_zoh_direct_descent_very_short_1.csv,0,0,1.592159552,0,0,1.014653559,0.05657160037,0,0,1.445624902,1.178899622,114.9442432,1.592159552,1.014653559,1.445624902
short,trajectory_zoh_truth.csv,trajectory_zoh_direct_descent_short_1.csv,0,0,1.61040723,0,0,1.042800371,0.03645142332,0,0,1.520395137,1.294540165,120.8086667,1.61040723,1.042800371,1.520395137
med,trajectory_zoh_truth.csv,trajectory_zoh_direct_descent_med_1.csv,0,0,1.430705707,0,0,1.01433415,0.03878932908,0,0,1.52314059,1.297199974,121.0361656,1.430705707,1.01433415,1.52314059
long,trajectory_zoh_truth.csv,trajectory_zoh_direct_descent_long_1.csv,0,0,1.345338592,0,0,0.9938839704,0.04105199549,0,0,1.518279267,1.291517344,120.6500455,1.345338592,0.9938839704,1.518279267
ultra_short,trajectory_zoh_truth.csv,trajectory_cgl_direct_descent_ultra_short_1.csv,0,0,4.163858703,0,0,2.697628605,0.5432601671,0,0,3.02718302,2.659527095,240.3013791,4.163858703,2.697628605,3.02718302
very_short,trajectory_zoh_truth.csv,trajectory_cgl_direct_descent_very_short_1.csv,0,0,2.877780197,0,0,2.613228986,0.5773143807,0,0,2.982231047,2.596963966,236.690649,2.877780197,2.613228986,2.982231047
short,trajectory_zoh_truth.csv,trajectory_cgl_direct_descent_short_1.csv,0,0,2.754151615,0,0,2.550271376,0.5513575563,0,0,2.938471131,2.556880712,233.1137874,2.754151615,2.550271376,2.938471131
med,trajectory_zoh_truth.csv,trajectory_cgl_direct_descent_med_1.csv,0,0,2.782805319,0,0,2.561993776,0.5512820938,0,0,2.948261343,2.563840058,233.9022307,2.782805319,2.561993776,2.948261343
long,trajectory_zoh_truth.csv,trajectory_cgl_direct_descent_long_1.csv,0,0,1.588801701,0,0,1.079650519,0.03415603043,0,0,2.080766356,1.897347622,163.5338254,1.588801701,1.079650519,2.080766356
