run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_long_1,coarse,16,1,155,6.538238,6.744748,Solved,7.500000
cgl_direct_descent_long_1,fine,1,1,13,1.735719,1.763001,Solved,7.500000
cgl_direct_descent_long_1,total,17,2,168,8.273957,8.522374,Solved,7.500000
cgl_direct_descent_long_2,coarse,16,1,155,6.555015,6.775856,Solved,7.500000
cgl_direct_descent_long_2,fine,1,1,13,1.626005,1.641482,Solved,7.500000
cgl_direct_descent_long_2,total,17,2,168,8.181020,8.428786,Solved,7.500000
cgl_direct_descent_long_3,coarse,16,1,155,6.859740,7.064095,Solved,7.500000
cgl_direct_descent_long_3,fine,1,1,13,1.617862,1.634520,Solved,7.500000
cgl_direct_descent_long_3,total,17,2,168,8.477602,8.714986,Solved,7.500000
cgl_direct_descent_long_4,coarse,16,1,155,6.618992,6.805473,Solved,7.500000
cgl_direct_descent_long_4,fine,1,1,13,1.654224,1.669266,Solved,7.500000
cgl_direct_descent_long_4,total,17,2,168,8.273216,8.489787,Solved,7.500000
cgl_direct_descent_long_5,coarse,16,1,155,6.439759,6.633729,Solved,7.500000
cgl_direct_descent_long_5,fine,1,1,13,1.580015,1.596342,Solved,7.500000
cgl_direct_descent_long_5,total,17,2,168,8.019774,8.245459,Solved,7.500000
cgl_direct_descent_long_6,coarse,16,1,155,6.575907,6.782789,Solved,7.500000
cgl_direct_descent_long_6,fine,1,1,13,1.662741,1.679288,Solved,7.500000
cgl_direct_descent_long_6,total,17,2,168,8.238648,8.475160,Solved,7.500000
cgl_direct_descent_long_7,coarse,16,1,155,6.567240,6.754315,Solved,7.500000
cgl_direct_descent_long_7,fine,1,1,13,1.621185,1.637866,Solved,7.500000
cgl_direct_descent_long_7,total,17,2,168,8.188425,8.404257,Solved,7.500000
cgl_direct_descent_long_8,coarse,16,1,155,6.597193,6.779032,Solved,7.500000
cgl_direct_descent_long_8,fine,1,1,13,1.663168,1.683242,Solved,7.500000
cgl_direct_descent_long_8,total,17,2,168,8.260360,8.473882,Solved,7.500000
cgl_direct_descent_long_9,coarse,16,1,155,6.567400,6.746959,Solved,7.500000
cgl_direct_descent_long_9,fine,1,1,13,1.700312,1.718122,Solved,7.500000
cgl_direct_descent_long_9,total,17,2,168,8.267711,8.476150,Solved,7.500000
cgl_direct_descent_long_10,coarse,16,1,155,6.508099,6.695070,Solved,7.500000
cgl_direct_descent_long_10,fine,1,1,13,1.605993,1.621101,Solved,7.500000
cgl_direct_descent_long_10,total,17,2,168,8.114092,8.325575,Solved,7.500000
