t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.000000000000002750460598422973,80.00000000000082,0,0,8.214054053292806,8.21405405642372,657.1243242634313
1,-0,-0,49.989648745039574,-0,-0,-0.2938820636455968,79.97998356981566,-0,-0,5.516873866094644,5.5168738675719435,441.23948116699506
2,0,0,49.95523932086995,0,0,-0.625449891915264,79.96167867455026,0,0,5.3597096916669145,5.359709691484778,428.57138415394263
3,-0,-0,49.89577945292846,-0,-0,-0.961193659355455,79.94356702696149,-0,-0,5.284178580513283,5.284178581068438,422.43608453369785
4,0,0,49.81090981546054,0,0,-1.3021771486301725,79.92569664777591,0,0,5.266255675617456,5.266255675754332,420.90915359902897
5,0,0,49.700482281570416,0,0,-1.6426108956229528,79.9078053857798,0,0,5.261444276777045,5.261444277117114,420.430465316825
6,-0,-0,49.564448602456785,-0,-0,-1.9854853454043146,79.8900285532742,-0,-0,5.221231940319751,5.22123194083475,417.12436879541224
7,0,0,49.40263501412719,0,0,-2.3293361512893482,79.8722998389544,0,0,5.236057933059366,5.236057933022809,418.21598920345355
8,0,0,49.215086340176285,0,0,-2.6718918851119176,79.85451649200874,0,0,5.2412622858204845,5.241262285879156,418.5384656419953
9,-0,-0,49.001820806027744,-0,-0,-3.0155463981771717,79.83678678336089,-0,-0,5.213993058642085,5.213993059192564,416.2684521127319
10,-0,-0,48.76271627447591,-0,-0,-3.3606090034431184,79.81912466085309,-0,-0,5.211141133775695,5.211141134257235,415.94872378214154
11,0,0,48.49775554416712,0,0,-3.7047369869454405,79.8014242075267,0,0,5.232077726884546,5.232077727025215,417.5272541698656
12,0,0,48.207033302789334,0,0,-4.04784086809443,79.78368140763786,0,0,5.233367134829398,5.233367134994662,417.5372961744312
13,-0,-0,47.89055799750751,-0,-0,-4.391721705074931,79.76597764982259,-0,-0,5.216407744354226,5.216407744740871,416.0918635485206
14,-0,-0,47.548252339826924,-0,-0,-4.736438222390921,79.74831556199806,-0,-0,5.2157563435914875,5.215756343929142,415.9477827832271
15,0,0,47.1801147670967,0,0,-5.08030454021568,79.73061899617834,0,0,5.235900743893176,5.2359007439599745,417.4616073131536
16,0,0,46.78624376380899,0,0,-5.422764674043082,79.71286287844465,0,0,5.248226501022427,5.248226500984543,418.3511594310201
17,0,0,46.366701464528504,0,0,-5.765156898914519,79.69510765011619,0,0,5.238463563660538,5.238463563787708,417.47991762713787
18,-0,-0,45.9214428348216,-0,-0,-6.108570663194953,79.67740247103524,-0,-0,5.225774756373182,5.225774756658721,416.3761584865222
19,-0,-0,45.45040781663916,-0,-0,-6.452278085221312,79.65971447300628,-0,-0,5.232472014299639,5.232472014507453,416.81722664710526
20,0,0,44.95363138691659,0,0,-6.794825955171896,79.64197810292407,0,0,5.253400685102655,5.253400685098296,418.39122232883193
21,0,0,44.43121930021038,0,0,-7.136016145772142,79.62418446081273,0,0,5.264958276379884,5.264958276284942,419.21800897695454
22,0,0,43.88323156934411,0,0,-7.4770906998107876,79.60638958099638,0,0,5.257226920919041,5.257226920934927,418.5088543823832
23,-0,-0,43.309633115273634,-0,-0,-7.819002341010126,79.58863640750445,-0,-0,5.246929375689279,5.2469293758504225,417.5959543375884
24,-0,-0,42.710377581969404,-0,-0,-8.161018119569546,79.57089188584332,-0,-0,5.257135765858184,5.25713576600709,418.3149816543017
25,0,0,42.085523402214825,0,0,-8.50134538299077,79.553075249113,0,0,5.289897236116227,5.289897236097743,420.827592884829
26,0,0,41.435244190328426,0,0,-8.839003771257621,79.53514239015463,0,0,5.32390050712908,5.323900506964768,423.43718490552783
27,0,0,40.75972122933753,0,0,-9.17475135306827,79.51712752654915,0,0,5.339239167661302,5.339239167520787,424.5609617896699
28,-0,-0,40.059043460881014,-0,-0,-9.509968625047879,79.49909286795817,-0,-0,5.3413960564228375,5.341396056443692,424.6361411341047
29,-0,-0,39.333236596553206,-0,-0,-9.844682302758239,79.48103963220643,-0,-0,5.357692935962658,5.3576929361166545,425.83500458044045
30,-0,-0,38.582402582710294,-0,-0,-10.176918887175932,79.46287902420326,-0,-0,5.408636563837879,5.408636563971399,429.7858329581318
31,0,0,37.80682284104156,0,0,-10.504261411985096,79.4445023784508,0,0,5.483694522001612,5.483694521994052,435.6493824958547
32,0,0,37.00690300402795,0,0,-10.826104039003623,79.42588259608985,0,0,5.549775786884063,5.549775786761802,440.7958400836758
33,0,0,36.1830066627345,0,0,-11.143947639513957,79.40708734343508,0,0,5.591898741475638,5.59189874137804,444.03639178000066
34,-0,-0,35.33539144264481,-0,-0,-11.45836618999872,79.3881425523862,-0,-0,5.654481631126006,5.654481631167679,448.89879379168065
35,-0,-0,34.46446105165078,-0,-0,-11.764087113708023,79.368811341065,-0,-0,5.845267042068412,5.845267042232837,463.9318971000728
36,-0,-0,33.57134876244553,-0,-0,-12.046715799055399,79.3484471513404,-0,-0,6.288475927999474,6.288475928158843,498.9807998353425
37,-0,-0,32.658580433320346,-0,-0,-12.28423051403202,79.32606147954593,-0,-0,7.051128446139579,7.051128446174456,559.3382486186434
38,0,0,31.730425084166267,0,0,-12.453575341850705,79.30062061070167,0,0,8.08871891056881,8.088718910474382,641.4404295536253
39,0,0,30.792645420485204,0,0,-12.539356912881477,79.27143643649401,0,0,9.247208408718649,9.247208408603854,733.0394935867533
40,0,0,29.85166076641793,0,0,-12.540072362945544,79.23844565663225,0,0,10.323920988185026,10.32392098817074,818.0514521856644
41,-0,-0,28.91344866750345,-0,-0,-12.468529869495768,79.2022275221076,-0,-0,11.15381095990696,11.153810960016862,883.4066733851284
42,-0,-0,27.982647228972933,-0,-0,-12.346359577789107,79.16375618099799,-0,-0,11.673259145444296,11.673259145583955,924.0990408275572
43,-0,-0,27.06220142106527,-0,-0,-12.195689686616042,79.12402647318066,-0,-0,11.929050522230089,11.92905052226969,943.8745093208431
44,0,0,26.15360458404867,0,0,-12.032273543942532,79.08374584420207,0,0,12.033868264892625,12.03386826477972,951.6833793833773
45,0,0,25.25749990922943,0,0,-11.863045020817934,79.0432255389883,0,0,12.099382133947515,12.09938213375292,956.374190896019
46,0,0,24.374284532747616,0,0,-11.688279162264923,79.00247825263446,0,0,12.186191489821391,12.186191489680477,962.7393281570536
47,-0,-0,23.504445933118244,-0,-0,-11.506060567496975,78.9614187064662,-0,-0,12.294041232371583,12.294041232372443,970.7549373438524
48,-0,-0,22.6485736250512,-0,-0,-11.31601362624099,78.92003062188088,-0,-0,12.388484760260171,12.388484760373213,977.6995966384374
49,-0,-0,21.807184235535328,-0,-0,-11.120397335766786,78.8784154474696,-0,-0,12.439626357912305,12.439626358019789,981.2180158707
50,0,0,20.980564982727785,0,0,-10.922704804202368,78.83672952019694,0,0,12.446326198079115,12.44632619807847,981.2276519981043
51,0,0,20.16876596587917,0,0,-10.725431561542763,78.79508433311892,0,0,12.433869667151312,12.433869667044501,979.7278090101969
52,0,0,19.371731935606704,0,0,-10.52882707814001,78.75349097115169,0,0,12.432689604647761,12.432689604541158,979.117708526759
53,0,0,18.58946301092482,0,0,-10.331373203070187,78.7118817026765,0,0,12.456874459771347,12.45687445978601,980.5040288626144
54,-0,-0,17.822090933096952,-0,-0,-10.131364994837387,78.67018061727657,-0,-0,12.497879068874449,12.497879069042492,983.2104036812332
55,-0,-0,17.069836425250895,-0,-0,-9.92828173411231,78.62836469737407,-0,-0,12.535498737757658,12.535498737993029,985.6457664158814
56,-0,-0,16.332904125148,-0,-0,-9.722997838647705,78.58647306533626,-0,-0,12.555409824702874,12.555409824873022,986.6853760132707
57,0,0,15.611406935261959,0,0,-9.516881691741428,78.54456673293565,0,0,12.559310399632372,12.559310399671466,986.4655938035775
58,0,0,14.905373642618498,0,0,-9.310653704633012,78.50267777502602,0,0,12.56107573580217,12.561075735769224,986.0780809953756
59,0,0,14.214820577799186,0,0,-9.103936416554395,78.46078941571673,0,0,12.573761660956587,12.573761660986355,986.5472658437274
60,-0,-0,13.539819776612228,-0,-0,-8.895769391818009,78.41885902510815,-0,-0,12.59881498369037,12.598814983876341,987.9846960894353
61,-0,-0,12.880507093801373,-0,-0,-8.685559898265902,78.37686038546056,-0,-0,12.625969094435971,12.625969094746022,989.583816945748
62,-0,-0,12.237029250439836,-0,-0,-8.47363581190831,78.33480817576412,-0,-0,12.64298172081307,12.642981721114054,990.3855478695841
