run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_descent_med_1,coarse,16,1,137,0.228012,0.281112,Solved,7.500000
zoh_direct_descent_med_1,fine,1,1,14,0.695433,0.706859,Solved,7.500000
zoh_direct_descent_med_1,total,17,2,151,0.923445,0.993332,Solved,7.500000
zoh_direct_descent_med_2,coarse,16,1,137,0.247976,0.320902,Solved,7.500000
zoh_direct_descent_med_2,fine,1,1,14,0.710005,0.720784,Solved,7.500000
zoh_direct_descent_med_2,total,17,2,151,0.957981,1.048144,Solved,7.500000
zoh_direct_descent_med_3,coarse,16,1,137,0.228531,0.287474,Solved,7.500000
zoh_direct_descent_med_3,fine,1,1,14,0.690897,0.702910,Solved,7.500000
zoh_direct_descent_med_3,total,17,2,151,0.919428,0.996449,Solved,7.500000
zoh_direct_descent_med_1,coarse,16,1,137,0.241413,0.304829,Solved,7.500000
zoh_direct_descent_med_1,fine,1,1,14,0.710205,0.722419,Solved,7.500000
zoh_direct_descent_med_1,total,17,2,151,0.951618,1.032967,Solved,7.500000
zoh_direct_descent_med_2,coarse,16,1,137,0.239254,0.305566,Solved,7.500000
zoh_direct_descent_med_2,fine,1,1,14,0.681496,0.693116,Solved,7.500000
zoh_direct_descent_med_2,total,17,2,151,0.920749,1.004497,Solved,7.500000
zoh_direct_descent_med_3,coarse,16,1,137,0.228822,0.286769,Solved,7.500000
zoh_direct_descent_med_3,fine,1,1,14,0.677758,0.689819,Solved,7.500000
zoh_direct_descent_med_3,total,17,2,151,0.906580,0.982867,Solved,7.500000
zoh_direct_descent_med_4,coarse,16,1,137,0.231187,0.290947,Solved,7.500000
zoh_direct_descent_med_4,fine,1,1,14,0.730084,0.741519,Solved,7.500000
zoh_direct_descent_med_4,total,17,2,151,0.961271,1.038550,Solved,7.500000
zoh_direct_descent_med_5,coarse,16,1,137,0.264246,0.335912,Solved,7.500000
zoh_direct_descent_med_5,fine,1,1,14,0.683605,0.694962,Solved,7.500000
zoh_direct_descent_med_5,total,17,2,151,0.947851,1.038045,Solved,7.500000
zoh_direct_descent_med_6,coarse,16,1,137,0.234606,0.295909,Solved,7.500000
zoh_direct_descent_med_6,fine,1,1,14,0.693110,0.705981,Solved,7.500000
zoh_direct_descent_med_6,total,17,2,151,0.927716,1.007605,Solved,7.500000
zoh_direct_descent_med_7,coarse,16,1,137,0.232505,0.288977,Solved,7.500000
zoh_direct_descent_med_7,fine,1,1,14,0.696073,0.707983,Solved,7.500000
zoh_direct_descent_med_7,total,17,2,151,0.928578,1.002908,Solved,7.500000
zoh_direct_descent_med_8,coarse,16,1,137,0.246524,0.313029,Solved,7.500000
zoh_direct_descent_med_8,fine,1,1,14,0.692909,0.705750,Solved,7.500000
zoh_direct_descent_med_8,total,17,2,151,0.939433,1.025508,Solved,7.500000
zoh_direct_descent_med_9,coarse,16,1,137,0.230869,0.286661,Solved,7.500000
zoh_direct_descent_med_9,fine,1,1,14,0.700180,0.710451,Solved,7.500000
zoh_direct_descent_med_9,total,17,2,151,0.931050,1.002541,Solved,7.500000
zoh_direct_descent_med_10,coarse,16,1,137,0.240018,0.301081,Solved,7.500000
zoh_direct_descent_med_10,fine,1,1,14,0.698827,0.711371,Solved,7.500000
zoh_direct_descent_med_10,total,17,2,151,0.938845,1.018216,Solved,7.500000
