run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_short_1,coarse,20,1,140,0.686041,0.763574,Solved,9.500000
cgl_direct_descent_short_1,fine,1,1,12,0.328955,0.336523,Solved,9.500000
cgl_direct_descent_short_1,total,21,2,152,1.014996,1.107245,Solved,9.500000
cgl_direct_descent_short_2,coarse,20,1,140,0.717971,0.804261,Solved,9.500000
cgl_direct_descent_short_2,fine,1,1,12,0.335562,0.341997,Solved,9.500000
cgl_direct_descent_short_2,total,21,2,152,1.053534,1.152011,Solved,9.500000
cgl_direct_descent_short_3,coarse,20,1,140,0.693975,0.768330,Solved,9.500000
cgl_direct_descent_short_3,fine,1,1,12,0.327657,0.334552,Solved,9.500000
cgl_direct_descent_short_3,total,21,2,152,1.021632,1.109196,Solved,9.500000
cgl_direct_descent_short_4,coarse,20,1,140,0.693167,0.768720,Solved,9.500000
cgl_direct_descent_short_4,fine,1,1,12,0.316760,0.324305,Solved,9.500000
cgl_direct_descent_short_4,total,21,2,152,1.009926,1.099695,Solved,9.500000
cgl_direct_descent_short_5,coarse,20,1,140,0.699826,0.777317,Solved,9.500000
cgl_direct_descent_short_5,fine,1,1,12,0.327112,0.333770,Solved,9.500000
cgl_direct_descent_short_5,total,21,2,152,1.026939,1.117077,Solved,9.500000
cgl_direct_descent_short_6,coarse,20,1,140,0.704928,0.790822,Solved,9.500000
cgl_direct_descent_short_6,fine,1,1,12,0.319305,0.326332,Solved,9.500000
cgl_direct_descent_short_6,total,21,2,152,1.024233,1.124049,Solved,9.500000
cgl_direct_descent_short_7,coarse,20,1,140,0.698113,0.776930,Solved,9.500000
cgl_direct_descent_short_7,fine,1,1,12,0.315945,0.322799,Solved,9.500000
cgl_direct_descent_short_7,total,21,2,152,1.014058,1.105819,Solved,9.500000
cgl_direct_descent_short_8,coarse,20,1,140,0.712246,0.785281,Solved,9.500000
cgl_direct_descent_short_8,fine,1,1,12,0.353896,0.360426,Solved,9.500000
cgl_direct_descent_short_8,total,21,2,152,1.066142,1.151241,Solved,9.500000
cgl_direct_descent_short_9,coarse,20,1,140,0.703533,0.774128,Solved,9.500000
cgl_direct_descent_short_9,fine,1,1,12,0.335360,0.341749,Solved,9.500000
cgl_direct_descent_short_9,total,21,2,152,1.038892,1.121215,Solved,9.500000
cgl_direct_descent_short_10,coarse,20,1,140,0.713724,0.792531,Solved,9.500000
cgl_direct_descent_short_10,fine,1,1,12,0.337214,0.343477,Solved,9.500000
cgl_direct_descent_short_10,total,21,2,152,1.050939,1.142294,Solved,9.500000
