group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_short,cgl_direct_descent_short_1,0.328955,,
cgl_direct_descent_short,cgl_direct_descent_short_2,0.335562,,
cgl_direct_descent_short,cgl_direct_descent_short_3,0.327657,,
cgl_direct_descent_short,cgl_direct_descent_short_4,0.316760,,
cgl_direct_descent_short,cgl_direct_descent_short_5,0.327112,,
cgl_direct_descent_short,cgl_direct_descent_short_6,0.319305,,
cgl_direct_descent_short,cgl_direct_descent_short_7,0.315945,,
cgl_direct_descent_short,cgl_direct_descent_short_8,0.353896,,
cgl_direct_descent_short,cgl_direct_descent_short_9,0.335360,,
cgl_direct_descent_short,cgl_direct_descent_short_10,0.337214,,
cgl_direct_descent_short,set_1_avg,,0.329777,0.003628
zoh_direct_descent_short,zoh_direct_descent_short_1,0.308280,,
zoh_direct_descent_short,zoh_direct_descent_short_2,0.320185,,
zoh_direct_descent_short,zoh_direct_descent_short_3,0.325284,,
zoh_direct_descent_short,zoh_direct_descent_short_4,0.320617,,
zoh_direct_descent_short,zoh_direct_descent_short_5,0.317772,,
zoh_direct_descent_short,zoh_direct_descent_short_6,0.313695,,
zoh_direct_descent_short,zoh_direct_descent_short_7,0.312791,,
zoh_direct_descent_short,zoh_direct_descent_short_8,0.306902,,
zoh_direct_descent_short,zoh_direct_descent_short_9,0.310776,,
zoh_direct_descent_short,zoh_direct_descent_short_10,0.305862,,
zoh_direct_descent_short,set_1_avg,,0.314216,0.002067
