t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000014,0,0,0.00000000000004898923260224153,80.0000000000129,0,0,5.124120246042705,5.124120260876533,409.9296196834825
1,0,0,50.000000000000014,0,0,-0.23429398769776774,79.98839336611313,0,0,5.1279680351127075,5.127968049593372,410.17792436144947
2,0,0,49.988285300615125,0,0,-0.46839558594208525,79.97677970241699,0,0,5.132030732161892,5.132030742370319,410.44329129214543
3,0,0,49.96486552131802,0,0,-0.7022940493339442,79.96515852587332,0,0,5.136174655448889,5.136174665349469,410.7150205395432
4,0,0,49.92975081885133,0,0,-0.9359853165614542,79.95352965634677,0,0,5.140448608765202,5.1404486179342,410.9970102878351
5,0,0,49.88295155302326,0,0,-1.1694628861231495,79.94189280334798,0,0,5.145931011096411,5.145931012194294,411.3754652624934
6,0,0,49.8244784087171,0,0,-1.4026663355682851,79.93024523580439,0,0,5.149871330394881,5.149871331317932,411.6304783713011
7,0,0,49.75434509193869,0,0,-1.6356727690484982,79.91859044854297,0,0,5.151148054750866,5.151148055460982,411.6724917274433
8,0,0,49.67256145348627,0,0,-1.8686153663109129,79.9069344719387,0,0,5.153624566104096,5.153624574155231,411.8103404966535
9,0,0,49.579130685170725,0,0,-2.1014341380056667,79.89527459271612,0,0,5.1568302068798415,5.156830219315508,412.006365406678
10,0,0,49.47405897827045,0,0,-2.334092627661634,79.8836091638205,0,0,5.160528579661605,5.160528592095921,412.24164813641335
11,0,0,49.357354346887355,0,0,-2.566566198678514,79.87193707380918,0,0,5.164535325182706,5.164535335989374,412.50144050845773
12,0,0,49.22902603695344,0,0,-2.79883943241934,79.86025762877846,0,0,5.168743565707309,5.168743574733449,412.77719277447665
13,0,0,49.08908406533247,0,0,-3.0309022541339368,79.84857037687932,0,0,5.17309671647698,5.17309672403532,413.0643772320155
14,0,0,48.93753895262577,0,0,-3.26274741831005,79.83687499444794,0,0,5.177574336125545,5.177574342573874,413.3613550477169
15,0,0,48.77440158171028,0,0,-3.494368701503737,79.82517120421925,0,0,5.182181438475352,5.182181444097302,413.66852053762216
16,0,0,48.59968314663508,0,0,-3.7257596295799336,79.81345871776408,0,0,5.186939371457372,5.186939376454511,413.98757139535815
17,0,0,48.41339516515608,0,0,-3.9569126610070304,79.80173719858958,0,0,5.1918794345148,5.191879439026444,414.32099819991197
18,0,0,48.21554953210575,0,0,-4.187818689281256,79.79000623969071,0,0,5.197039119261606,5.197039123385502,414.6717837538003
19,0,0,48.00615859764169,0,0,-4.418466733318143,79.77826534961508,0,0,5.202460000901844,5.2024600047095415,415.04323442270606
20,0,0,47.785235260975774,0,0,-4.648843733273019,79.76651394330119,0,0,5.208186302153768,5.208186305700901,415.4388652900588
21,0,0,47.55279307431212,0,0,-4.878934418165299,79.75475133617095,0,0,5.214263558818644,5.214263562152257,415.8622935348387
22,0,0,47.308846353403865,0,0,-5.108721240224336,79.74297674123855,0,0,5.2207372660927716,5.220737269255496,416.3171303821532
23,0,0,47.053410291392645,0,0,-5.338184376919668,79.7311892692785,0,0,5.227651760901222,5.227651763934047,416.80689198229237
24,0,0,46.78650107254666,0,0,-5.567301788874578,79.71938793151891,0,0,5.235049854953529,5.235049857896512,417.3349702278822
25,0,0,46.50813598310293,0,0,-5.796049296126873,79.70757164315765,0,0,5.242973789220038,5.242973792111781,417.9047089274539
26,0,0,46.218333518296596,0,0,-6.024400606665844,79.69573922472503,0,0,5.251467821995312,5.251467824871449,418.5196100887731
27,0,0,45.9171134879633,0,0,-6.252327215566051,79.68388939760588,0,0,5.260582226412639,5.260582229303913,419.18365229647605
28,0,0,45.604497127185006,0,0,-6.479798104245394,79.67202077054397,0,0,5.270377867527754,5.27037787045797,419.90165493028644
29,0,0,45.280507221972734,0,0,-6.706779210868982,79.66013181584248,0,0,5.280930142530008,5.280930145514867,420.67959126419623
30,0,0,44.94516826142929,0,0,-6.9332327037424575,79.64822083669112,0,0,5.292331131450354,5.292331134496903,421.52475869865316
31,0,0,44.59850662624216,0,0,-7.159116147169916,79.63628592968178,0,0,5.304689350686581,5.3046893537935365,422.4457578994145
32,0,0,44.240550818883676,0,0,-7.384381679635566,79.62432494791177,0,0,5.31812719337073,5.31812719652957,423.452287759277
33,0,0,43.871331734901894,0,0,-7.608975319967008,79.61233546988653,0,0,5.332776873148363,5.332776876344964,424.55482141114004
34,0,0,43.49088296890354,0,0,-7.832836476309569,79.60031477760786,0,0,5.348776040729643,5.348776043946188,425.7642565170067
35,0,0,43.09924114508807,0,0,-8.055897674273066,79.58825984454994,0,0,5.366264287238423,5.366264290455569,427.0916364872602
36,0,0,42.69644626137441,0,0,-8.278084459911126,79.57616733153539,0,0,5.385381372610874,5.385381375809459,428.54800925101665
37,0,0,42.282542038378864,0,0,-8.499315391280563,79.56403358661099,0,0,5.406267519077998,5.406267522240236,430.14445046612593
38,0,0,41.85757626881484,0,0,-8.719502015326647,79.55185464425928,0,0,5.429065877109256,5.4290658802196425,431.8922595099035
39,0,0,41.42160116804851,0,0,-8.938548721471166,79.53962621907141,0,0,5.453927388477258,5.453927391522687,433.8033459054373
40,0,0,40.974673731974946,0,0,-9.156352352047287,79.52734368846814,0,0,5.4810189243220115,5.481018927291959,435.8908757575545
41,0,0,40.51685611437258,0,0,-9.372801405831172,79.51500205713265,0,0,5.51053662811433,5.510536631000368,438.1703313204158
42,0,0,40.048216044081016,0,0,-9.587774574425442,79.50259589143178,0,0,5.542728006782452,5.542728009578103,440.66126485934643
43,0,0,39.568827315359755,0,0,-9.801138174086304,79.49011920420172,0,0,5.577928611492886,5.577928614193272,443.39021024009685
44,0,0,39.078770406655444,0,0,-10.012741743511649,79.47756525708276,0,0,5.616622332811912,5.616622335413663,446.3954679804471
45,0,0,38.57813331947986,0,0,-10.22241062687104,79.46492622739736,0,0,5.659537970138991,5.659537972639813,449.7347672782491
46,0,0,38.06701278813631,0,0,-10.42993372836408,79.4521926581084,0,0,5.707796690677074,5.707796693075945,453.4969623209884
47,0,0,37.545516101718114,0,0,-10.635043893830217,79.43935257665214,0,0,5.763119445419224,5.763119447716087,457.8184775660177
48,0,0,37.01376390702659,0,0,-10.837387921559246,79.42639014817266,0,0,5.828081618380564,5.828081620576429,462.90348443688816
49,0,0,36.47189451094864,0,0,-11.036483840640209,79.41328375756879,0,0,5.906359361424984,5.906359363521905,469.0433919430151
50,0,0,35.92007031891663,0,0,-11.231665872568952,79.4000035397696,0,0,6.002890765921174,6.00289076792227,476.6295480629915
51,0,0,35.35848702528818,0,0,-11.422021334272886,79.38650855046484,0,0,6.124044713068115,6.124044714977761,486.1665279774109
52,0,0,34.78738595857454,0,0,-11.606319098619474,79.37274356072318,0,0,6.27863366993786,6.278633671761737,498.35238019570005
53,0,0,34.207070003643565,0,0,-11.782887415122577,79.35863357990422,0,0,6.482273517401557,6.482273519146738,514.424368832187
54,0,0,33.617925632887435,0,0,-11.949273739252494,79.3440685906606,0,0,6.769053761716741,6.769053763391675,537.0842659635222
55,0,0,33.020461945924815,0,0,-12.101321051166652,79.32886208944986,0,0,7.209152216012053,7.209152217626543,571.893841925872
56,0,0,32.41539589336649,0,0,-12.231363440366046,79.3126701233592,0,0,7.900480764854322,7.900480766419224,626.6082247188355
57,0,0,31.80382772134818,0,0,-12.326839402123328,79.2949292087368,0,0,8.84453609076087,8.844536092287909,701.326863201001
58,0,0,31.187485751242022,0,0,-12.375112597585282,79.27507307979072,0,0,9.79489957825544,9.794899579757306,776.4913798754113
59,0,0,30.568730121362755,0,0,-12.375867618672508,79.2530891713797,0,0,10.508146359897193,10.508146361387231,832.8030604868412
60,0,0,29.94993674042913,0,0,-12.34096030067765,79.22951121312882,0,0,10.977668021413413,10.977668022905725,869.7552715965796
61,0,0,29.33288872539525,0,0,-12.28257689960698,79.20488724361714,0,0,11.286380316125692,11.2863803176344,893.9364803273154
62,0,0,28.7187598804149,0,0,-12.208757883800697,79.17957878139374,0,0,11.499188837662354,11.499188839201052,910.5009284938099
63,0,0,28.10832198622487,0,0,-12.124298441917581,79.15380143653995,0,0,11.654010602647793,11.65401060422984,922.4592411813146
64,0,0,27.502107064128992,0,0,-12.032097911785195,79.12768559512836,0,0,11.772111584066716,11.772111585704751,931.4999442147995
65,0,0,26.90050216853973,0,0,-11.933992332581864,79.10131384550698,0,0,11.865746425521234,11.865746427226913,938.5961320163577
66,0,0,26.303802551910643,0,0,-11.831205011305807,79.07474123052046,0,0,11.942296346505497,11.94229634828891,944.3339932981121
67,0,0,25.712242301345356,0,0,-11.724590193980537,79.04800619979413,0,0,12.006414813793246,12.006414815663769,949.0831526380285
68,0,0,25.126012791646325,0,0,-11.614769453290881,79.02113674005314,0,0,12.061163003248195,12.061163005214084,953.0868109237456
69,0,0,24.545274318981782,0,0,-11.50221130312848,78.99415395379675,0,0,12.108633589770946,12.108633591838732,956.5112659604807
70,0,0,23.970163753825364,0,0,-11.387279623639941,78.96707423618794,0,0,12.150307762838153,12.150307765013274,959.4742551005711
71,0,0,23.400799772643364,0,0,-11.27026423549804,78.93991064964479,0,0,12.18726722012939,12.187267222415995,962.0617854203589
72,0,0,22.837286560868467,0,0,-11.15140087449158,78.91267382202214,0,0,12.220324445071599,12.220324447472512,964.3384769332188
73,0,0,22.27971651714389,0,0,-11.03088465223801,78.8853725520076,0,0,12.250105217178472,12.25010521969588,966.3541138584156
74,0,0,21.72817228453199,0,0,-10.908879391379099,78.8580142290741,0,0,12.277102346991441,12.277102349626034,968.14791157085
75,0,0,21.182728314963036,0,0,-10.78552427402954,78.83060513264746,0,0,12.301711573462274,12.3017115762144,969.7513675033239
76,0,0,20.643452101261563,0,0,-10.660938695356437,78.8031506505745,0,0,12.324256152556481,12.324256155424695,971.190214246178
77,0,0,20.11040516649374,0,0,-10.535225887728627,78.7756554423077,0,0,12.345004118052097,12.345004121034739,972.4857908375416
78,0,0,19.58364387210731,0,0,-10.408475681826037,78.7481235632691,0,0,12.364180700298558,12.364180703392629,973.656029545698
79,0,0,19.06322008801601,0,0,-10.280766646811122,78.7205585612856,0,0,12.381977472006989,12.381977475209359,974.7161826896452
80,0,0,18.549181755675455,0,0,-10.152167773210788,78.69296355244823,0,0,12.398559251074998,12.398559254381325,975.6793712477147
81,0,0,18.041573367014912,0,0,-10.022739810657054,78.66534128144228,0,0,12.414069414549575,12.414069417955213,976.5570071870567
82,0,0,17.540436376482063,0,0,-9.892536339929594,78.6376941699245,0,0,12.428634059692135,12.428634063190783,977.3591241359773
83,0,0,17.045809559485583,0,0,-9.761604636945005,78.61002435553817,0,0,12.442365299265838,12.44236530285144,978.0946392157905
84,0,0,16.557729327638338,0,0,-9.629986371981731,78.58233372351725,0,0,12.455363875719838,12.455363879385457,978.7715607296576
85,0,0,16.076230009039254,0,0,-9.49771817819576,78.5546239324124,0,0,12.4677212088485,12.467721212586628,979.397150855256
86,0,0,15.601344100129467,0,0,-9.364832117753355,78.52689643521053,0,0,12.47952095438048,12.479520958182508,979.9780495456756
87,0,0,15.1331024942418,0,0,-9.231356070034352,78.499152496948,0,0,12.490840120899623,12.490840124757238,980.520363465496
88,0,0,14.671534690740085,0,0,-9.097314063989392,78.47139320980614,0,0,12.501749780131002,12.501749784035297,981.0297228072673
89,0,0,14.216668987540617,0,0,-8.962726574982865,78.44361950659813,0,0,12.512315401058986,12.512315405001022,981.5113084672188
90,0,0,13.768532658791475,0,0,-8.82761080492994,78.4158321734872,0,0,12.522596848264108,12.522596852234686,981.9698528297181
91,0,0,13.327152118544978,0,0,-8.691980962516757,78.38803186268233,0,0,12.532648092467669,12.532648096457638,982.4096179961405
92,0,0,12.892553070419142,0,0,-8.5558485578934,78.36021910574962,0,0,12.542516705139924,12.542516709140791,982.8343571522893
93,0,0,12.464760642524471,0,0,-8.419222722636428,78.33239432801854,0,0,12.552243222421062,12.55224322642498,983.2472657998848
94,0,0,12.043799506392654,0,0,-8.282110561515402,78.30455786436674,0,0,12.56186048536287,12.561860489362008,983.650931260199
95,0,0,11.629693978316885,0,0,-8.144517537247285,78.2767099764362,0,0,12.571393072639726,12.571393076627945,984.0472895467989
96,0,0,11.22246810145452,0,0,-8.006447883615328,78.24885087106797,0,0,12.58085694474335,12.580856948714768,984.4375988994622
97,0,0,10.822145707273755,0,0,-7.86790503637819,78.22098071948781,0,0,12.590259409010871,12.590259412960824,984.8224384855894
98,0,0,10.428750455454846,0,0,-7.728892065927676,78.19309967652725,0,0,12.599599495344094,12.599599499268505,985.2017392237633
99,0,0,10.042305852158465,0,0,-7.589412091160502,78.16520789897386,0,0,12.608868791550442,12.608868795446968,985.5748504624237
100,0,0,9.662835247600443,0,0,-7.449468651583011,78.13730556203132,0,0,12.618052744800544,12.618052748667159,985.940642918308
101,0,0,9.290361815021292,0,0,-7.309066014343015,78.10939287286874,0,0,12.627132375060706,12.627132378897059,986.2976435413368
102,0,0,8.924908514304141,0,0,-7.168209395590013,78.08147008035078,0,0,12.636086293050422,12.63608629685616,986.6441938235472
103,0,0,8.566498044524643,0,0,-7.026905080937525,78.05353748028693,0,0,12.644892858868118,12.644892862643479,986.9786186938753
104,0,0,8.215152790477768,0,0,-6.885160437994154,78.02559541590024,0,0,12.65353228527503,12.653532289020609,987.2993906729012
105,0,0,7.870894768578062,0,0,-6.742983823730437,77.99764427365017,0,0,12.661988476446366,12.66198848016244,987.6052729829213
106,0,0,7.533745577391541,0,0,-6.6003843999081555,77.96968447500313,0,0,12.67025041749579,12.670250421182077,987.8954272714235
107,0,0,7.203726357396136,0,0,-6.457371879033403,77.94171646515565,0,0,12.678312979673617,12.678312983331516,988.1694755182237
108,0,0,6.880857763444467,0,0,-6.313956230049759,77.91374070000406,0,0,12.686177083371705,12.686177086999606,988.4275117481567
109,0,0,6.56515995194198,0,0,-6.170147375881212,77.88575763278247,0,0,12.693849243029788,12.693849246625755,988.6700655696974
110,0,0,6.256652583147921,0,0,-6.025954913729762,77.8577677017342,0,0,12.701340595989963,12.701340599551807,988.8980256231928
111,0,0,5.955354837461434,0,0,-5.881387883930303,77.82977131994893,0,0,12.70866556664683,12.708665570170826,989.112534833832
112,0,0,5.66128544326492,0,0,-5.736454605598002,77.80176886816434,0,0,12.715840340636282,12.715840344118678,989.3148711466641
113,0,0,5.3744627129850215,0,0,-5.591162588566229,77.77376069094541,0,0,12.722881309350829,12.722881312785086,989.5063262527535
114,0,0,5.094904583556711,0,0,-5.44551852309873,77.7457470962943,0,0,12.729803613799373,12.72980361717998,989.6880923439392
115,0,0,4.8226286574017765,0,0,-5.299528342408805,77.71772835846772,0,0,12.736619865473171,12.736619868795167,989.8611629099076
116,0,0,4.557652240281337,0,0,-5.15319734913519,77.689704723601,0,0,12.743339083079803,12.743339086337762,990.0262505571942
