run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_ultra_short_1,coarse,20,1,140,0.723292,0.797710,Solved,9.500000
cgl_direct_descent_ultra_short_1,fine,1,1,11,0.029981,0.034255,Solved,9.500000
cgl_direct_descent_ultra_short_1,total,21,2,151,0.753273,0.838131,Solved,9.500000
cgl_direct_descent_ultra_short_2,coarse,20,1,140,0.725865,0.804608,Solved,9.500000
cgl_direct_descent_ultra_short_2,fine,1,1,11,0.029714,0.034430,Solved,9.500000
cgl_direct_descent_ultra_short_2,total,21,2,151,0.755578,0.846085,Solved,9.500000
cgl_direct_descent_ultra_short_3,coarse,20,1,140,0.726864,0.810336,Solved,9.500000
cgl_direct_descent_ultra_short_3,fine,1,1,11,0.027677,0.031415,Solved,9.500000
cgl_direct_descent_ultra_short_3,total,21,2,151,0.754542,0.846907,Solved,9.500000
cgl_direct_descent_ultra_short_4,coarse,20,1,140,0.724066,0.800624,Solved,9.500000
cgl_direct_descent_ultra_short_4,fine,1,1,11,0.029668,0.033421,Solved,9.500000
cgl_direct_descent_ultra_short_4,total,21,2,151,0.753734,0.839564,Solved,9.500000
cgl_direct_descent_ultra_short_5,coarse,20,1,140,0.725924,0.799715,Solved,9.500000
cgl_direct_descent_ultra_short_5,fine,1,1,11,0.029907,0.033527,Solved,9.500000
cgl_direct_descent_ultra_short_5,total,21,2,151,0.755831,0.838953,Solved,9.500000
cgl_direct_descent_ultra_short_6,coarse,20,1,140,0.731254,0.810690,Solved,9.500000
cgl_direct_descent_ultra_short_6,fine,1,1,11,0.028555,0.033993,Solved,9.500000
cgl_direct_descent_ultra_short_6,total,21,2,151,0.759809,0.851802,Solved,9.500000
cgl_direct_descent_ultra_short_7,coarse,20,1,140,0.723166,0.795844,Solved,9.500000
cgl_direct_descent_ultra_short_7,fine,1,1,11,0.027598,0.031157,Solved,9.500000
cgl_direct_descent_ultra_short_7,total,21,2,151,0.750765,0.832467,Solved,9.500000
cgl_direct_descent_ultra_short_8,coarse,20,1,140,0.737480,0.819506,Solved,9.500000
cgl_direct_descent_ultra_short_8,fine,1,1,11,0.029711,0.033363,Solved,9.500000
cgl_direct_descent_ultra_short_8,total,21,2,151,0.767191,0.858674,Solved,9.500000
cgl_direct_descent_ultra_short_9,coarse,20,1,140,0.732393,0.803902,Solved,9.500000
cgl_direct_descent_ultra_short_9,fine,1,1,11,0.030559,0.034812,Solved,9.500000
cgl_direct_descent_ultra_short_9,total,21,2,151,0.762952,0.843727,Solved,9.500000
cgl_direct_descent_ultra_short_10,coarse,20,1,140,0.723682,0.795361,Solved,9.500000
cgl_direct_descent_ultra_short_10,fine,1,1,11,0.027733,0.032195,Solved,9.500000
cgl_direct_descent_ultra_short_10,total,21,2,151,0.751414,0.832266,Solved,9.500000
