t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999999,0,0,0.0000000000000010063424881463004,80.00000000000033,0,0,12.499999960628315,12.499999961777057,999.9999968502693
1,0,0,50.010748551672236,0,0,0.21198851516447745,79.94819037008494,0,0,11.596972289664542,11.59697229037273,927.1569483307007
2,0,0,50.03768632391439,0,0,0.34212672598990884,79.90011782547502,0,0,10.776117087162984,10.776117087515384,861.0130249654371
3,0,0,50.073401904676565,0,0,0.39801827396787437,79.85543180063432,0,0,10.03318759856683,10.033187598637864,801.2045280203236
4,0,0,50.11118725792387,0,0,0.38686946418608087,79.81380092052359,0,0,9.36406530944324,9.364065309297793,747.3816444146838
5,-0,-0,50.145000552726216,-0,-0,0.31550136490132064,79.77491227078734,-0,-0,8.764758193087111,8.764758192781313,699.2078159281889
6,-0,-0,50.169430133898956,-0,-0,0.19036174063478267,79.73847070033615,-0,-0,8.23139895812482,8.231398957706778,656.3591646452136
7,-0,-0,50.17965961838052,-0,-0,0.01753681878972248,79.70419815345,-0,-0,7.760243296117972,7.760243295628486,618.5239693927688
8,-0,-0,50.171434101530615,-0,-0,-0.19723711020851342,79.6718330287821,-0,-0,7.3476681291671495,7.347668128640358,585.4021883379089
9,-0,-0,50.141027457534506,-0,-0,-0.44856225925010484,79.64112956291142,-0,-0,6.990169857515672,6.9901698569797,556.7050232891636
10,-0,-0,50.085210718096974,-0,-0,-0.7313680773560277,79.61185723630089,-0,-0,6.684362607153315,6.684362606630859,532.1545215963578
11,-0,-0,50.00122151361163,-0,-0,-1.040900148970949,79.58380019975212,-0,-0,6.426976477420095,6.426976476928986,511.4832118675075
12,-0,-0,49.88673456098941,-0,-0,-1.3727092597337884,79.55675671962499,-0,-0,6.214855788609998,6.214855788163738,494.43377002199867
13,-0,-0,49.739833182331324,-0,-0,-1.7226406287259066,79.5305386402809,-0,-0,6.0449573295747365,6.044957329182987,480.75871247859277
14,-0,-0,49.558981838629855,-0,-0,-2.0868233071969438,79.50497086236862,-0,-0,5.914348605327483,5.914348604996533,470.220113536452
15,-0,-0,49.342999662683816,-0,-0,-2.461659743768305,79.4798908357256,-0,-0,5.820206084646643,5.820206084379855,462.5893442491411
16,-0,-0,49.091034975411056,-0,-0,-2.843815516114285,79.45514806580528,-0,-0,5.759813447679586,5.759813447477787,457.6468303167979
17,-0,-0,48.802540769743864,-0,-0,-3.2302092291208315,79.43060363266993,-0,-0,5.730559833546398,5.730559833408272,455.1818267317229
18,-0,-0,48.47725114629169,-0,-0,-3.6180025795219715,79.40612972170342,-0,-0,5.729938087943636,5.729938087866074,454.9922071085816
19,0,0,48.11515868495537,0,0,-4.004590587013861,79.38160916530502,0,0,5.755543010748071,5.755543010726489,456.88426581330634
20,0,0,47.716492736678326,0,0,-4.387591991846483,79.35693499492507,0,0,5.8050696036204394,5.805069603649086,460.67253117552264
21,0,0,47.28169861951843,0,0,-4.764839818893006,79.33201000288456,0,0,5.876311317609194,5.876311317681418,466.17958822863636
