group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_1,0.029981,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_2,0.029714,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_3,0.027677,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_4,0.029668,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_5,0.029907,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_6,0.028555,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_7,0.027598,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_8,0.029711,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_9,0.030559,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_10,0.027733,,
cgl_direct_descent_ultra_short,set_1_avg,,0.029110,0.000351
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_1,0.025337,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_2,0.025000,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_3,0.024678,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_4,0.026244,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_5,0.024264,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_6,0.024944,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_7,0.025131,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_8,0.024594,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_9,0.025175,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_10,0.024173,,
zoh_direct_descent_ultra_short,set_1_avg,,0.024954,0.000188
