run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_descent_ultra_short_1,coarse,16,1,137,0.230104,0.284207,Solved,7.500000
zoh_direct_descent_ultra_short_1,fine,1,1,10,0.025337,0.029512,Solved,7.500000
zoh_direct_descent_ultra_short_1,total,17,2,147,0.255442,0.317742,Solved,7.500000
zoh_direct_descent_ultra_short_2,coarse,16,1,137,0.229652,0.289298,Solved,7.500000
zoh_direct_descent_ultra_short_2,fine,1,1,10,0.025000,0.029041,Solved,7.500000
zoh_direct_descent_ultra_short_2,total,17,2,147,0.254653,0.322839,Solved,7.500000
zoh_direct_descent_ultra_short_3,coarse,16,1,137,0.241695,0.305894,Solved,7.500000
zoh_direct_descent_ultra_short_3,fine,1,1,10,0.024678,0.028679,Solved,7.500000
zoh_direct_descent_ultra_short_3,total,17,2,147,0.266374,0.339278,Solved,7.500000
zoh_direct_descent_ultra_short_4,coarse,16,1,137,0.232979,0.283889,Solved,7.500000
zoh_direct_descent_ultra_short_4,fine,1,1,10,0.026244,0.029816,Solved,7.500000
zoh_direct_descent_ultra_short_4,total,17,2,147,0.259223,0.317680,Solved,7.500000
zoh_direct_descent_ultra_short_5,coarse,16,1,137,0.232920,0.282255,Solved,7.500000
zoh_direct_descent_ultra_short_5,fine,1,1,10,0.024264,0.027908,Solved,7.500000
zoh_direct_descent_ultra_short_5,total,17,2,147,0.257184,0.313950,Solved,7.500000
zoh_direct_descent_ultra_short_6,coarse,16,1,137,0.236871,0.288690,Solved,7.500000
zoh_direct_descent_ultra_short_6,fine,1,1,10,0.024944,0.029044,Solved,7.500000
zoh_direct_descent_ultra_short_6,total,17,2,147,0.261816,0.321607,Solved,7.500000
zoh_direct_descent_ultra_short_7,coarse,16,1,137,0.230420,0.284718,Solved,7.500000
zoh_direct_descent_ultra_short_7,fine,1,1,10,0.025131,0.028748,Solved,7.500000
zoh_direct_descent_ultra_short_7,total,17,2,147,0.255551,0.317553,Solved,7.500000
zoh_direct_descent_ultra_short_8,coarse,16,1,137,0.235463,0.288763,Solved,7.500000
zoh_direct_descent_ultra_short_8,fine,1,1,10,0.024594,0.029426,Solved,7.500000
zoh_direct_descent_ultra_short_8,total,17,2,147,0.260057,0.322744,Solved,7.500000
zoh_direct_descent_ultra_short_9,coarse,16,1,137,0.231787,0.286075,Solved,7.500000
zoh_direct_descent_ultra_short_9,fine,1,1,10,0.025175,0.028656,Solved,7.500000
zoh_direct_descent_ultra_short_9,total,17,2,147,0.256962,0.319304,Solved,7.500000
zoh_direct_descent_ultra_short_10,coarse,16,1,137,0.236970,0.288302,Solved,7.500000
zoh_direct_descent_ultra_short_10,fine,1,1,10,0.024173,0.027577,Solved,7.500000
zoh_direct_descent_ultra_short_10,total,17,2,147,0.261143,0.319906,Solved,7.500000
