t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000003,0,0,0.0000000000003091297766204841,80.00000000002825,0,0,5.098806311931606,5.098806357098461,407.9045049546725
1,0,0,50.00000000000006,0,0,-0.05888992110024036,79.99711251883579,0,0,5.1017877767682895,5.101787799977457,408.12829082535393
2,0,0,49.99926387598633,0,0,-0.11774257389033499,79.99422345354725,0,0,5.10488856880799,5.1048885728931195,408.36159687868536
3,0,0,49.99779209381273,0,0,-0.17655646677993708,79.99133273677043,0,0,5.106953749998083,5.106953764415007,408.5120366873942
4,0,0,49.995585137978004,0,0,-0.23534454490466672,79.98844095507346,0,0,5.108157545243193,5.108157591695638,408.59355819689813
5,0,0,49.99264333116672,0,0,-0.29411757558883617,79.98554859629485,0,0,5.109408466155781,5.1094085555088435,408.6788391680235
6,0,0,49.98896686147189,0,0,-0.35287496976160193,79.98265563381656,0,0,5.110925664854626,5.110925789001202,408.78540742210254
7,0,0,49.9845559243499,0,0,-0.4116133989506358,79.97976191695713,0,0,5.1125514173561974,5.1125515403840724,408.9006451483504
8,0,0,49.97941075686304,0,0,-0.47033150623340375,79.97686738436819,0,0,5.1142108414274015,5.114210942460462,409.01856224053734
9,0,0,49.97353161303514,0,0,-0.5290288707152854,79.97397201709556,0,0,5.115917691217102,5.115917778928067,409.14025827916066
10,0,0,49.96691875215122,0,0,-0.5877048995747993,79.97107578838433,0,0,5.117678974440459,5.1176790647026,409.2662931255989
11,0,0,49.95957244090657,0,0,-0.646358912394025,79.96817866751182,0,0,5.119471384800634,5.11947148068125,409.39480238295124
12,0,0,49.95149295450167,0,0,-0.7049905200837522,79.96528063696148,0,0,5.121277615856049,5.1212777091981465,409.524401771718
13,0,0,49.94268057300065,0,0,-0.7635995498852903,79.96238168902097,0,0,5.123116434998586,5.123116516953981,409.65659181265335
14,0,0,49.93313557862711,0,0,-0.8221855944475506,79.95948180535679,0,0,5.125030668297006,5.125030732417939,409.79479647359
15,0,0,49.92285825869655,0,0,-0.8807477110935841,79.9565809433973,0,0,5.126999918736213,5.126999963356608,409.93738399922336
16,0,0,49.911848912307896,0,0,-0.9392852121091312,79.9536790721181,0,0,5.128832467147652,5.128832503808568,410.0690250929831
17,0,0,49.90010784715656,0,0,-0.997799806269539,79.95077626899922,0,0,5.130347490799427,5.130347541429476,410.17526441912656
18,0,0,49.88763534957822,0,0,-1.056295462634303,79.94787271383963,0,0,5.131813343509225,5.13181341867528,410.2775599780593
19,0,0,49.87443165629532,0,0,-1.1147727958401987,79.94496843454957,0,0,5.1335962015084435,5.1335962927065095,410.40518628531606
20,0,0,49.86049699634733,0,0,-1.1732278433211074,79.94206325182599,0,0,5.1356809491019,5.135681032406848,410.5569312743018
