group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_1,1.374319,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_2,1.369210,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_3,1.337435,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_4,1.358307,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_5,1.333956,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_6,1.342105,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_7,1.339752,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_8,1.369118,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_9,1.341006,,
cgl_direct_limited_descent_med,cgl_direct_limited_descent_med_10,1.332002,,
cgl_direct_limited_descent_med,set_1_avg,,1.349721,0.005144
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_1,1.316516,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_2,1.518957,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_3,1.382134,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_4,1.412030,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_5,1.322086,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_6,1.381067,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_7,1.311261,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_8,1.311204,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_9,1.309832,,
zoh_direct_limited_descent_med,zoh_direct_limited_descent_med_10,1.335183,,
zoh_direct_limited_descent_med,set_1_avg,,1.360027,0.021115
