run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_limited_descent_med_1,coarse,32,1,160,0.474675,0.582045,Solved,15.500000
zoh_direct_limited_descent_med_1,fine,1,1,13,1.351499,1.372908,Solved,15.500000
zoh_direct_limited_descent_med_1,total,33,2,173,1.826174,1.968367,Solved,15.500000
zoh_direct_limited_descent_med_2,coarse,32,1,160,0.503202,0.627599,Solved,15.500000
zoh_direct_limited_descent_med_2,fine,1,1,13,1.603744,1.624724,Solved,15.500000
zoh_direct_limited_descent_med_2,total,33,2,173,2.106946,2.267122,Solved,15.500000
zoh_direct_limited_descent_med_3,coarse,32,1,160,0.487302,0.614101,Solved,15.500000
zoh_direct_limited_descent_med_3,fine,1,1,13,1.325694,1.342846,Solved,15.500000
zoh_direct_limited_descent_med_3,total,33,2,173,1.812996,1.972194,Solved,15.500000
zoh_direct_limited_descent_med_4,coarse,32,1,160,0.474705,0.577531,Solved,15.500000
zoh_direct_limited_descent_med_4,fine,1,1,13,1.328677,1.348174,Solved,15.500000
zoh_direct_limited_descent_med_4,total,33,2,173,1.803381,1.936278,Solved,15.500000
zoh_direct_limited_descent_med_5,coarse,32,1,160,0.481002,0.604225,Solved,15.500000
zoh_direct_limited_descent_med_5,fine,1,1,13,1.311149,1.330017,Solved,15.500000
zoh_direct_limited_descent_med_5,total,33,2,173,1.792151,1.947265,Solved,15.500000
zoh_direct_limited_descent_med_6,coarse,32,1,160,0.468680,0.575371,Solved,15.500000
zoh_direct_limited_descent_med_6,fine,1,1,13,1.352209,1.371174,Solved,15.500000
zoh_direct_limited_descent_med_6,total,33,2,173,1.820888,1.957095,Solved,15.500000
zoh_direct_limited_descent_med_7,coarse,32,1,160,0.484149,0.605857,Solved,15.500000
zoh_direct_limited_descent_med_7,fine,1,1,13,1.329755,1.348008,Solved,15.500000
zoh_direct_limited_descent_med_7,total,33,2,173,1.813903,1.966282,Solved,15.500000
zoh_direct_limited_descent_med_8,coarse,32,1,160,0.462379,0.567388,Solved,15.500000
zoh_direct_limited_descent_med_8,fine,1,1,13,1.434148,1.456076,Solved,15.500000
zoh_direct_limited_descent_med_8,total,33,2,173,1.896527,2.032976,Solved,15.500000
zoh_direct_limited_descent_med_9,coarse,32,1,160,0.472745,0.586428,Solved,15.500000
zoh_direct_limited_descent_med_9,fine,1,1,13,1.415968,1.435067,Solved,15.500000
zoh_direct_limited_descent_med_9,total,33,2,173,1.888713,2.031363,Solved,15.500000
zoh_direct_limited_descent_med_10,coarse,32,1,160,0.534934,0.677649,Solved,15.500000
zoh_direct_limited_descent_med_10,fine,1,1,13,1.492623,1.513364,Solved,15.500000
zoh_direct_limited_descent_med_10,total,33,2,173,2.027557,2.203186,Solved,15.500000
zoh_direct_limited_descent_med_1,coarse,32,1,160,0.471167,0.579985,Solved,15.500000
