run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_limited_descent_short_1,coarse,25,1,170,0.889840,0.982897,Solved,12.050000
cgl_direct_limited_descent_short_1,fine,2,1,14,0.411579,0.427379,Solved,12.050000
cgl_direct_limited_descent_short_1,total,27,2,184,1.301420,1.417287,Solved,12.050000
cgl_direct_limited_descent_short_2,coarse,25,1,170,0.876696,0.977444,Solved,12.050000
cgl_direct_limited_descent_short_2,fine,2,1,14,0.392089,0.403808,Solved,12.050000
cgl_direct_limited_descent_short_2,total,27,2,184,1.268785,1.388521,Solved,12.050000
cgl_direct_limited_descent_short_3,coarse,25,1,170,0.879849,0.972953,Solved,12.050000
cgl_direct_limited_descent_short_3,fine,2,1,14,0.401798,0.414085,Solved,12.050000
cgl_direct_limited_descent_short_3,total,27,2,184,1.281646,1.393757,Solved,12.050000
cgl_direct_limited_descent_short_4,coarse,25,1,170,0.891360,0.989530,Solved,12.050000
cgl_direct_limited_descent_short_4,fine,2,1,14,0.400995,0.412040,Solved,12.050000
cgl_direct_limited_descent_short_4,total,27,2,184,1.292355,1.408908,Solved,12.050000
cgl_direct_limited_descent_short_5,coarse,25,1,170,0.875718,0.972360,Solved,12.050000
cgl_direct_limited_descent_short_5,fine,2,1,14,0.407273,0.420552,Solved,12.050000
cgl_direct_limited_descent_short_5,total,27,2,184,1.282991,1.400286,Solved,12.050000
cgl_direct_limited_descent_short_6,coarse,25,1,170,0.872578,0.963910,Solved,12.050000
cgl_direct_limited_descent_short_6,fine,2,1,14,0.398352,0.410317,Solved,12.050000
cgl_direct_limited_descent_short_6,total,27,2,184,1.270930,1.381066,Solved,12.050000
cgl_direct_limited_descent_short_7,coarse,25,1,170,0.897982,0.997399,Solved,12.050000
cgl_direct_limited_descent_short_7,fine,2,1,14,0.396760,0.411706,Solved,12.050000
cgl_direct_limited_descent_short_7,total,27,2,184,1.294742,1.416711,Solved,12.050000
cgl_direct_limited_descent_short_8,coarse,25,1,170,0.865900,0.954936,Solved,12.050000
cgl_direct_limited_descent_short_8,fine,2,1,14,0.397228,0.410477,Solved,12.050000
cgl_direct_limited_descent_short_8,total,27,2,184,1.263127,1.372336,Solved,12.050000
cgl_direct_limited_descent_short_9,coarse,25,1,170,0.902048,0.994125,Solved,12.050000
cgl_direct_limited_descent_short_9,fine,2,1,14,0.409023,0.421793,Solved,12.050000
cgl_direct_limited_descent_short_9,total,27,2,184,1.311071,1.423394,Solved,12.050000
cgl_direct_limited_descent_short_10,coarse,25,1,170,0.907357,0.998966,Solved,12.050000
cgl_direct_limited_descent_short_10,fine,2,1,14,0.395655,0.408644,Solved,12.050000
cgl_direct_limited_descent_short_10,total,27,2,184,1.303012,1.415202,Solved,12.050000
cgl_direct_limited_descent_short_1,coarse,25,1,170,0.913855,1.031875,Solved,12.100000
cgl_direct_limited_descent_short_1,fine,3,1,16,0.575388,0.597374,Solved,12.100000
cgl_direct_limited_descent_short_1,total,28,2,186,1.489244,1.637908,Solved,12.100000
cgl_direct_limited_descent_short_2,coarse,25,1,170,0.875731,0.963162,Solved,12.100000
cgl_direct_limited_descent_short_2,fine,3,1,16,0.580709,0.602327,Solved,12.100000
cgl_direct_limited_descent_short_2,total,28,2,186,1.456440,1.573301,Solved,12.100000
cgl_direct_limited_descent_short_3,coarse,25,1,170,0.886900,0.977865,Solved,12.100000
cgl_direct_limited_descent_short_3,fine,3,1,16,0.587232,0.610385,Solved,12.100000
cgl_direct_limited_descent_short_3,total,28,2,186,1.474133,1.596121,Solved,12.100000
cgl_direct_limited_descent_short_4,coarse,25,1,170,0.901641,0.999502,Solved,12.100000
cgl_direct_limited_descent_short_4,fine,3,1,16,0.575419,0.598064,Solved,12.100000
cgl_direct_limited_descent_short_4,total,28,2,186,1.477060,1.605750,Solved,12.100000
cgl_direct_limited_descent_short_5,coarse,25,1,170,0.894465,0.998533,Solved,12.100000
cgl_direct_limited_descent_short_5,fine,3,1,16,0.569703,0.588381,Solved,12.100000
cgl_direct_limited_descent_short_5,total,28,2,186,1.464168,1.594266,Solved,12.100000
cgl_direct_limited_descent_short_6,coarse,25,1,170,0.879384,0.975874,Solved,12.100000
cgl_direct_limited_descent_short_6,fine,3,1,16,0.574050,0.594366,Solved,12.100000
cgl_direct_limited_descent_short_6,total,28,2,186,1.453434,1.578343,Solved,12.100000
cgl_direct_limited_descent_short_7,coarse,25,1,170,0.888573,0.985361,Solved,12.100000
cgl_direct_limited_descent_short_7,fine,3,1,16,0.564335,0.583479,Solved,12.100000
cgl_direct_limited_descent_short_7,total,28,2,186,1.452909,1.576723,Solved,12.100000
cgl_direct_limited_descent_short_8,coarse,25,1,170,0.906489,1.015226,Solved,12.100000
cgl_direct_limited_descent_short_8,fine,3,1,16,0.573261,0.593525,Solved,12.100000
cgl_direct_limited_descent_short_8,total,28,2,186,1.479750,1.617483,Solved,12.100000
cgl_direct_limited_descent_short_9,coarse,25,1,170,0.880992,0.981325,Solved,12.100000
cgl_direct_limited_descent_short_9,fine,3,1,16,0.561864,0.580580,Solved,12.100000
cgl_direct_limited_descent_short_9,total,28,2,186,1.442856,1.569917,Solved,12.100000
cgl_direct_limited_descent_short_10,coarse,25,1,170,0.894222,0.998174,Solved,12.100000
cgl_direct_limited_descent_short_10,fine,3,1,16,0.575798,0.595114,Solved,12.100000
cgl_direct_limited_descent_short_10,total,28,2,186,1.470020,1.601850,Solved,12.100000
cgl_direct_limited_descent_short_1,coarse,25,1,170,0.917170,1.028830,Solved,12.100000
cgl_direct_limited_descent_short_1,fine,3,1,16,0.582968,0.602142,Solved,12.100000
cgl_direct_limited_descent_short_1,total,28,2,186,1.500138,1.639865,Solved,12.100000
cgl_direct_limited_descent_short_2,coarse,25,1,170,0.893653,0.986790,Solved,12.100000
cgl_direct_limited_descent_short_2,fine,3,1,16,0.577315,0.596589,Solved,12.100000
cgl_direct_limited_descent_short_2,total,28,2,186,1.470968,1.590356,Solved,12.100000
cgl_direct_limited_descent_short_3,coarse,25,1,170,0.879592,0.966073,Solved,12.100000
cgl_direct_limited_descent_short_3,fine,3,1,16,0.593463,0.615247,Solved,12.100000
cgl_direct_limited_descent_short_3,total,28,2,186,1.473054,1.589265,Solved,12.100000
cgl_direct_limited_descent_short_4,coarse,25,1,170,0.878884,0.968933,Solved,12.100000
cgl_direct_limited_descent_short_4,fine,3,1,16,0.578271,0.596448,Solved,12.100000
cgl_direct_limited_descent_short_4,total,28,2,186,1.457155,1.573355,Solved,12.100000
cgl_direct_limited_descent_short_5,coarse,25,1,170,0.911629,1.009357,Solved,12.100000
cgl_direct_limited_descent_short_5,fine,3,1,16,0.565335,0.583218,Solved,12.100000
cgl_direct_limited_descent_short_5,total,28,2,186,1.476963,1.600123,Solved,12.100000
cgl_direct_limited_descent_short_6,coarse,25,1,170,0.899954,0.988904,Solved,12.100000
cgl_direct_limited_descent_short_6,fine,3,1,16,0.576679,0.595662,Solved,12.100000
cgl_direct_limited_descent_short_6,total,28,2,186,1.476633,1.592374,Solved,12.100000
cgl_direct_limited_descent_short_7,coarse,25,1,170,0.895235,0.988975,Solved,12.100000
cgl_direct_limited_descent_short_7,fine,3,1,16,0.575816,0.593505,Solved,12.100000
cgl_direct_limited_descent_short_7,total,28,2,186,1.471052,1.590046,Solved,12.100000
cgl_direct_limited_descent_short_8,coarse,25,1,170,0.899814,0.998523,Solved,12.100000
cgl_direct_limited_descent_short_8,fine,3,1,16,0.568983,0.588150,Solved,12.100000
cgl_direct_limited_descent_short_8,total,28,2,186,1.468796,1.595591,Solved,12.100000
cgl_direct_limited_descent_short_9,coarse,25,1,170,0.877766,0.966981,Solved,12.100000
cgl_direct_limited_descent_short_9,fine,3,1,16,0.578956,0.597055,Solved,12.100000
cgl_direct_limited_descent_short_9,total,28,2,186,1.456722,1.570983,Solved,12.100000
cgl_direct_limited_descent_short_10,coarse,25,1,170,0.895224,0.990714,Solved,12.100000
cgl_direct_limited_descent_short_10,fine,3,1,16,0.572334,0.590725,Solved,12.100000
cgl_direct_limited_descent_short_10,total,28,2,186,1.467557,1.589839,Solved,12.100000
cgl_direct_limited_descent_short_1,coarse,25,1,170,0.885136,0.973892,Solved,12.100000
cgl_direct_limited_descent_short_1,fine,3,1,16,0.575116,0.591931,Solved,12.100000
cgl_direct_limited_descent_short_1,total,28,2,186,1.460252,1.573625,Solved,12.100000
cgl_direct_limited_descent_short_2,coarse,25,1,170,0.870568,0.958978,Solved,12.100000
cgl_direct_limited_descent_short_2,fine,3,1,16,0.581291,0.601397,Solved,12.100000
cgl_direct_limited_descent_short_2,total,28,2,186,1.451859,1.567609,Solved,12.100000
cgl_direct_limited_descent_short_3,coarse,25,1,170,0.898376,0.993287,Solved,12.100000
cgl_direct_limited_descent_short_3,fine,3,1,16,0.583950,0.604757,Solved,12.100000
cgl_direct_limited_descent_short_3,total,28,2,186,1.482326,1.606218,Solved,12.100000
cgl_direct_limited_descent_short_4,coarse,25,1,170,0.878632,0.973507,Solved,12.100000
cgl_direct_limited_descent_short_4,fine,3,1,16,0.581518,0.599830,Solved,12.100000
cgl_direct_limited_descent_short_4,total,28,2,186,1.460150,1.581436,Solved,12.100000
cgl_direct_limited_descent_short_5,coarse,25,1,170,0.887020,0.983958,Solved,12.100000
cgl_direct_limited_descent_short_5,fine,3,1,16,0.584069,0.604419,Solved,12.100000
cgl_direct_limited_descent_short_5,total,28,2,186,1.471089,1.596905,Solved,12.100000
cgl_direct_limited_descent_short_6,coarse,25,1,170,0.899339,0.992113,Solved,12.100000
cgl_direct_limited_descent_short_6,fine,3,1,16,0.579238,0.597023,Solved,12.100000
cgl_direct_limited_descent_short_6,total,28,2,186,1.478577,1.596447,Solved,12.100000
cgl_direct_limited_descent_short_7,coarse,25,1,170,0.884848,0.968699,Solved,12.100000
cgl_direct_limited_descent_short_7,fine,3,1,16,0.574694,0.594114,Solved,12.100000
cgl_direct_limited_descent_short_7,total,28,2,186,1.459542,1.569406,Solved,12.100000
cgl_direct_limited_descent_short_8,coarse,25,1,170,0.873868,0.967935,Solved,12.100000
cgl_direct_limited_descent_short_8,fine,3,1,16,0.562195,0.580526,Solved,12.100000
cgl_direct_limited_descent_short_8,total,28,2,186,1.436063,1.556228,Solved,12.100000
cgl_direct_limited_descent_short_9,coarse,25,1,170,0.860185,0.949100,Solved,12.100000
cgl_direct_limited_descent_short_9,fine,3,1,16,0.565853,0.582339,Solved,12.100000
cgl_direct_limited_descent_short_9,total,28,2,186,1.426038,1.538286,Solved,12.100000
cgl_direct_limited_descent_short_10,coarse,25,1,170,0.868175,0.952806,Solved,12.100000
cgl_direct_limited_descent_short_10,fine,3,1,16,0.589193,0.605667,Solved,12.100000
cgl_direct_limited_descent_short_10,total,28,2,186,1.457368,1.565894,Solved,12.100000
cgl_direct_limited_descent_short_1,coarse,25,1,170,0.888493,0.984398,Solved,12.100000
cgl_direct_limited_descent_short_1,fine,3,1,16,0.555166,0.577070,Solved,12.100000
cgl_direct_limited_descent_short_1,total,28,2,186,1.443659,1.571271,Solved,12.100000
cgl_direct_limited_descent_short_2,coarse,25,1,170,0.900091,1.018697,Solved,12.100000
cgl_direct_limited_descent_short_2,fine,3,1,16,0.595948,0.615860,Solved,12.100000
cgl_direct_limited_descent_short_2,total,28,2,186,1.496038,1.644411,Solved,12.100000
cgl_direct_limited_descent_short_3,coarse,25,1,170,0.896959,0.996097,Solved,12.100000
cgl_direct_limited_descent_short_3,fine,3,1,16,0.587819,0.608238,Solved,12.100000
cgl_direct_limited_descent_short_3,total,28,2,186,1.484778,1.613365,Solved,12.100000
cgl_direct_limited_descent_short_4,coarse,25,1,170,0.886452,0.986539,Solved,12.100000
cgl_direct_limited_descent_short_4,fine,3,1,16,0.590029,0.607813,Solved,12.100000
cgl_direct_limited_descent_short_4,total,28,2,186,1.476481,1.602841,Solved,12.100000
cgl_direct_limited_descent_short_5,coarse,25,1,170,0.897986,0.992971,Solved,12.100000
cgl_direct_limited_descent_short_5,fine,3,1,16,0.576504,0.598215,Solved,12.100000
cgl_direct_limited_descent_short_5,total,28,2,186,1.474489,1.599143,Solved,12.100000
cgl_direct_limited_descent_short_6,coarse,25,1,170,0.873070,0.966975,Solved,12.100000
cgl_direct_limited_descent_short_6,fine,3,1,16,0.562394,0.583086,Solved,12.100000
cgl_direct_limited_descent_short_6,total,28,2,186,1.435464,1.557164,Solved,12.100000
cgl_direct_limited_descent_short_7,coarse,25,1,170,0.881973,0.979149,Solved,12.100000
cgl_direct_limited_descent_short_7,fine,3,1,16,0.581088,0.598461,Solved,12.100000
cgl_direct_limited_descent_short_7,total,28,2,186,1.463061,1.586005,Solved,12.100000
cgl_direct_limited_descent_short_8,coarse,25,1,170,0.883225,0.980580,Solved,12.100000
cgl_direct_limited_descent_short_8,fine,3,1,16,0.577834,0.600637,Solved,12.100000
cgl_direct_limited_descent_short_8,total,28,2,186,1.461060,1.588729,Solved,12.100000
cgl_direct_limited_descent_short_9,coarse,25,1,170,0.863797,0.953631,Solved,12.100000
cgl_direct_limited_descent_short_9,fine,3,1,16,0.581921,0.602019,Solved,12.100000
cgl_direct_limited_descent_short_9,total,28,2,186,1.445718,1.562122,Solved,12.100000
cgl_direct_limited_descent_short_10,coarse,25,1,170,0.872175,0.962571,Solved,12.100000
cgl_direct_limited_descent_short_10,fine,3,1,16,0.581536,0.600280,Solved,12.100000
cgl_direct_limited_descent_short_10,total,28,2,186,1.453710,1.570178,Solved,12.100000
