run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_limited_descent_short_1,coarse,32,1,160,0.482561,0.596377,Solved,15.500000
zoh_direct_limited_descent_short_1,fine,1,1,13,0.692160,0.705235,Solved,15.500000
zoh_direct_limited_descent_short_1,total,33,2,173,1.174721,1.314151,Solved,15.500000
zoh_direct_limited_descent_short_2,coarse,32,1,160,0.476179,0.581771,Solved,15.500000
zoh_direct_limited_descent_short_2,fine,1,1,13,0.676608,0.688517,Solved,15.500000
zoh_direct_limited_descent_short_2,total,33,2,173,1.152788,1.280240,Solved,15.500000
zoh_direct_limited_descent_short_3,coarse,32,1,160,0.472925,0.577374,Solved,15.500000
zoh_direct_limited_descent_short_3,fine,1,1,13,0.673911,0.686583,Solved,15.500000
zoh_direct_limited_descent_short_3,total,33,2,173,1.146836,1.274420,Solved,15.500000
zoh_direct_limited_descent_short_4,coarse,32,1,160,0.474638,0.578833,Solved,15.500000
zoh_direct_limited_descent_short_4,fine,1,1,13,0.659415,0.670487,Solved,15.500000
zoh_direct_limited_descent_short_4,total,33,2,173,1.134053,1.258760,Solved,15.500000
zoh_direct_limited_descent_short_5,coarse,32,1,160,0.491428,0.600458,Solved,15.500000
zoh_direct_limited_descent_short_5,fine,1,1,13,0.661725,0.673493,Solved,15.500000
zoh_direct_limited_descent_short_5,total,33,2,173,1.153153,1.284071,Solved,15.500000
zoh_direct_limited_descent_short_6,coarse,32,1,160,0.479494,0.586376,Solved,15.500000
zoh_direct_limited_descent_short_6,fine,1,1,13,0.700406,0.711230,Solved,15.500000
zoh_direct_limited_descent_short_6,total,33,2,173,1.179900,1.308483,Solved,15.500000
zoh_direct_limited_descent_short_7,coarse,32,1,160,0.472121,0.575118,Solved,15.500000
zoh_direct_limited_descent_short_7,fine,1,1,13,0.677576,0.690722,Solved,15.500000
zoh_direct_limited_descent_short_7,total,33,2,173,1.149697,1.275991,Solved,15.500000
zoh_direct_limited_descent_short_8,coarse,32,1,160,0.482836,0.602099,Solved,15.500000
zoh_direct_limited_descent_short_8,fine,1,1,13,0.701416,0.712200,Solved,15.500000
zoh_direct_limited_descent_short_8,total,33,2,173,1.184252,1.324908,Solved,15.500000
zoh_direct_limited_descent_short_9,coarse,32,1,160,0.478791,0.584669,Solved,15.500000
zoh_direct_limited_descent_short_9,fine,1,1,13,0.672721,0.684047,Solved,15.500000
zoh_direct_limited_descent_short_9,total,33,2,173,1.151512,1.278267,Solved,15.500000
zoh_direct_limited_descent_short_10,coarse,32,1,160,0.470329,0.573023,Solved,15.500000
zoh_direct_limited_descent_short_10,fine,1,1,13,0.663206,0.674409,Solved,15.500000
zoh_direct_limited_descent_short_10,total,33,2,173,1.133536,1.257055,Solved,15.500000
zoh_direct_limited_descent_short_1,coarse,32,1,160,0.482217,0.603521,Solved,15.500000
zoh_direct_limited_descent_short_1,fine,1,1,13,0.692545,0.703312,Solved,15.500000
zoh_direct_limited_descent_short_1,total,33,2,173,1.174762,1.318202,Solved,15.500000
zoh_direct_limited_descent_short_2,coarse,32,1,160,0.474093,0.583681,Solved,15.500000
zoh_direct_limited_descent_short_2,fine,1,1,13,0.689188,0.700122,Solved,15.500000
zoh_direct_limited_descent_short_2,total,33,2,173,1.163280,1.295241,Solved,15.500000
zoh_direct_limited_descent_short_3,coarse,32,1,160,0.468986,0.568815,Solved,15.500000
zoh_direct_limited_descent_short_3,fine,1,1,13,0.687966,0.699084,Solved,15.500000
zoh_direct_limited_descent_short_3,total,33,2,173,1.156953,1.276637,Solved,15.500000
zoh_direct_limited_descent_short_4,coarse,32,1,160,0.490039,0.593963,Solved,15.500000
zoh_direct_limited_descent_short_4,fine,1,1,13,0.682692,0.694010,Solved,15.500000
zoh_direct_limited_descent_short_4,total,33,2,173,1.172731,1.297586,Solved,15.500000
zoh_direct_limited_descent_short_5,coarse,32,1,160,0.472287,0.576863,Solved,15.500000
zoh_direct_limited_descent_short_5,fine,1,1,13,0.681864,0.692249,Solved,15.500000
zoh_direct_limited_descent_short_5,total,33,2,173,1.154151,1.279517,Solved,15.500000
zoh_direct_limited_descent_short_6,coarse,32,1,160,0.475137,0.587866,Solved,15.500000
zoh_direct_limited_descent_short_6,fine,1,1,13,0.697153,0.707556,Solved,15.500000
zoh_direct_limited_descent_short_6,total,33,2,173,1.172290,1.304852,Solved,15.500000
zoh_direct_limited_descent_short_7,coarse,32,1,160,0.515616,0.635226,Solved,15.500000
zoh_direct_limited_descent_short_7,fine,1,1,13,0.694026,0.707214,Solved,15.500000
zoh_direct_limited_descent_short_7,total,33,2,173,1.209642,1.354797,Solved,15.500000
zoh_direct_limited_descent_short_8,coarse,32,1,160,0.476547,0.579684,Solved,15.500000
zoh_direct_limited_descent_short_8,fine,1,1,13,0.668406,0.680707,Solved,15.500000
zoh_direct_limited_descent_short_8,total,33,2,173,1.144954,1.270107,Solved,15.500000
zoh_direct_limited_descent_short_9,coarse,32,1,160,0.474610,0.573636,Solved,15.500000
zoh_direct_limited_descent_short_9,fine,1,1,13,0.701070,0.713714,Solved,15.500000
zoh_direct_limited_descent_short_9,total,33,2,173,1.175679,1.297256,Solved,15.500000
zoh_direct_limited_descent_short_10,coarse,32,1,160,0.558385,0.701159,Solved,15.500000
zoh_direct_limited_descent_short_10,fine,1,1,13,0.930808,0.943199,Solved,15.500000
zoh_direct_limited_descent_short_10,total,33,2,173,1.489193,1.656458,Solved,15.500000
zoh_direct_limited_descent_short_1,coarse,32,1,160,0.489714,0.608849,Solved,15.540000
zoh_direct_limited_descent_short_1,fine,1,1,13,0.478981,0.489717,Solved,15.540000
zoh_direct_limited_descent_short_1,total,33,2,173,0.968695,1.114949,Solved,15.540000
zoh_direct_limited_descent_short_2,coarse,32,1,160,0.476915,0.576409,Solved,15.540000
zoh_direct_limited_descent_short_2,fine,1,1,13,0.494274,0.503693,Solved,15.540000
zoh_direct_limited_descent_short_2,total,33,2,173,0.971189,1.089360,Solved,15.540000
zoh_direct_limited_descent_short_3,coarse,32,1,160,0.472098,0.567289,Solved,15.540000
zoh_direct_limited_descent_short_3,fine,1,1,13,0.489038,0.498730,Solved,15.540000
zoh_direct_limited_descent_short_3,total,33,2,173,0.961136,1.075711,Solved,15.540000
zoh_direct_limited_descent_short_4,coarse,32,1,160,0.468339,0.567887,Solved,15.540000
zoh_direct_limited_descent_short_4,fine,1,1,13,0.482999,0.493384,Solved,15.540000
zoh_direct_limited_descent_short_4,total,33,2,173,0.951338,1.071882,Solved,15.540000
zoh_direct_limited_descent_short_5,coarse,32,1,160,0.480061,0.584189,Solved,15.540000
zoh_direct_limited_descent_short_5,fine,1,1,13,0.487274,0.497734,Solved,15.540000
zoh_direct_limited_descent_short_5,total,33,2,173,0.967335,1.092567,Solved,15.540000
zoh_direct_limited_descent_short_6,coarse,32,1,160,0.470600,0.567790,Solved,15.540000
zoh_direct_limited_descent_short_6,fine,1,1,13,0.488752,0.498545,Solved,15.540000
zoh_direct_limited_descent_short_6,total,33,2,173,0.959352,1.077319,Solved,15.540000
zoh_direct_limited_descent_short_7,coarse,32,1,160,0.475352,0.580564,Solved,15.540000
zoh_direct_limited_descent_short_7,fine,1,1,13,0.490773,0.499429,Solved,15.540000
zoh_direct_limited_descent_short_7,total,33,2,173,0.966124,1.089530,Solved,15.540000
zoh_direct_limited_descent_short_8,coarse,32,1,160,0.587510,0.726201,Solved,15.540000
zoh_direct_limited_descent_short_8,fine,1,1,13,0.611651,0.624331,Solved,15.540000
zoh_direct_limited_descent_short_8,total,33,2,173,1.199161,1.363642,Solved,15.540000
zoh_direct_limited_descent_short_9,coarse,32,1,160,0.616212,0.783444,Solved,15.540000
zoh_direct_limited_descent_short_9,fine,1,1,13,0.615864,0.629243,Solved,15.540000
zoh_direct_limited_descent_short_9,total,33,2,173,1.232076,1.427041,Solved,15.540000
zoh_direct_limited_descent_short_10,coarse,32,1,160,0.609149,0.774417,Solved,15.540000
zoh_direct_limited_descent_short_10,fine,1,1,13,0.534228,0.545444,Solved,15.540000
zoh_direct_limited_descent_short_10,total,33,2,173,1.143377,1.333013,Solved,15.540000
zoh_direct_limited_descent_short_1,coarse,32,1,160,0.468901,0.565979,Solved,15.540000
zoh_direct_limited_descent_short_1,fine,1,1,13,0.479885,0.489434,Solved,15.540000
zoh_direct_limited_descent_short_1,total,33,2,173,0.948785,1.065103,Solved,15.540000
zoh_direct_limited_descent_short_2,coarse,32,1,160,0.476203,0.584926,Solved,15.540000
zoh_direct_limited_descent_short_2,fine,1,1,13,0.473636,0.483057,Solved,15.540000
zoh_direct_limited_descent_short_2,total,33,2,173,0.949839,1.077987,Solved,15.540000
zoh_direct_limited_descent_short_3,coarse,32,1,160,0.489958,0.597879,Solved,15.540000
zoh_direct_limited_descent_short_3,fine,1,1,13,0.494106,0.503185,Solved,15.540000
zoh_direct_limited_descent_short_3,total,33,2,173,0.984064,1.113169,Solved,15.540000
zoh_direct_limited_descent_short_4,coarse,32,1,160,0.466333,0.565316,Solved,15.540000
zoh_direct_limited_descent_short_4,fine,1,1,13,0.490964,0.499914,Solved,15.540000
zoh_direct_limited_descent_short_4,total,33,2,173,0.957296,1.074989,Solved,15.540000
zoh_direct_limited_descent_short_5,coarse,32,1,160,0.467268,0.567768,Solved,15.540000
zoh_direct_limited_descent_short_5,fine,1,1,13,0.499099,0.509255,Solved,15.540000
zoh_direct_limited_descent_short_5,total,33,2,173,0.966367,1.086245,Solved,15.540000
zoh_direct_limited_descent_short_6,coarse,32,1,160,0.481993,0.591864,Solved,15.540000
zoh_direct_limited_descent_short_6,fine,1,1,13,0.492321,0.500421,Solved,15.540000
zoh_direct_limited_descent_short_6,total,33,2,173,0.974314,1.102944,Solved,15.540000
zoh_direct_limited_descent_short_7,coarse,32,1,160,0.471204,0.567427,Solved,15.540000
zoh_direct_limited_descent_short_7,fine,1,1,13,0.509503,0.518509,Solved,15.540000
zoh_direct_limited_descent_short_7,total,33,2,173,0.980707,1.095140,Solved,15.540000
zoh_direct_limited_descent_short_8,coarse,32,1,160,0.469055,0.569478,Solved,15.540000
zoh_direct_limited_descent_short_8,fine,1,1,13,0.481947,0.491095,Solved,15.540000
zoh_direct_limited_descent_short_8,total,33,2,173,0.951003,1.070719,Solved,15.540000
zoh_direct_limited_descent_short_9,coarse,32,1,160,0.474024,0.580129,Solved,15.540000
zoh_direct_limited_descent_short_9,fine,1,1,13,0.493089,0.502600,Solved,15.540000
zoh_direct_limited_descent_short_9,total,33,2,173,0.967113,1.093051,Solved,15.540000
zoh_direct_limited_descent_short_10,coarse,32,1,160,0.477093,0.575594,Solved,15.540000
zoh_direct_limited_descent_short_10,fine,1,1,13,0.482705,0.491147,Solved,15.540000
zoh_direct_limited_descent_short_10,total,33,2,173,0.959799,1.075324,Solved,15.540000
zoh_direct_limited_descent_short_1,coarse,32,1,160,0.483959,0.592486,Solved,15.540000
zoh_direct_limited_descent_short_1,fine,1,1,13,0.560647,0.570860,Solved,15.540000
zoh_direct_limited_descent_short_1,total,33,2,173,1.044607,1.174600,Solved,15.540000
zoh_direct_limited_descent_short_2,coarse,32,1,160,0.471329,0.571109,Solved,15.540000
zoh_direct_limited_descent_short_2,fine,1,1,13,0.562328,0.573678,Solved,15.540000
