t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000006,0,0,0.0000000000007075013357818814,80.00000000028369,0,0,5.9956552272160035,5.995655552868568,479.6524181789812
1,0,0,50.00000000000056,0,0,-1.9071723863908905,79.86429790587799,0,0,6.707333364954533,6.7073330649955984,535.6764700127638
2,0,0,49.04641380680526,0,0,-3.4585057039134868,79.71276090293017,0,0,8.839729014973402,8.839728624979934,704.6392054172693
3,0,0,47.31716095484865,0,0,-3.943641196426851,79.51348634199502,0,0,9.462909138716824,9.462908761246936,752.4288965569001
4,0,0,45.34534035663536,0,0,-4.117186627068595,79.30071544488706,0,0,9.828825973493196,9.828825585872433,779.4329316812989
5,0,0,43.28674704310118,0,0,-4.1077736403221685,79.08031979350277,0,0,9.656687564314085,9.65668717754019,763.6539407318992
6,0,0,41.23286022294021,0,0,-4.184429858165295,78.86438061421357,0,0,9.934328759962865,9.934328388066223,783.4646844724397
7,0,0,39.14064529385768,0,0,-4.122265478184058,78.64284823491619,0,0,9.990446940605128,9.990446552940584,785.6772025489919
8,0,0,37.07951255476574,0,0,-4.0320420078816674,78.42069200880863,0,0,9.38676688565175,9.386766497592562,736.1167548981797
9,0,0,35.063491550825,0,0,-4.24365856505593,78.21253159586983,0,0,9.606685405009461,9.606685038333666,751.3631857708841
10,0,0,32.941662268297115,0,0,-4.345315862551358,78.00006638166002,0,0,10.248598372384793,10.248597983628214,799.3913533649867
11,0,0,30.769004337021517,0,0,-4.126016676359153,77.77404063167083,0,0,10.012762718971565,10.012762329425083,778.7330145405734
12,0,0,28.705995998842013,0,0,-4.024635316873533,77.55384862306741,0,0,9.462944282299043,9.46294391979528,733.8877483979412
13,0,0,26.693678340405313,0,0,-4.19816317572414,77.34632076913317,0,0,9.51402544042477,9.514025094696168,735.8748635207878
14,0,0,24.594596752543296,0,0,-4.34615045551189,77.13823250509564,0,0,9.988246673707167,9.988246296596964,770.4756942346717
15,0,0,22.42152152478741,0,0,-4.257027118658467,76.92037455337157,0,0,10.218612608914594,10.218612197950993,786.019509293516
16,0,0,20.29300796545823,0,0,-4.052720814201341,76.69812871365171,0,0,10.186856581489018,10.18685617859839,781.3128372745548
17,0,0,18.266647558357604,0,0,-3.8642925234569945,76.47721268549007,0,0,10.122454424676919,10.122454058747238,774.1370999351968
18,0,0,16.334501296629142,0,0,-3.7080653111186868,76.25832359982648,0,0,10.173029686646736,10.173029348082595,775.7781898349482
19,0,0,14.480468641069834,0,0,-3.526550467795467,76.03897206139216,0,0,10.29265321837729,10.292652881347985,782.6427705097888
20,0,0,12.717193407172132,0,0,-3.2852238586069737,75.8176833063899,0,0,10.365907396222273,10.365907043577788,785.919084150145
21,0,0,11.074581477868673,0,0,-3.0072701604959917,75.59547049209445,0,0,10.355010995807914,10.35501062301587,782.7919281789108
22,0,0,9.570946397620702,0,0,-2.73476466259219,75.37414151719732,0,0,10.281080969308183,10.28108058042135,774.9276519303992
23,0,0,8.203564066324626,0,0,-2.499224177938254,75.15503381986363,0,0,10.171533256516465,10.171532858797738,764.4419258933626
24,0,0,6.953951977355513,0,0,-2.318457549680171,74.93888756923147,0,0,10.044798874545418,10.044798474995348,752.7460535151018
25,0,0,5.79472320251544,0,0,-2.2010581124076083,74.72604451401274,0,0,9.92351660945264,9.923516213767368,741.5451438935028
26,0,0,4.694194146311647,0,0,-2.1442998076814304,74.51636497845729,0,0,9.853453072507095,9.853452685252632,734.2435054490401
27,0,0,3.6220442424709423,0,0,-2.1225732714280277,74.30874799784488,0,0,9.917162697383795,9.917162322584176,736.9319437335199
28,0,0,2.5607576067569435,0,0,-2.0689919227362936,74.1003727043908,0,0,10.26134130009041,10.26134094304575,760.3692147836573
29,0,0,1.5262616453888218,0,0,-1.8433212726912975,73.88538074574217,0,0,11.078238509205384,11.078238181287729,818.519870244783
30,0,0,0.6046010090432269,0,0,-1.2092020180889207,73.65397362595759,0,0,12.228404036180322,12.2284037500582,900.6705483683788
31,0,0,-0.0000000000006167431971356707,0,0,0.0000000000006199671124453279,73.39938278620035,0,0,0,0,0
