run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_limited_descent_very_short_1,coarse,25,1,170,0.907003,1.001459,Solved,12.150000
cgl_direct_limited_descent_very_short_1,fine,4,1,21,0.230682,0.248365,Solved,12.150000
cgl_direct_limited_descent_very_short_1,total,29,2,191,1.137686,1.257574,Solved,12.150000
cgl_direct_limited_descent_very_short_2,coarse,25,1,170,0.886051,0.983613,Solved,12.150000
cgl_direct_limited_descent_very_short_2,fine,4,1,21,0.235932,0.254564,Solved,12.150000
cgl_direct_limited_descent_very_short_2,total,29,2,191,1.121983,1.246063,Solved,12.150000
cgl_direct_limited_descent_very_short_3,coarse,25,1,170,0.888807,0.975514,Solved,12.150000
cgl_direct_limited_descent_very_short_3,fine,4,1,21,0.235987,0.253081,Solved,12.150000
cgl_direct_limited_descent_very_short_3,total,29,2,191,1.124794,1.235590,Solved,12.150000
cgl_direct_limited_descent_very_short_4,coarse,25,1,170,0.900965,0.995154,Solved,12.150000
cgl_direct_limited_descent_very_short_4,fine,4,1,21,0.228105,0.247450,Solved,12.150000
cgl_direct_limited_descent_very_short_4,total,29,2,191,1.129069,1.251097,Solved,12.150000
cgl_direct_limited_descent_very_short_5,coarse,25,1,170,0.872362,0.965698,Solved,12.150000
cgl_direct_limited_descent_very_short_5,fine,4,1,21,0.228404,0.244061,Solved,12.150000
cgl_direct_limited_descent_very_short_5,total,29,2,191,1.100766,1.217462,Solved,12.150000
cgl_direct_limited_descent_very_short_6,coarse,25,1,170,0.884881,0.975352,Solved,12.150000
cgl_direct_limited_descent_very_short_6,fine,4,1,21,0.232331,0.248928,Solved,12.150000
cgl_direct_limited_descent_very_short_6,total,29,2,191,1.117212,1.232201,Solved,12.150000
cgl_direct_limited_descent_very_short_7,coarse,25,1,170,0.921852,1.012031,Solved,12.150000
cgl_direct_limited_descent_very_short_7,fine,4,1,21,0.233030,0.250886,Solved,12.150000
cgl_direct_limited_descent_very_short_7,total,29,2,191,1.154881,1.270575,Solved,12.150000
cgl_direct_limited_descent_very_short_8,coarse,25,1,170,0.895646,0.984663,Solved,12.150000
cgl_direct_limited_descent_very_short_8,fine,4,1,21,0.228466,0.244666,Solved,12.150000
cgl_direct_limited_descent_very_short_8,total,29,2,191,1.124112,1.236274,Solved,12.150000
cgl_direct_limited_descent_very_short_9,coarse,25,1,170,0.913600,1.008000,Solved,12.150000
cgl_direct_limited_descent_very_short_9,fine,4,1,21,0.232913,0.248545,Solved,12.150000
cgl_direct_limited_descent_very_short_9,total,29,2,191,1.146513,1.265483,Solved,12.150000
cgl_direct_limited_descent_very_short_10,coarse,25,1,170,0.891647,0.982693,Solved,12.150000
cgl_direct_limited_descent_very_short_10,fine,4,1,21,0.236500,0.254537,Solved,12.150000
cgl_direct_limited_descent_very_short_10,total,29,2,191,1.128148,1.244066,Solved,12.150000
