t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999999,0,0,0.000000000000000012037684762645626,80.00000000000004,0,0,12.499942056258341,12.499946721045893,999.9953645006678
1,0,0,50.00573443094569,0,0,-0.0030232590087209705,79.9461550869985,0,0,7.660128735963081,7.6601286939066044,612.3978399116783
2,-0,-0,49.983112285673904,-0,-0,-0.410752111112774,79.91065914233953,-0,-0,5.596247694701274,5.596246239033039,447.1998420073769
3,-0,-0,49.90020040231649,-0,-0,-0.9636507986856354,79.88174592390442,-0,-0,5.109423131779993,5.109421742858955,408.1496404305694
4,-0,-0,49.74885644014623,-0,-0,-1.5212206679375209,79.85305440466803,-0,-0,5.4169312055502346,5.416930350596354,432.55850226314686
5,0,0,49.53302993514428,0,0,-2.0188785192212504,79.82166486372707,0,0,6.034701236479939,6.034700882481284,481.699899651021
6,0,0,49.26150541956988,0,0,-2.437409594931496,79.78671227904351,0,0,6.686906380691389,6.686906304830421,533.526275433124
7,0,0,48.94374670363846,0,0,-2.7820214507704133,79.74843653133074,0,0,7.237552598223374,7.237552559787519,577.1835040215847
8,0,0,48.58782711219564,0,0,-3.06859558211174,79.70755930137645,0,0,7.639747809211151,7.639747630599832,608.9456515502586
9,0,0,48.19969230460246,0,0,-3.3152161204681785,79.66490047970572,0,0,7.899013111516317,7.8990127029887445,629.274093416838
10,-0,-0,47.783210330541216,-0,-0,-3.5374599575744297,79.62116531988016,-0,-0,8.047593424184344,8.047592776847884,640.7587664541621
11,-0,-0,47.34062658876451,-0,-0,-3.7462700686468327,79.57684877012369,-0,-0,8.127243946710195,8.127243110438926,646.7404624652604
12,-0,-0,46.873167031121376,-0,-0,-3.9475124229923946,79.53221603249231,-0,-0,8.178418858699745,8.178417915774359,650.4477754743174
13,-0,-0,46.38162794257527,-0,-0,-4.142544644394362,79.48732877956134,-0,-0,8.234176676692659,8.234175717602342,654.5127087292651
14,-0,-0,45.866860664942415,-0,-0,-4.3293086571546135,79.44209487868754,-0,-0,8.317449081346457,8.317448186080927,660.7555790689777
15,-0,-0,45.330109631990744,-0,-0,-4.503606313917485,79.39632618713074,-0,-0,8.44060279695316,8.44060202297516,670.1528528829011
16,-0,-0,44.77319622742658,-0,-0,-4.660332138825959,79.34979423359225,-0,-0,8.606462758601126,8.606462135305868,682.921048974074
17,0,0,44.19856279446842,0,0,-4.794525881388942,79.30227762541513,0,0,8.810164418817719,8.81016394747183,698.6661046666369
18,0,0,43.609203568694134,0,0,-4.902174018076773,79.25359802722842,0,0,9.041368291936895,9.04136794969416,716.5609682252955
19,0,0,43.008514819311884,0,0,-4.9807375724634975,79.20364373230218,0,0,9.286504986705511,9.286504733197301,735.5250324852709
20,0,0,42.40009706791053,0,0,-5.029417066208874,79.15238135261767,0,0,9.530827941689127,9.530827726785448,754.3877278467619
