run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_limited_descent_very_short_1,coarse,32,1,160,0.470025,0.578647,Solved,15.660000
zoh_direct_limited_descent_very_short_1,fine,2,1,14,0.470846,0.484913,Solved,15.660000
zoh_direct_limited_descent_very_short_1,total,34,2,174,0.940871,1.074529,Solved,15.660000
zoh_direct_limited_descent_very_short_2,coarse,32,1,160,0.465617,0.562319,Solved,15.660000
zoh_direct_limited_descent_very_short_2,fine,2,1,14,0.471732,0.486245,Solved,15.660000
zoh_direct_limited_descent_very_short_2,total,34,2,174,0.937350,1.058634,Solved,15.660000
zoh_direct_limited_descent_very_short_3,coarse,32,1,160,0.479964,0.586192,Solved,15.660000
zoh_direct_limited_descent_very_short_3,fine,2,1,14,0.465958,0.481089,Solved,15.660000
zoh_direct_limited_descent_very_short_3,total,34,2,174,0.945922,1.079032,Solved,15.660000
zoh_direct_limited_descent_very_short_4,coarse,32,1,160,0.473813,0.576817,Solved,15.660000
zoh_direct_limited_descent_very_short_4,fine,2,1,14,0.457443,0.471224,Solved,15.660000
zoh_direct_limited_descent_very_short_4,total,34,2,174,0.931256,1.057910,Solved,15.660000
zoh_direct_limited_descent_very_short_5,coarse,32,1,160,0.468842,0.570178,Solved,15.660000
zoh_direct_limited_descent_very_short_5,fine,2,1,14,0.467160,0.481373,Solved,15.660000
zoh_direct_limited_descent_very_short_5,total,34,2,174,0.936002,1.061965,Solved,15.660000
zoh_direct_limited_descent_very_short_6,coarse,32,1,160,0.467317,0.566766,Solved,15.660000
zoh_direct_limited_descent_very_short_6,fine,2,1,14,0.466207,0.482570,Solved,15.660000
zoh_direct_limited_descent_very_short_6,total,34,2,174,0.933524,1.060504,Solved,15.660000
zoh_direct_limited_descent_very_short_7,coarse,32,1,160,0.473091,0.569817,Solved,15.660000
zoh_direct_limited_descent_very_short_7,fine,2,1,14,0.473018,0.487801,Solved,15.660000
zoh_direct_limited_descent_very_short_7,total,34,2,174,0.946109,1.068114,Solved,15.660000
zoh_direct_limited_descent_very_short_8,coarse,32,1,160,0.484621,0.592551,Solved,15.660000
zoh_direct_limited_descent_very_short_8,fine,2,1,14,0.461215,0.477366,Solved,15.660000
zoh_direct_limited_descent_very_short_8,total,34,2,174,0.945835,1.079677,Solved,15.660000
zoh_direct_limited_descent_very_short_9,coarse,32,1,160,0.470769,0.568977,Solved,15.660000
zoh_direct_limited_descent_very_short_9,fine,2,1,14,0.479386,0.494037,Solved,15.660000
zoh_direct_limited_descent_very_short_9,total,34,2,174,0.950155,1.072470,Solved,15.660000
zoh_direct_limited_descent_very_short_10,coarse,32,1,160,0.470706,0.569292,Solved,15.660000
zoh_direct_limited_descent_very_short_10,fine,2,1,14,0.460235,0.476206,Solved,15.660000
zoh_direct_limited_descent_very_short_10,total,34,2,174,0.930941,1.054583,Solved,15.660000
zoh_direct_limited_descent_very_short_1,coarse,32,1,160,0.469619,0.578225,Solved,15.600000
zoh_direct_limited_descent_very_short_1,fine,2,1,14,0.407901,0.422051,Solved,15.600000
zoh_direct_limited_descent_very_short_1,total,34,2,174,0.877520,1.012267,Solved,15.600000
zoh_direct_limited_descent_very_short_2,coarse,32,1,160,0.461007,0.566809,Solved,15.600000
zoh_direct_limited_descent_very_short_2,fine,2,1,14,0.403733,0.423081,Solved,15.600000
zoh_direct_limited_descent_very_short_2,total,34,2,174,0.864740,1.000386,Solved,15.600000
zoh_direct_limited_descent_very_short_3,coarse,32,1,160,0.466239,0.572071,Solved,15.600000
zoh_direct_limited_descent_very_short_3,fine,2,1,14,0.397008,0.409809,Solved,15.600000
zoh_direct_limited_descent_very_short_3,total,34,2,174,0.863247,0.992460,Solved,15.600000
zoh_direct_limited_descent_very_short_4,coarse,32,1,160,0.465382,0.565782,Solved,15.600000
zoh_direct_limited_descent_very_short_4,fine,2,1,14,0.412932,0.426371,Solved,15.600000
zoh_direct_limited_descent_very_short_4,total,34,2,174,0.878313,1.002486,Solved,15.600000
zoh_direct_limited_descent_very_short_5,coarse,32,1,160,0.476092,0.578137,Solved,15.600000
zoh_direct_limited_descent_very_short_5,fine,2,1,14,0.399438,0.412826,Solved,15.600000
zoh_direct_limited_descent_very_short_5,total,34,2,174,0.875530,1.001733,Solved,15.600000
zoh_direct_limited_descent_very_short_6,coarse,32,1,160,0.482081,0.590437,Solved,15.600000
zoh_direct_limited_descent_very_short_6,fine,2,1,14,0.400283,0.413243,Solved,15.600000
zoh_direct_limited_descent_very_short_6,total,34,2,174,0.882364,1.014426,Solved,15.600000
zoh_direct_limited_descent_very_short_7,coarse,32,1,160,0.465803,0.571241,Solved,15.600000
zoh_direct_limited_descent_very_short_7,fine,2,1,14,0.401522,0.415423,Solved,15.600000
zoh_direct_limited_descent_very_short_7,total,34,2,174,0.867325,0.996757,Solved,15.600000
zoh_direct_limited_descent_very_short_8,coarse,32,1,160,0.466329,0.567888,Solved,15.600000
zoh_direct_limited_descent_very_short_8,fine,2,1,14,0.399727,0.413851,Solved,15.600000
zoh_direct_limited_descent_very_short_8,total,34,2,174,0.866056,0.991555,Solved,15.600000
