run_type,ground_truth_csv,candidate_csv,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_mass,rmse_ux,rmse_uy,rmse_uz,rmse_sigma,rmse_thrust_force,rmse_xyz,rmse_vxyz,rmse_uxyz
ultra_short,trajectory_zoh_truth_offset.csv,trajectory_zoh_offset_descent_ultra_short_1.csv,0.2920637444,0.5841274889,3.041496849,0.3166535728,0.6333071456,0.81029634,0.03182952387,0.3314677565,0.662935513,0.8864619304,0.6797405482,71.28279487,3.110821312,1.076070437,1.155495185
very_short,trajectory_zoh_truth_offset.csv,trajectory_zoh_offset_descent_very_short_1.csv,0.4733677962,0.9467355925,2.064102793,0.3716248809,0.7432497618,1.055176795,0.04322273048,0.4268573328,0.8537146656,1.809587208,1.778563341,151.2554558,2.319677929,1.343102129,2.045884106
short,trajectory_zoh_truth_offset.csv,trajectory_zoh_offset_descent_short_1.csv,0.406439698,0.812879396,1.771851116,0.3351545899,0.6703091798,0.969746405,0.03851820535,0.4142687301,0.8285374602,1.842754098,1.812690213,153.8903594,1.991336867,1.225581938,2.062482865
med,trajectory_zoh_truth_offset.csv,trajectory_zoh_offset_descent_med_1.csv,0.431010133,0.862020266,1.591911005,0.3368380262,0.6736760524,0.9335056136,0.03608051066,0.4083019517,0.8166039034,1.786395366,1.754095062,148.9769472,1.860921633,1.199471554,2.006180656
long,trajectory_zoh_truth_offset.csv,trajectory_zoh_offset_descent_long_1.csv,0.4438219537,0.8876439075,1.506184506,0.3378020153,0.6756040307,0.9129803667,0.0357892764,0.4149425161,0.8298850322,1.884712934,1.847154976,157.1181253,1.803740946,1.184940571,2.100721139
ultra_short,trajectory_zoh_truth_offset.csv,trajectory_cgl_offset_descent_ultra_short_1.csv,0.3449008411,0.6898016823,1.087823773,0.2778504448,0.5557008897,0.7448734574,0.02937290211,0.378964857,0.757929714,1.824899457,1.867871085,148.8093081,1.333470476,0.9699694923,2.012046183
very_short,trajectory_zoh_truth_offset.csv,trajectory_cgl_offset_descent_very_short_1.csv,0.4062790449,0.8125580895,1.507077089,0.3266853378,0.6533706756,0.857892884,0.03957675128,0.4241807126,0.848361425,1.889833984,1.895377071,156.1419934,1.75971437,1.12676384,2.114502039
short,trajectory_zoh_truth_offset.csv,trajectory_cgl_offset_descent_short_1.csv,0.4192581049,0.8385162098,1.607773789,0.334644734,0.669289468,0.9285704892,0.04336112455,0.4328600568,0.8657201136,2.022773354,2.020472358,166.8779543,1.861134962,1.192551317,2.242420831
med,trajectory_zoh_truth_offset.csv,trajectory_cgl_offset_descent_med_1.csv,0.4224865049,0.8449730154,1.619202173,0.3363814621,0.6727629377,0.9457484532,0.04404707901,0.4415782632,0.8831565527,2.174139948,2.161310675,179.162737,1.874643945,1.208388429,2.387852879
long,trajectory_zoh_truth_offset.csv,trajectory_cgl_offset_descent_long_1.csv,0.4241699903,0.8483399807,1.633574973,0.3367967264,0.6735934527,0.9504818836,0.04445535924,0.4369925921,0.8739851833,2.133653966,2.135625825,175.6204199,1.888959527,1.212673074,2.346761997
