run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_descent_long_1,coarse,16,1,137,0.230128,0.287572,Solved,7.500000
zoh_offset_descent_long_1,fine,1,1,24,2.539042,2.561162,AlmostSolved,7.500000
zoh_offset_descent_long_1,total,17,2,161,2.769170,2.855462,AlmostSolved,7.500000
zoh_offset_descent_long_2,coarse,16,1,137,0.227321,0.283145,Solved,7.500000
zoh_offset_descent_long_2,fine,1,1,24,2.459738,2.479238,AlmostSolved,7.500000
zoh_offset_descent_long_2,total,17,2,161,2.687059,2.768282,AlmostSolved,7.500000
zoh_offset_descent_long_3,coarse,16,1,137,0.225757,0.282525,Solved,7.500000
zoh_offset_descent_long_3,fine,1,1,24,2.437687,2.462633,AlmostSolved,7.500000
zoh_offset_descent_long_3,total,17,2,161,2.663444,2.751038,AlmostSolved,7.500000
zoh_offset_descent_long_4,coarse,16,1,137,0.227290,0.289738,Solved,7.500000
zoh_offset_descent_long_4,fine,1,1,24,2.432705,2.454657,AlmostSolved,7.500000
zoh_offset_descent_long_4,total,17,2,161,2.659995,2.750724,AlmostSolved,7.500000
zoh_offset_descent_long_5,coarse,16,1,137,0.230081,0.294073,Solved,7.500000
zoh_offset_descent_long_5,fine,1,1,24,2.435175,2.459822,AlmostSolved,7.500000
zoh_offset_descent_long_5,total,17,2,161,2.665257,2.762572,AlmostSolved,7.500000
zoh_offset_descent_long_6,coarse,16,1,137,0.225546,0.286417,Solved,7.500000
zoh_offset_descent_long_6,fine,1,1,24,2.437151,2.458052,AlmostSolved,7.500000
zoh_offset_descent_long_6,total,17,2,161,2.662697,2.750526,AlmostSolved,7.500000
zoh_offset_descent_long_7,coarse,16,1,137,0.222862,0.282190,Solved,7.500000
zoh_offset_descent_long_7,fine,1,1,24,2.423306,2.447935,AlmostSolved,7.500000
zoh_offset_descent_long_7,total,17,2,161,2.646167,2.736412,AlmostSolved,7.500000
zoh_offset_descent_long_8,coarse,16,1,137,0.226694,0.291934,Solved,7.500000
zoh_offset_descent_long_8,fine,1,1,24,2.422362,2.444935,AlmostSolved,7.500000
zoh_offset_descent_long_8,total,17,2,161,2.649056,2.742541,AlmostSolved,7.500000
zoh_offset_descent_long_9,coarse,16,1,137,0.243562,0.312026,Solved,7.500000
zoh_offset_descent_long_9,fine,1,1,24,2.411081,2.434787,AlmostSolved,7.500000
zoh_offset_descent_long_9,total,17,2,161,2.654643,2.753508,AlmostSolved,7.500000
zoh_offset_descent_long_10,coarse,16,1,137,0.224590,0.287757,Solved,7.500000
zoh_offset_descent_long_10,fine,1,1,24,2.431341,2.453427,AlmostSolved,7.500000
zoh_offset_descent_long_10,total,17,2,161,2.655931,2.747998,AlmostSolved,7.500000
zoh_offset_descent_long_1,coarse,16,1,137,0.228554,0.294811,Solved,7.500000
zoh_offset_descent_long_1,fine,1,1,24,2.409378,2.435423,AlmostSolved,7.500000
zoh_offset_descent_long_1,total,17,2,161,2.637933,2.738257,AlmostSolved,7.500000
zoh_offset_descent_long_2,coarse,16,1,137,0.224334,0.282209,Solved,7.500000
zoh_offset_descent_long_2,fine,1,1,24,2.418909,2.443914,AlmostSolved,7.500000
zoh_offset_descent_long_2,total,17,2,161,2.643244,2.732825,AlmostSolved,7.500000
zoh_offset_descent_long_3,coarse,16,1,137,0.232490,0.295486,Solved,7.500000
zoh_offset_descent_long_3,fine,1,1,24,2.404561,2.426999,AlmostSolved,7.500000
zoh_offset_descent_long_3,total,17,2,161,2.637051,2.728253,AlmostSolved,7.500000
zoh_offset_descent_long_4,coarse,16,1,137,0.228120,0.289702,Solved,7.500000
zoh_offset_descent_long_4,fine,1,1,24,2.435477,2.457936,AlmostSolved,7.500000
zoh_offset_descent_long_4,total,17,2,161,2.663597,2.754783,AlmostSolved,7.500000
zoh_offset_descent_long_5,coarse,16,1,137,0.226737,0.286575,Solved,7.500000
zoh_offset_descent_long_5,fine,1,1,24,2.415516,2.437758,AlmostSolved,7.500000
zoh_offset_descent_long_5,total,17,2,161,2.642253,2.730599,AlmostSolved,7.500000
zoh_offset_descent_long_6,coarse,16,1,137,0.225444,0.282576,Solved,7.500000
zoh_offset_descent_long_6,fine,1,1,24,2.418756,2.440473,AlmostSolved,7.500000
zoh_offset_descent_long_6,total,17,2,161,2.644200,2.729622,AlmostSolved,7.500000
zoh_offset_descent_long_7,coarse,16,1,137,0.241038,0.306864,Solved,7.500000
zoh_offset_descent_long_7,fine,1,1,24,2.427840,2.450738,AlmostSolved,7.500000
zoh_offset_descent_long_7,total,17,2,161,2.668878,2.764230,AlmostSolved,7.500000
zoh_offset_descent_long_8,coarse,16,1,137,0.228097,0.291661,Solved,7.500000
zoh_offset_descent_long_8,fine,1,1,24,2.431015,2.452921,AlmostSolved,7.500000
zoh_offset_descent_long_8,total,17,2,161,2.659112,2.750178,AlmostSolved,7.500000
zoh_offset_descent_long_9,coarse,16,1,137,0.232418,0.297718,Solved,7.500000
zoh_offset_descent_long_9,fine,1,1,24,2.426051,2.447465,AlmostSolved,7.500000
zoh_offset_descent_long_9,total,17,2,161,2.658469,2.751706,AlmostSolved,7.500000
zoh_offset_descent_long_10,coarse,16,1,137,0.223453,0.287945,Solved,7.500000
zoh_offset_descent_long_10,fine,1,1,24,2.414904,2.438810,AlmostSolved,7.500000
zoh_offset_descent_long_10,total,17,2,161,2.638357,2.734755,AlmostSolved,7.500000
zoh_offset_descent_long_1,coarse,16,1,137,0.229732,0.291956,Solved,7.500000
zoh_offset_descent_long_1,fine,1,1,24,2.483856,2.502863,AlmostSolved,7.500000
zoh_offset_descent_long_1,total,17,2,161,2.713588,2.800738,AlmostSolved,7.500000
zoh_offset_descent_long_2,coarse,16,1,137,0.228146,0.286347,Solved,7.500000
zoh_offset_descent_long_2,fine,1,1,24,2.467483,2.487080,AlmostSolved,7.500000
zoh_offset_descent_long_2,total,17,2,161,2.695629,2.780077,AlmostSolved,7.500000
zoh_offset_descent_long_3,coarse,16,1,137,0.223847,0.279334,Solved,7.500000
zoh_offset_descent_long_3,fine,1,1,24,2.496729,2.516593,AlmostSolved,7.500000
zoh_offset_descent_long_3,total,17,2,161,2.720576,2.802506,AlmostSolved,7.500000
zoh_offset_descent_long_4,coarse,16,1,137,0.226693,0.292227,Solved,7.500000
zoh_offset_descent_long_4,fine,1,1,24,2.491765,2.511323,AlmostSolved,7.500000
zoh_offset_descent_long_4,total,17,2,161,2.718458,2.810254,AlmostSolved,7.500000
zoh_offset_descent_long_5,coarse,16,1,137,0.233110,0.304282,Solved,7.500000
zoh_offset_descent_long_5,fine,1,1,24,2.464887,2.485103,AlmostSolved,7.500000
zoh_offset_descent_long_5,total,17,2,161,2.697996,2.797080,AlmostSolved,7.500000
zoh_offset_descent_long_6,coarse,16,1,137,0.225235,0.280644,Solved,7.500000
zoh_offset_descent_long_6,fine,1,1,24,2.426497,2.447299,AlmostSolved,7.500000
zoh_offset_descent_long_6,total,17,2,161,2.651733,2.735143,AlmostSolved,7.500000
zoh_offset_descent_long_7,coarse,16,1,137,0.231097,0.297144,Solved,7.500000
zoh_offset_descent_long_7,fine,1,1,24,2.384790,2.406023,AlmostSolved,7.500000
zoh_offset_descent_long_7,total,17,2,161,2.615887,2.709290,AlmostSolved,7.500000
zoh_offset_descent_long_8,coarse,16,1,137,0.218588,0.272452,Solved,7.500000
zoh_offset_descent_long_8,fine,1,1,24,2.431164,2.453260,AlmostSolved,7.500000
zoh_offset_descent_long_8,total,17,2,161,2.649752,2.732858,AlmostSolved,7.500000
zoh_offset_descent_long_9,coarse,16,1,137,0.224605,0.285657,Solved,7.500000
zoh_offset_descent_long_9,fine,1,1,24,2.432082,2.455224,AlmostSolved,7.500000
zoh_offset_descent_long_9,total,17,2,161,2.656687,2.746202,AlmostSolved,7.500000
zoh_offset_descent_long_10,coarse,16,1,137,0.229538,0.293127,Solved,7.500000
zoh_offset_descent_long_10,fine,1,1,24,2.446094,2.469548,AlmostSolved,7.500000
zoh_offset_descent_long_10,total,17,2,161,2.675633,2.769111,AlmostSolved,7.500000
zoh_offset_descent_long_1,coarse,16,1,137,0.224778,0.288658,Solved,7.500000
zoh_offset_descent_long_1,fine,1,1,24,2.432062,2.454507,AlmostSolved,7.500000
zoh_offset_descent_long_1,total,17,2,161,2.656840,2.749326,AlmostSolved,7.500000
zoh_offset_descent_long_2,coarse,16,1,137,0.225371,0.285197,Solved,7.500000
zoh_offset_descent_long_2,fine,1,1,24,2.459749,2.481820,AlmostSolved,7.500000
zoh_offset_descent_long_2,total,17,2,161,2.685120,2.774296,AlmostSolved,7.500000
zoh_offset_descent_long_3,coarse,16,1,137,0.229449,0.286648,Solved,7.500000
zoh_offset_descent_long_3,fine,1,1,24,2.402090,2.422759,AlmostSolved,7.500000
zoh_offset_descent_long_3,total,17,2,161,2.631539,2.717421,AlmostSolved,7.500000
zoh_offset_descent_long_4,coarse,16,1,137,0.225755,0.286975,Solved,7.500000
zoh_offset_descent_long_4,fine,1,1,24,2.435680,2.457408,AlmostSolved,7.500000
zoh_offset_descent_long_4,total,17,2,161,2.661435,2.751617,AlmostSolved,7.500000
zoh_offset_descent_long_5,coarse,16,1,137,0.228050,0.291393,Solved,7.500000
zoh_offset_descent_long_5,fine,1,1,24,2.408131,2.429879,AlmostSolved,7.500000
zoh_offset_descent_long_5,total,17,2,161,2.636180,2.727987,AlmostSolved,7.500000
zoh_offset_descent_long_6,coarse,16,1,137,0.223220,0.285380,Solved,7.500000
zoh_offset_descent_long_6,fine,1,1,24,2.426525,2.449663,AlmostSolved,7.500000
zoh_offset_descent_long_6,total,17,2,161,2.649746,2.741300,AlmostSolved,7.500000
zoh_offset_descent_long_7,coarse,16,1,137,0.226458,0.290435,Solved,7.500000
zoh_offset_descent_long_7,fine,1,1,24,2.393436,2.413979,AlmostSolved,7.500000
zoh_offset_descent_long_7,total,17,2,161,2.619893,2.710292,AlmostSolved,7.500000
zoh_offset_descent_long_8,coarse,16,1,137,0.228938,0.292625,Solved,7.500000
zoh_offset_descent_long_8,fine,1,1,24,2.422740,2.443876,AlmostSolved,7.500000
zoh_offset_descent_long_8,total,17,2,161,2.651679,2.743428,AlmostSolved,7.500000
zoh_offset_descent_long_9,coarse,16,1,137,0.227667,0.286117,Solved,7.500000
zoh_offset_descent_long_9,fine,1,1,24,2.445186,2.468170,AlmostSolved,7.500000
zoh_offset_descent_long_9,total,17,2,161,2.672854,2.760631,AlmostSolved,7.500000
zoh_offset_descent_long_10,coarse,16,1,137,0.242391,0.312565,Solved,7.500000
zoh_offset_descent_long_10,fine,1,1,24,2.442161,2.462914,AlmostSolved,7.500000
zoh_offset_descent_long_10,total,17,2,161,2.684552,2.783864,AlmostSolved,7.500000
