t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000014,20.00000000000006,49.99999999999996,0.00000000000008559437461939335,0.00000000000024769557569544676,0.00000000000008429540449786809,80.00000000024156,-1.4346560325807718,-2.8693121289438013,12.081196847321658,12.499861601923882,999.988823264909
1,9.998031460687118,19.996062921616733,49.988986779940404,-0.05682033202153527,-0.11364066438588363,-0.2572652113191415,79.97757406892846,-1.1948982885592636,-2.389796592748743,10.061330011032648,10.410086482687433,832.5710453241107
2,9.99011455441925,19.980229108974562,49.97288132805773,-0.1519458497653453,-0.30389170100454677,-0.19198227828617095,79.94004478108832,-1.0593773588523552,-2.118754727606287,8.922207347456206,9.231273204740122,737.9517747816382
3,9.976351731185646,19.95270346256214,49.95082691009705,-0.20838799001419292,-0.4167759819459887,-0.4523687479080619,79.91778195076428,-0.5362988785376109,-1.0725977600380112,4.515565639210883,4.672107806097091,373.3829887597042
4,9.959301555683533,19.918603111384932,49.90127113808187,-0.2463233705045019,-0.49264674289123944,-0.8687964015079863,79.90283001250998,-0.5293095598432757,-1.0586191166651233,4.455612541462209,4.610184365133003,368.36267244836273
5,9.939245127088313,19.878490254084163,49.8218430485852,-0.2895347305594402,-0.5790694629353553,-1.240643681463779,79.88579458145863,-0.608316732149787,-1.2166334683189364,5.12492905986685,5.30230400444561,423.58416486925256
6,9.915819063591787,19.83163812700781,49.715619776622745,-0.33490420191415815,-0.6698084065020344,-1.5941414426667424,79.86790470762503,-0.5898301484554362,-1.1796603152099032,4.9686298809075735,5.140651933246828,410.57681706522277
7,9.889080669424136,19.778161338351005,49.58211551610096,-0.37768761140163126,-0.7553752270460947,-1.969674175119343,79.85104887135618,-0.5562079179550978,-1.1124158570285152,4.680583503254334,4.843087791523876,386.71903543443847
8,9.859192900060377,19.71838579909089,49.41993522600969,-0.4194007990463524,-0.8388016036666084,-2.354449439698204,79.83462806538502,-0.5621312583922451,-1.1242625309070637,4.73049258029178,4.894718409264479,390.76190347299473
9,9.826135926897418,19.652271852213797,49.229246544992044,-0.4623921973622982,-0.9247844012095292,-2.728199988725449,79.81769600199199,-0.5834287415620425,-1.1668574950526058,4.9158346290209085,5.0859349576078605,405.95264187071393
10,9.789805758294074,19.579611514476447,49.01095443195852,-0.5064734619336192,-1.0129469314471538,-3.0923665293051763,79.80032093502928,-0.5883588730108384,-1.1767177639993112,4.9605565453408005,5.131926521134832,409.53935287111744
11,9.750174240868411,19.500348478994045,48.765311164220286,-0.5502181306399734,-1.1004362703899384,-3.459440292769699,79.78308528387237,-0.5767971217606762,-1.1535942645941435,4.858016198447028,5.026294534423248,401.014549673085
12,9.707297430020706,19.414594856497608,48.491818270268126,-0.5930319299649066,-1.1860638703394495,-3.83491606920266,79.76624394542692,-0.5664589131835669,-1.1329178373840696,4.762782858413084,4.928461383359923,393.11471691204304
