group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_med,cgl_offset_descent_med_1,0.946306,,
cgl_offset_descent_med,cgl_offset_descent_med_2,0.961106,,
cgl_offset_descent_med,cgl_offset_descent_med_3,0.939703,,
cgl_offset_descent_med,cgl_offset_descent_med_4,0.937365,,
cgl_offset_descent_med,cgl_offset_descent_med_5,0.931521,,
cgl_offset_descent_med,cgl_offset_descent_med_6,0.928088,,
cgl_offset_descent_med,cgl_offset_descent_med_7,0.953180,,
cgl_offset_descent_med,cgl_offset_descent_med_8,0.941670,,
cgl_offset_descent_med,cgl_offset_descent_med_9,0.959206,,
cgl_offset_descent_med,cgl_offset_descent_med_10,0.949638,,
cgl_offset_descent_med,set_1_avg,,0.944778,0.003521
zoh_offset_descent_med,zoh_offset_descent_med_1,1.056438,,
zoh_offset_descent_med,zoh_offset_descent_med_2,1.040660,,
zoh_offset_descent_med,zoh_offset_descent_med_3,1.034938,,
zoh_offset_descent_med,zoh_offset_descent_med_4,1.047373,,
zoh_offset_descent_med,zoh_offset_descent_med_5,1.045561,,
zoh_offset_descent_med,zoh_offset_descent_med_6,1.032342,,
zoh_offset_descent_med,zoh_offset_descent_med_7,1.030179,,
zoh_offset_descent_med,zoh_offset_descent_med_8,1.032770,,
zoh_offset_descent_med,zoh_offset_descent_med_9,1.023865,,
zoh_offset_descent_med,zoh_offset_descent_med_10,1.030126,,
zoh_offset_descent_med,set_1_avg,,1.037425,0.003128
