run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_descent_short_1,coarse,16,1,137,0.224729,0.279718,Solved,7.500000
zoh_offset_descent_short_1,fine,1,1,19,0.475978,0.485164,Solved,7.500000
zoh_offset_descent_short_1,total,17,2,156,0.700707,0.769673,Solved,7.500000
zoh_offset_descent_short_2,coarse,16,1,137,0.222858,0.278179,Solved,7.500000
zoh_offset_descent_short_2,fine,1,1,19,0.475576,0.483922,Solved,7.500000
zoh_offset_descent_short_2,total,17,2,156,0.698434,0.767627,Solved,7.500000
zoh_offset_descent_short_3,coarse,16,1,137,0.224691,0.284920,Solved,7.500000
zoh_offset_descent_short_3,fine,1,1,19,0.472574,0.481332,Solved,7.500000
zoh_offset_descent_short_3,total,17,2,156,0.697265,0.771239,Solved,7.500000
zoh_offset_descent_short_4,coarse,16,1,137,0.227765,0.287232,Solved,7.500000
zoh_offset_descent_short_4,fine,1,1,19,0.486919,0.496177,Solved,7.500000
zoh_offset_descent_short_4,total,17,2,156,0.714684,0.788802,Solved,7.500000
zoh_offset_descent_short_5,coarse,16,1,137,0.224629,0.279819,Solved,7.500000
zoh_offset_descent_short_5,fine,1,1,19,0.481404,0.490688,Solved,7.500000
zoh_offset_descent_short_5,total,17,2,156,0.706033,0.775673,Solved,7.500000
zoh_offset_descent_short_6,coarse,16,1,137,0.233748,0.292852,Solved,7.500000
zoh_offset_descent_short_6,fine,1,1,19,0.488733,0.497839,Solved,7.500000
zoh_offset_descent_short_6,total,17,2,156,0.722481,0.795803,Solved,7.500000
zoh_offset_descent_short_7,coarse,16,1,137,0.226232,0.286482,Solved,7.500000
zoh_offset_descent_short_7,fine,1,1,19,0.488220,0.496679,Solved,7.500000
zoh_offset_descent_short_7,total,17,2,156,0.714453,0.788058,Solved,7.500000
zoh_offset_descent_short_8,coarse,16,1,137,0.224831,0.274966,Solved,7.500000
zoh_offset_descent_short_8,fine,1,1,19,0.483665,0.492288,Solved,7.500000
zoh_offset_descent_short_8,total,17,2,156,0.708496,0.772272,Solved,7.500000
zoh_offset_descent_short_9,coarse,16,1,137,0.225455,0.275496,Solved,7.500000
zoh_offset_descent_short_9,fine,1,1,19,0.484159,0.493008,Solved,7.500000
zoh_offset_descent_short_9,total,17,2,156,0.709614,0.773786,Solved,7.500000
zoh_offset_descent_short_10,coarse,16,1,137,0.225174,0.279181,Solved,7.500000
zoh_offset_descent_short_10,fine,1,1,19,0.502667,0.511742,Solved,7.500000
zoh_offset_descent_short_10,total,17,2,156,0.727841,0.796029,Solved,7.500000
zoh_offset_descent_short_1,coarse,16,1,137,0.221553,0.278701,Solved,7.500000
zoh_offset_descent_short_1,fine,1,1,20,1.038153,1.050373,Solved,7.500000
zoh_offset_descent_short_1,total,17,2,157,1.259706,1.335005,Solved,7.500000
zoh_offset_descent_short_2,coarse,16,1,137,0.227301,0.290493,Solved,7.500000
zoh_offset_descent_short_2,fine,1,1,20,1.028459,1.040358,Solved,7.500000
zoh_offset_descent_short_2,total,17,2,157,1.255760,1.337596,Solved,7.500000
zoh_offset_descent_short_3,coarse,16,1,137,0.229000,0.292833,Solved,7.500000
zoh_offset_descent_short_3,fine,1,1,20,1.036943,1.049031,Solved,7.500000
zoh_offset_descent_short_3,total,17,2,157,1.265944,1.348357,Solved,7.500000
zoh_offset_descent_short_4,coarse,16,1,137,0.224413,0.286856,Solved,7.500000
zoh_offset_descent_short_4,fine,1,1,20,1.026727,1.038680,Solved,7.500000
zoh_offset_descent_short_4,total,17,2,157,1.251140,1.330946,Solved,7.500000
zoh_offset_descent_short_1,coarse,16,1,137,0.223093,0.285013,Solved,7.500000
zoh_offset_descent_short_1,fine,1,1,19,0.481862,0.490730,Solved,7.500000
zoh_offset_descent_short_1,total,17,2,156,0.704955,0.780736,Solved,7.500000
zoh_offset_descent_short_2,coarse,16,1,137,0.221731,0.276029,Solved,7.500000
zoh_offset_descent_short_2,fine,1,1,19,0.493550,0.503066,Solved,7.500000
zoh_offset_descent_short_2,total,17,2,156,0.715281,0.784560,Solved,7.500000
zoh_offset_descent_short_3,coarse,16,1,137,0.222308,0.276860,Solved,7.500000
zoh_offset_descent_short_3,fine,1,1,19,0.478816,0.487295,Solved,7.500000
zoh_offset_descent_short_3,total,17,2,156,0.701124,0.768933,Solved,7.500000
zoh_offset_descent_short_4,coarse,16,1,137,0.222885,0.278448,Solved,7.500000
zoh_offset_descent_short_4,fine,1,1,19,0.469643,0.477525,Solved,7.500000
zoh_offset_descent_short_4,total,17,2,156,0.692528,0.760611,Solved,7.500000
zoh_offset_descent_short_5,coarse,16,1,137,0.223021,0.277107,Solved,7.500000
zoh_offset_descent_short_5,fine,1,1,19,0.483291,0.494031,Solved,7.500000
zoh_offset_descent_short_5,total,17,2,156,0.706312,0.776292,Solved,7.500000
zoh_offset_descent_short_6,coarse,16,1,137,0.220355,0.274506,Solved,7.500000
zoh_offset_descent_short_6,fine,1,1,19,0.479193,0.488004,Solved,7.500000
zoh_offset_descent_short_6,total,17,2,156,0.699549,0.767768,Solved,7.500000
zoh_offset_descent_short_7,coarse,16,1,137,0.224242,0.279704,Solved,7.500000
zoh_offset_descent_short_7,fine,1,1,19,0.486790,0.495880,Solved,7.500000
zoh_offset_descent_short_7,total,17,2,156,0.711032,0.780293,Solved,7.500000
zoh_offset_descent_short_8,coarse,16,1,137,0.224492,0.285021,Solved,7.500000
zoh_offset_descent_short_8,fine,1,1,19,0.475990,0.485611,Solved,7.500000
zoh_offset_descent_short_8,total,17,2,156,0.700482,0.776241,Solved,7.500000
zoh_offset_descent_short_9,coarse,16,1,137,0.223293,0.285982,Solved,7.500000
zoh_offset_descent_short_9,fine,1,1,19,0.473598,0.482776,Solved,7.500000
zoh_offset_descent_short_9,total,17,2,156,0.696890,0.774499,Solved,7.500000
zoh_offset_descent_short_10,coarse,16,1,137,0.238722,0.301903,Solved,7.500000
zoh_offset_descent_short_10,fine,1,1,19,0.480857,0.490274,Solved,7.500000
zoh_offset_descent_short_10,total,17,2,156,0.719579,0.797486,Solved,7.500000
