run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_descent_ultra_short_1,coarse,16,1,139,0.689172,0.762710,Solved,7.500000
cgl_offset_descent_ultra_short_1,fine,1,1,13,0.037214,0.041584,Solved,7.500000
cgl_offset_descent_ultra_short_1,total,17,2,152,0.726386,0.810160,Solved,7.500000
cgl_offset_descent_ultra_short_2,coarse,16,1,139,0.682369,0.750298,Solved,7.500000
cgl_offset_descent_ultra_short_2,fine,1,1,13,0.034527,0.038786,Solved,7.500000
cgl_offset_descent_ultra_short_2,total,17,2,152,0.716896,0.794472,Solved,7.500000
cgl_offset_descent_ultra_short_3,coarse,16,1,139,0.684224,0.746595,Solved,7.500000
cgl_offset_descent_ultra_short_3,fine,1,1,13,0.034695,0.038723,Solved,7.500000
cgl_offset_descent_ultra_short_3,total,17,2,152,0.718919,0.789970,Solved,7.500000
cgl_offset_descent_ultra_short_4,coarse,16,1,139,0.689654,0.755782,Solved,7.500000
cgl_offset_descent_ultra_short_4,fine,1,1,13,0.039316,0.043981,Solved,7.500000
cgl_offset_descent_ultra_short_4,total,17,2,152,0.728970,0.804944,Solved,7.500000
cgl_offset_descent_ultra_short_5,coarse,16,1,139,0.692302,0.765123,Solved,7.500000
cgl_offset_descent_ultra_short_5,fine,1,1,13,0.034265,0.038343,Solved,7.500000
cgl_offset_descent_ultra_short_5,total,17,2,152,0.726567,0.808887,Solved,7.500000
cgl_offset_descent_ultra_short_6,coarse,16,1,139,0.684815,0.745424,Solved,7.500000
cgl_offset_descent_ultra_short_6,fine,1,1,13,0.034867,0.038334,Solved,7.500000
cgl_offset_descent_ultra_short_6,total,17,2,152,0.719682,0.788149,Solved,7.500000
cgl_offset_descent_ultra_short_7,coarse,16,1,139,0.683237,0.751020,Solved,7.500000
cgl_offset_descent_ultra_short_7,fine,1,1,13,0.034207,0.038626,Solved,7.500000
cgl_offset_descent_ultra_short_7,total,17,2,152,0.717444,0.794271,Solved,7.500000
cgl_offset_descent_ultra_short_8,coarse,16,1,139,0.673778,0.742232,Solved,7.500000
cgl_offset_descent_ultra_short_8,fine,1,1,13,0.034230,0.038163,Solved,7.500000
cgl_offset_descent_ultra_short_8,total,17,2,152,0.708008,0.785422,Solved,7.500000
cgl_offset_descent_ultra_short_9,coarse,16,1,139,0.673985,0.737406,Solved,7.500000
cgl_offset_descent_ultra_short_9,fine,1,1,13,0.034111,0.038409,Solved,7.500000
cgl_offset_descent_ultra_short_9,total,17,2,152,0.708097,0.780088,Solved,7.500000
cgl_offset_descent_ultra_short_10,coarse,16,1,139,0.688079,0.770917,Solved,7.500000
cgl_offset_descent_ultra_short_10,fine,1,1,13,0.034943,0.038963,Solved,7.500000
cgl_offset_descent_ultra_short_10,total,17,2,152,0.723022,0.815229,Solved,7.500000
