t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.00000000000002,20.00000000000004,50,0.0000000000000668001320168758,0.00000000000013361276270209824,0.00000000000001630374084056376,80.00000000000615,-0.67252960398487,-1.3450592082420487,6.170501603084119,6.892265780703866,508.0886245565128
1,9.998142312350295,19.99628462469995,49.98935824405414,-0.049104921331397114,-0.09820984268067613,-0.2890175004493615,79.9774454758669,-0.6378493471487882,-1.27569869450141,5.75146616356169,6.395820660189379,473.9203341968279
2,9.992694247631974,19.98538849526149,49.95591216097725,-0.0958093809499174,-0.19161876193086033,-0.6074506712339736,79.95647709153326,-0.6084487278973157,-1.2168974559411878,5.385609582999956,5.961288145933892,444.142503895253
3,9.983821373783984,19.967642747562824,49.897602492823005,-0.14049410501081894,-0.28098821006187236,-0.9514167754779844,79.93688946926375,-0.58392356425457,-1.1678471286085321,5.070127160336482,5.585111392604556,418.5138814053105
4,9.971661827616293,19.943323655224177,49.81265337364794,-0.18351004255984396,-0.3670200851659211,-1.317240433589813,79.91848937415877,-0.5638839486352207,-1.1277678973317549,4.802293905815942,5.263856764188709,396.8003483025386
5,9.956328508133828,19.912657016255604,49.69955700098499,-0.22517942861866738,-0.4503588572870049,-1.701447681642559,79.90109525459066,-0.5479540480104188,-1.0959080960521868,4.579463561564845,4.994211357689889,378.77463485995804
6,9.937911190690865,19.875822381365843,49.55705875018371,-0.26579683228285267,-0.5315936646168288,-2.100760103211298,79.88453679855272,-0.5357719040737243,-1.0715438081560344,4.3990676221662115,4.772980550119156,364.2161416973614
7,9.916478563100222,19.832957126180656,49.38414272610843,-0.305630189832257,-0.6112603797156179,-2.512089034667303,79.86865450481798,-0.5269892334070372,-1.0539784668062369,4.2586143552342905,4.5970855687817505,352.9108770696984
8,9.892080184821129,19.784160369618597,49.18001774668431,-0.3449218228538774,-0.6898436457578143,-2.932529843929146,79.85329926789503,-0.521271227646523,-1.0425424552743168,4.155687821989243,4.463561084859082,344.6514996079684
9,9.864748370349972,19.729496740672506,48.94410375278262,-0.3838894413771451,-0.7677788828026694,-3.35935628267071,79.83833197587983,-0.5182963536485442,-1.0365927072722436,4.087946897831857,4.369552830286051,339.23743546525105
10,9.834499997937877,19.668999995844665,48.676018638935844,-0.42272713202166007,-0.8454542640897167,-3.790014911986079,79.82362312038525,-0.5177561536555872,-1.0355123072842825,4.053124292918233,4.312315237923698,336.47502324248603
11,9.801338244759284,19.60267648948397,48.375565499373096,-0.46160633115737454,-0.9232126623591432,-4.222119601511355,79.80905241782062,-0.5193550454621916,-1.0387100908988558,4.049025572734489,4.289209105027175,336.1776358144586
12,9.765254249655502,19.53050849927304,48.04272028386697,-0.5006767830772187,-1.0013535661970434,-4.653446102003335,79.79450844136682,-0.5228101225808784,-1.0456202451403944,4.073528178671462,4.29769928000906,338.1657371266366
13,9.726228704577416,19.45245740911361,47.6776198578822,-0.5400674831821713,-1.080134966405565,-5.0819266913751315,79.7798882630641,-0.5278509544080802,-1.0557019088011985,4.124580448599409,4.335352372497997,342.2668508525329
14,9.684233375851239,19.368466751658097,47.280550461517045,-0.5798876061787757,-1.1597752123979437,-5.505644894188631,79.76509710549098,-0.5342193863900669,-1.0684387727732882,4.200200637442695,4.3998344866926455,348.31543968249974
15,9.639232556391633,19.278465112735745,46.85193656172824,-0.6202274192890995,-1.2404548386184264,-5.922830274603921,79.75004800257534,-0.5416693401888778,-1.0833386803802638,4.298475937754504,4.488908978010993,356.1527120418981
16,9.591184449985944,19.182368899921226,46.3923300923299,-0.6611591804731405,-1.3223183609870852,-6.331853302785552,79.73466146912676,-0.5499666138482473,-1.0999332277091596,4.417561500291533,4.600434233034947,365.6263830396809
17,9.540042488773947,19.080084977494018,45.90240007625747,-0.7027380216636749,-1.4054760433695175,-6.731220294765729,79.71886517872707,-0.5588886819595353,-1.117777363942299,4.555679454588691,4.732361472750306,376.59041793573107
