run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_descent_ultra_short_1,coarse,16,1,137,0.236841,0.307414,Solved,7.500000
zoh_offset_descent_ultra_short_1,fine,1,1,13,0.033459,0.038377,Solved,7.500000
zoh_offset_descent_ultra_short_1,total,17,2,150,0.270300,0.350554,Solved,7.500000
zoh_offset_descent_ultra_short_2,coarse,16,1,137,0.229770,0.282327,Solved,7.500000
zoh_offset_descent_ultra_short_2,fine,1,1,13,0.031740,0.036085,Solved,7.500000
zoh_offset_descent_ultra_short_2,total,17,2,150,0.261510,0.322557,Solved,7.500000
zoh_offset_descent_ultra_short_3,coarse,16,1,137,0.231544,0.285260,Solved,7.500000
zoh_offset_descent_ultra_short_3,fine,1,1,13,0.032276,0.035929,Solved,7.500000
zoh_offset_descent_ultra_short_3,total,17,2,150,0.263821,0.325459,Solved,7.500000
zoh_offset_descent_ultra_short_4,coarse,16,1,137,0.232478,0.284512,Solved,7.500000
zoh_offset_descent_ultra_short_4,fine,1,1,13,0.032770,0.037605,Solved,7.500000
zoh_offset_descent_ultra_short_4,total,17,2,150,0.265248,0.326436,Solved,7.500000
zoh_offset_descent_ultra_short_5,coarse,16,1,137,0.225832,0.278691,Solved,7.500000
zoh_offset_descent_ultra_short_5,fine,1,1,13,0.031660,0.035472,Solved,7.500000
zoh_offset_descent_ultra_short_5,total,17,2,150,0.257492,0.318067,Solved,7.500000
zoh_offset_descent_ultra_short_6,coarse,16,1,137,0.241579,0.300241,Solved,7.500000
zoh_offset_descent_ultra_short_6,fine,1,1,13,0.032027,0.036037,Solved,7.500000
zoh_offset_descent_ultra_short_6,total,17,2,150,0.273606,0.340824,Solved,7.500000
zoh_offset_descent_ultra_short_7,coarse,16,1,137,0.232750,0.284229,Solved,7.500000
zoh_offset_descent_ultra_short_7,fine,1,1,13,0.032615,0.036752,Solved,7.500000
zoh_offset_descent_ultra_short_7,total,17,2,150,0.265365,0.324876,Solved,7.500000
zoh_offset_descent_ultra_short_8,coarse,16,1,137,0.236027,0.290454,Solved,7.500000
zoh_offset_descent_ultra_short_8,fine,1,1,13,0.032303,0.036840,Solved,7.500000
zoh_offset_descent_ultra_short_8,total,17,2,150,0.268330,0.332464,Solved,7.500000
zoh_offset_descent_ultra_short_9,coarse,16,1,137,0.230326,0.282466,Solved,7.500000
zoh_offset_descent_ultra_short_9,fine,1,1,13,0.032025,0.035787,Solved,7.500000
zoh_offset_descent_ultra_short_9,total,17,2,150,0.262351,0.322320,Solved,7.500000
zoh_offset_descent_ultra_short_10,coarse,16,1,137,0.231614,0.282921,Solved,7.500000
zoh_offset_descent_ultra_short_10,fine,1,1,13,0.031705,0.035287,Solved,7.500000
zoh_offset_descent_ultra_short_10,total,17,2,150,0.263319,0.323428,Solved,7.500000
