run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_descent_very_short_1,coarse,16,1,139,0.670606,0.731821,Solved,7.500000
cgl_offset_descent_very_short_1,fine,1,1,15,0.147618,0.154034,Solved,7.500000
cgl_offset_descent_very_short_1,total,17,2,154,0.818223,0.890457,Solved,7.500000
cgl_offset_descent_very_short_2,coarse,16,1,139,0.686564,0.755529,Solved,7.500000
cgl_offset_descent_very_short_2,fine,1,1,15,0.152346,0.157737,Solved,7.500000
cgl_offset_descent_very_short_2,total,17,2,154,0.838910,0.919235,Solved,7.500000
cgl_offset_descent_very_short_3,coarse,16,1,139,0.673345,0.734888,Solved,7.500000
cgl_offset_descent_very_short_3,fine,1,1,15,0.151369,0.156989,Solved,7.500000
cgl_offset_descent_very_short_3,total,17,2,154,0.824714,0.896337,Solved,7.500000
cgl_offset_descent_very_short_4,coarse,16,1,139,0.672775,0.733781,Solved,7.500000
cgl_offset_descent_very_short_4,fine,1,1,15,0.147558,0.152498,Solved,7.500000
cgl_offset_descent_very_short_4,total,17,2,154,0.820334,0.890954,Solved,7.500000
cgl_offset_descent_very_short_5,coarse,16,1,139,0.691080,0.758153,Solved,7.500000
cgl_offset_descent_very_short_5,fine,1,1,15,0.145368,0.150481,Solved,7.500000
cgl_offset_descent_very_short_5,total,17,2,154,0.836448,0.913925,Solved,7.500000
cgl_offset_descent_very_short_6,coarse,16,1,139,0.653493,0.713930,Solved,7.500000
cgl_offset_descent_very_short_6,fine,1,1,15,0.139368,0.144621,Solved,7.500000
cgl_offset_descent_very_short_6,total,17,2,154,0.792861,0.863337,Solved,7.500000
cgl_offset_descent_very_short_7,coarse,16,1,139,0.677841,0.740365,Solved,7.500000
cgl_offset_descent_very_short_7,fine,1,1,15,0.150884,0.155895,Solved,7.500000
cgl_offset_descent_very_short_7,total,17,2,154,0.828724,0.901133,Solved,7.500000
cgl_offset_descent_very_short_8,coarse,16,1,139,0.685135,0.746599,Solved,7.500000
cgl_offset_descent_very_short_8,fine,1,1,15,0.152016,0.159735,Solved,7.500000
cgl_offset_descent_very_short_8,total,17,2,154,0.837152,0.911182,Solved,7.500000
cgl_offset_descent_very_short_9,coarse,16,1,139,0.668818,0.732404,Solved,7.500000
cgl_offset_descent_very_short_9,fine,1,1,15,0.149602,0.154691,Solved,7.500000
cgl_offset_descent_very_short_9,total,17,2,154,0.818420,0.891716,Solved,7.500000
cgl_offset_descent_very_short_10,coarse,16,1,139,0.667079,0.730548,Solved,7.500000
cgl_offset_descent_very_short_10,fine,1,1,15,0.145939,0.151156,Solved,7.500000
cgl_offset_descent_very_short_10,total,17,2,154,0.813018,0.886615,Solved,7.500000
cgl_offset_descent_very_short_1,coarse,16,1,139,0.684334,0.755958,Solved,7.500000
cgl_offset_descent_very_short_1,fine,1,1,18,0.200753,0.209416,Solved,7.500000
cgl_offset_descent_very_short_1,total,17,2,157,0.885086,0.971365,Solved,7.500000
cgl_offset_descent_very_short_2,coarse,16,1,139,0.663593,0.729838,Solved,7.500000
cgl_offset_descent_very_short_2,fine,1,1,18,0.197669,0.204239,Solved,7.500000
cgl_offset_descent_very_short_2,total,17,2,157,0.861262,0.939363,Solved,7.500000
cgl_offset_descent_very_short_3,coarse,16,1,139,0.663787,0.728809,Solved,7.500000
cgl_offset_descent_very_short_3,fine,1,1,18,0.193637,0.199644,Solved,7.500000
cgl_offset_descent_very_short_3,total,17,2,157,0.857424,0.934498,Solved,7.500000
cgl_offset_descent_very_short_4,coarse,16,1,139,0.677810,0.750803,Solved,7.500000
cgl_offset_descent_very_short_4,fine,1,1,18,0.197446,0.203399,Solved,7.500000
cgl_offset_descent_very_short_4,total,17,2,157,0.875256,0.960258,Solved,7.500000
cgl_offset_descent_very_short_5,coarse,16,1,139,0.669689,0.732499,Solved,7.500000
cgl_offset_descent_very_short_5,fine,1,1,18,0.203008,0.209049,Solved,7.500000
cgl_offset_descent_very_short_5,total,17,2,157,0.872698,0.946133,Solved,7.500000
cgl_offset_descent_very_short_6,coarse,16,1,139,0.677394,0.739440,Solved,7.500000
cgl_offset_descent_very_short_6,fine,1,1,18,0.195570,0.201856,Solved,7.500000
cgl_offset_descent_very_short_6,total,17,2,157,0.872965,0.946877,Solved,7.500000
cgl_offset_descent_very_short_7,coarse,16,1,139,0.690987,0.754901,Solved,7.500000
cgl_offset_descent_very_short_7,fine,1,1,18,0.209106,0.215894,Solved,7.500000
cgl_offset_descent_very_short_7,total,17,2,157,0.900093,0.975670,Solved,7.500000
cgl_offset_descent_very_short_8,coarse,16,1,139,0.669735,0.728302,Solved,7.500000
cgl_offset_descent_very_short_8,fine,1,1,18,0.203772,0.209846,Solved,7.500000
cgl_offset_descent_very_short_8,total,17,2,157,0.873507,0.942493,Solved,7.500000
cgl_offset_descent_very_short_9,coarse,16,1,139,0.692567,0.758820,Solved,7.500000
cgl_offset_descent_very_short_9,fine,1,1,18,0.205574,0.211664,Solved,7.500000
cgl_offset_descent_very_short_9,total,17,2,157,0.898141,0.976107,Solved,7.500000
cgl_offset_descent_very_short_10,coarse,16,1,139,0.675633,0.741991,Solved,7.500000
cgl_offset_descent_very_short_10,fine,1,1,18,0.205683,0.212253,Solved,7.500000
cgl_offset_descent_very_short_10,total,17,2,157,0.881315,0.958947,Solved,7.500000
