t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,0.000000000000002100424836825127,0.000000000000004268316795859008,0.000000000000002053718078944551,79.99999999999905,-1.3421167145822308,-2.6842334235754417,11.297326605869717,11.698228601825978,935.1311344618626
1,9.996726425434783,19.993452850999528,49.99996769703189,-0.08165205145114582,-0.16330410266733672,-0.04831315681507438,79.96777158752094,-0.8877444507780591,-1.7754889002650631,7.476450010347757,7.7347587614212765,618.5896403472196
2,9.988348146589217,19.976696293288146,49.98774358373139,-0.13911624240985376,-0.27823248457339017,-0.29996490718089835,79.94509847436494,-0.6737188019757202,-1.3474376044675875,5.676900941292566,5.871343132713057,469.54860123550594
3,9.976121009475632,19.95224201900948,49.952766877039515,-0.18588508391104924,-0.3717701676367957,-0.6416630977370354,79.92664749573409,-0.5881767183778276,-1.1763534376237952,4.95451627669092,5.125483845137956,409.7126861615921
4,9.96055721793791,19.921114435901593,49.890714200815324,-0.2288567558564793,-0.45771351158184337,-1.0155918825768808,79.9097036776548,-0.5641661099085558,-1.128332220365988,4.748144115066823,4.9137158708604,392.58596882517276
5,9.941809064305897,19.883618128636137,49.800281153296254,-0.2711004304264539,-0.5422008607402776,-1.3959409624197094,79.89305946098845,-0.564383516982806,-1.1287670340377565,4.746888551323836,4.913235718403249,392.4172285557841
6,9.919883862589549,19.839767725226526,49.68138971240704,-0.31364628098421843,-0.6272925618398377,-1.773869097562607,79.87630450521958,-0.5702409085530981,-1.14048181682313,4.796185375503804,4.963983842961219,396.4091887526186
7,9.894752058454023,19.789504116990237,49.53428870605678,-0.3565854785141348,-0.7131709568645057,-2.1483594112624167,79.85939446241296,-0.5742466005315932,-1.1484932006487256,4.833199380064783,5.0012914839743345,399.36574160105624
8,9.866391757064378,19.732783514245074,49.35918041632571,-0.39969685870558036,-0.7993937172110571,-2.5210622933557,79.84240829835902,-0.5748801065389413,-1.149760212743019,4.843972930834264,5.011211549854686,400.1411996080276
9,9.834798804433284,19.669597609007813,49.15612949191542,-0.4427617792205502,-0.885523558217599,-2.8937271398157876,79.82542789726075,-0.5733053678057224,-1.146610735493459,4.83636755317149,5.002325807691908,399.3972279026386
10,9.799981152349082,19.599962304851065,48.92509980155829,-0.4856848551580079,-0.9713697100893458,-3.267219517703816,79.80849244966075,-0.5714049476437263,-1.1428098954309318,4.824170520823857,4.989202713645546,398.28467365792386
11,9.761948752705743,19.523897505562875,48.666028173592046,-0.5285039015868502,-1.0570078029643173,-3.641425234511681,79.79159457302606,-0.5707327647140039,-1.1414655297942244,4.818826862878076,4.983812529716617,397.7574717243296
12,9.720705015871285,19.44141003188236,48.37888727264705,-0.5713459044848167,-1.1426918087926052,-4.015573992928185,79.77469607273426,-0.5720778058168079,-1.144155612125814,4.826139338785277,4.992125188175932,398.2985765418952
13,9.676242394713025,19.352484789548907,48.06371814007583,-0.6143657804810586,-1.2287315608237614,-4.388687097387801,79.75774939299494,-0.5754087328709193,-1.1508174662362705,4.84598614610659,5.013853818912268,399.89630250518854
14,9.628542484106946,19.25708496831973,47.72063016138807,-0.6576898606534066,-1.3153797212037082,-4.759978108799326,79.7407167015734,-0.5800318326520094,-1.1600636656793282,4.873666023762308,5.043891295519985,402.1558051757727
15,9.57757980241286,19.15515960491925,47.3497755822917,-0.7013754076343237,-1.4027508151887031,-5.12912254021879,79.72358267890948,-0.584844546639201,-1.1696890934386959,4.901917175592662,5.074443481509723,404.46663990669765
16,9.523327865518581,19.04665573112674,46.95130964164725,-0.7453901673382668,-1.490780334601516,-5.49637107518147,79.70635984196264,-0.5886058181142756,-1.1772116361178795,4.922991146359642,5.097212831705577,406.1750843416236
17,9.465766055457602,18.931532111011354,46.525347816007404,-0.7896112239651694,-1.5792224478391803,-5.862517323804901,79.68908695634443,-0.5901744398338509,-1.1803488792755883,4.930413719155496,5.105248548096797,406.73070155971567
18,9.404885955121953,18.80977191035783,46.07192999534386,-0.8338396492010681,-1.6676792982743682,-6.228751486224627,79.67182204655084,-0.5886890099453094,-1.1773780192496515,4.920247837228805,5.0942709613835016,405.79176886262934
19,9.340696141456927,18.681392283056027,45.59099866838953,-0.8778261011342682,-1.755652202087314,-6.596440048624574,79.6546319206835,-0.5836793509756849,-1.1673587011287163,4.891801996130344,5.06341225841452,403.28483839832035
20,9.27322480979818,18.546449619775487,45.082395116621555,-0.9213022170606917,-1.84260443387571,-6.966872437906131,79.63758015598331,-0.5751104897914431,-1.1502209786679958,4.847813000600202,5.015405082297503,399.4207828821395
21,9.20251997797587,18.405039956174022,44.54587468347278,-0.9640130208087555,-1.928026041303462,-7.341011257013938,79.62071528034488,-0.5633675518372722,-1.1267351027653087,4.794184139544598,4.956305030646622,394.67400322598314
22,9.128647349243417,18.257294698755647,43.981139697078476,-1.0057463640163364,-2.0114927276535894,-7.719275497082438,79.604060536767,-0.549194064576204,-1.0983881283418289,4.739386819957469,4.89486116264091,389.73369249533226
23,9.051686174345882,18.103372349007675,43.38788673569577,-1.0463564370970264,-2.092712873759777,-8.101377602549963,79.5876062100407,-0.5335979375237477,-1.0671958744124508,4.693642237101386,4.841657342106101,385.43671485170506
24,8.971723634859291,17.943447270079698,42.76586368546167,-1.0857794659973576,-2.171558931520104,-8.486226621804818,79.57130508352962,-0.5177394176626128,-1.0354788349184292,4.667995239323214,4.808142362378733,382.6912415644729
25,8.88884837188711,17.77769674417671,42.11493142760096,-1.1240407449358942,-2.248081489374732,-8.871901708144001,79.55507121644474,-0.5028141327328667,-1.005628265311429,4.673379600635798,4.805652976977666,382.3992001240803
26,8.803143812764029,17.60628762596682,41.435124935379356,-1.1612530684749476,-2.322506136449153,-9.255693446473256,79.53878191195227,-0.4899423608321286,-0.9798847217576909,4.719755949257557,4.844514890382091,385.3841851908665
27,8.714681914532628,17.429363829534612,40.726708960238014,-1.1976073729215653,-2.395214745356247,-9.634205140360182,79.52228249603722,-0.48007324988842837,-0.96014650008715,4.815383330559107,4.933285306910557,392.32999887976246
28,8.623517860080698,17.24703572065577,39.99022422858028,-1.233356954821753,-2.4667139091850316,-10.003502394215596,79.50539335009537,-0.4739101287187013,-0.9478202579131394,4.966264849715624,5.078178945572919,403.73352760697384
29,8.529686125380362,17.059372251275168,39.226521040798914,-1.2687969989203978,-2.537593997420999,-10.359297027755042,79.48791853438331,-0.4718605124473654,-0.9437210254713545,5.175788517130441,5.282699059462889,419.87418058789484
30,8.433198198464577,16.866396397459784,38.436778254113385,-1.304241328741248,-2.6084826571066637,-10.697150433396095,79.46965529828508,-0.47401206350877517,-0.9480241276256045,5.444567310991984,5.547477005758521,440.8005658029385
31,8.334042085732998,16.668084172010218,37.622506744684216,-1.3399983089853875,-2.679996617639116,-11.012681740595353,79.45040378757075,-0.4801337322638361,-0.9602674651009264,5.770468192036545,5.870308943073843,466.333569140197
32,8.23218360032531,16.464367201207267,36.785537502099984,-1.3763477058127451,-2.7526954113336255,-11.301767358969254,79.42997631783471,-0.48969963517931403,-0.9793992708412447,6.148808660176682,6.246366602736257,496.08377286818575
33,8.127569299993308,16.25513860055579,35.92799544803263,-1.4135200780288921,-2.827040155797712,-11.560720395768621,79.40820567584439,-0.5019319667865243,-1.0038639339251305,6.572691490439026,6.668550845142449,529.4803863781684
34,8.02013083523633,16.04026167105556,35.05226084583035,-1.4516799599471197,-2.903359919655642,-11.786440847189013,79.38495202556524,-0.5158583900963482,-1.0317167803937648,7.033443398712612,7.127951728254158,565.808555870145
35,7.909790387237349,15.819580775073335,34.16092075145261,-1.4909137355185353,-2.9818274708088057,-11.97653012642788,79.36010812274276,-0.5303788928075484,-1.0607577856652999,7.521121301109312,7.614376793454061,604.251920228118
36,7.796466821935531,15.592933644487841,33.25671333654258,-1.5312227216457635,-3.0624454430631167,-12.129366217325769,79.3336026717571,-0.5443370006983501,-1.0886740013157796,8.025050185116585,8.116909825516082,643.937439851359
37,7.680082161957519,15.360164324552413,32.34246809337344,-1.5725216018951023,-3.1450432035531923,-12.244138363149094,79.30540178303181,-0.5565904599139136,-1.1131809196520763,8.53435898926875,8.624465018641017,683.9797723025255
38,7.56056798088931,15.121135962438693,31.42104492206905,-1.6146420018541976,-3.2292840034574066,-12.320842580344612,79.27550860199212,-0.5660769830095553,-1.1321539657967568,9.038484846475823,9.126305801401674,723.522790592168
39,7.437871351813187,14.875742704310618,30.49527492494236,-1.657340691694735,-3.3146813831229003,-12.360241325240976,79.24396127651572,-0.5718713413262506,-1.143742682438028,9.527621137606074,9.61250306055964,761.776237763177
40,7.311960030319429,14.623920061347848,29.56790541945237,-1.700311653186732,-3.400623306093724,-12.363792268976187,79.21082950563432,-0.5732309185438249,-1.146461836935681,9.993090596959549,10.07431369749668,798.0459746362429
41,7.18282661667709,14.365653234087489,28.641551262566846,-1.7432010660826598,-3.4864021318786365,-12.33355231474563,79.17620996610631,-0.5696277579051193,-1.1392555157695845,10.427630813201896,10.504466928395127,831.7567817214901
42,7.0504915173760585,14.10098303550822,27.718654089387734,-1.785624156718771,-3.5712483131533355,-12.272063712298959,79.14022094502785,-0.5607660824858016,-1.1215321650800487,10.825585525611945,10.897352126009531,862.4671903012012
43,6.915004607532213,13.830009215840782,26.80145054167781,-1.8271828101003444,-3.6543656199306214,-12.18222940250498,79.10299651671708,-0.5465851926660497,-1.0931703856124009,11.183000825581976,11.249107979752004,889.8763107953151
44,6.776445577497831,13.55289115578887,25.891950029422564,-1.8674828722551668,-3.734965744267105,-12.0671845952226,79.0646805926163,-0.5272485025264314,-1.0544970055103187,11.497630493330986,11.557618066828866,913.8230723581917
45,6.63492302463463,13.269846050075248,24.991922059487703,-1.9061501557470726,-3.8123003112901808,-11.930171098233288,79.02542114665127,-0.5031202293934941,-1.0062404594087608,11.768859044553567,11.822422389376088,934.2786657816579
46,6.490572420367643,12.981144841549561,24.10289270416516,-1.9428442988875279,-3.885688597621213,-11.774420136865038,78.98536487861463,-0.47473186833833375,-0.949463737432903,11.997554504351028,12.044557913509543,951.3332779329321
47,6.343553139881532,12.687106280581009,23.22614938827567,-1.9772698073905688,-3.954539614685553,-11.603048403829908,78.9446525283599,-0.44274104461425867,-0.8854820900751212,12.18586539540732,12.226343579256485,965.1784117697482
48,6.194044784557933,12.388089569933014,22.36275286039204,-2.0091838137162377,-4.01836762739967,-11.418970930695101,78.9034149976045,-0.40788562885205687,-0.8157712585869117,12.336977905184096,12.37112662500414,976.0861985692287
49,6.0422430538443805,12.084486108501027,21.513554989994628,-2.038400311215626,-4.07680062246158,-11.22483314992089,78.86177037757456,-0.37093611773222923,-0.7418722363243376,12.454849710980238,12.483007426178691,984.3871306182391
50,5.888355433026808,11.776710866857542,20.679220900889067,-2.064790844461484,-4.129581689012476,-11.022963289462425,78.81982192296942,-0.3326492302382976,-0.665298461255145,12.543936560744964,12.566559468337166,990.4475802637207
51,5.732596956640157,11.465193914073174,19.860253909915222,-2.088281851395264,-4.176563702931209,-10.815345074021652,78.77765695872165,-0.2937254572869884,-0.5874509152191023,12.608926534008097,12.626559678078651,994.6483363344706
52,5.575186285180284,11.150372571140482,19.057021782311256,-2.108849045783168,-4.217698091746811,-10.603609652900413,78.73534665827543,-0.2547729479839827,-0.5095458964389481,12.654495070050132,12.66774226661126,997.3651967257655
53,5.416342297359848,10.832684595485615,18.269782930806652,-2.126509390118294,-4.25301878044309,-10.389044778382077,78.69294659253808,-0.2162796421173225,-0.4325592845061783,12.685091497185423,12.694586664513166,998.9524243298146
54,5.256281354031096,10.512562708813844,17.498711361436733,-2.141311331617481,-4.2826226634525835,-10.172618553439671,78.65049791856805,-0.17859499354764138,-0.3571899871600913,12.704765086808477,12.711147216462265,999.7296216226534
55,5.095215336243563,10.190430673224892,16.743919390033266,-2.153324051644539,-4.306648103503147,-9.955014573995353,78.60802905720405,-0.14192200410441735,-0.2838440080786173,12.717035751723742,12.720929237827416,999.9723254304365
56,4.933350502214375,9.8667010051535,16.005477403089298,-2.1626265084818934,-4.3252530171612324,-9.736675017436216,78.56555769936998,-0.10631963585744032,-0.21263927141945915,12.724811570442624,12.726812981830625,999.9063832933147
57,4.770887149913233,9.54177430053938,15.283430198766624,-2.1692970341529274,-4.338594068476445,-9.517848172414014,78.52309298127227,-0.07171502548700284,-0.14343005055872665,12.730352498582622,12.731024184872638,999.7059578380079
58,4.608020017110683,9.216040034923704,14.577809702411361,-2.173404179812611,-4.346808359762563,-9.29863705111118,78.48063767831161,-0.03792432175229763,-0.07584864302619296,12.735277061388654,12.735147288409438,999.4948225021824
59,4.444939302481972,8.889878605656872,13.888644091678914,-2.17499939539776,-4.349998790897673,-9.079046050630431,78.43819028492298,-0.004680437795218023,-0.009360875111710762,12.740606624185355,12.740175294717648,999.3504639042785
60,4.281832152663743,8.5636643060119,13.215963576931907,-2.1741119843791434,-4.348223968827994,-8.859023103577554,78.39574687114855,0.02833441682691301,0.05666883407003362,12.746840103126033,12.746588589643784,999.310394129949
61,4.118884433415578,8.237768867507562,12.559803253234412,-2.1707466022218576,-4.341493204488143,-8.63849534188884,78.35330263465316,0.061453859270950796,0.12290771883888046,12.754050773247387,12.754454016247285,999.380000975776
62,3.9562825899211362,7.912565180510699,11.920203564264506,-2.1648833778239718,-4.3297667556779995,-8.417396951223138,78.31085309716514,0.09499270013303333,0.1899854003989496,12.761996192429102,12.76353503540764,999.5412274262729
63,3.7942154026313544,7.588430805922686,11.297208992214665,-2.15648054225487,-4.312961084539004,-8.195688572768443,78.26839492492539,0.12921513679006322,0.25843027352056674,12.770232196946164,12.77340395699019,999.7613758813912
64,3.6328754608722944,7.265750922395182,10.690865610884199,-2.1454792607251463,-4.290958521493664,-7.973368272532063,78.22592638175841,0.1643081866350386,0.32861637300937685,12.778222416365693,12.783547930777681,1000.001380097215
