t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50.000000000000014,-0.000000000000000007301229743530653,-0.000000000000000014519241546413392,-0.000000000000000032620655079770446,80.00000000000004,-1.4346696140933777,-2.8693392281867873,12.081273450169345,12.499942106022003,999.9953685837751
1,10.000000000000002,20.000000000000004,50.000000000000014,-0.129120265268404,-0.2582405305368109,0.20441461051524093,79.94904806898188,-1.0104460294508395,-2.020892058901641,8.508910229237733,8.803780963312832,703.8539071132076
2,9.988379176125845,19.97675835225169,50.018397314946384,-0.22006040791897954,-0.4401208158379586,0.08731653114663686,79.91318180923312,-0.5745014805681955,-1.1490029611363963,4.837845389226554,5.005497758196371,400.0052520661937
3,9.968573739413136,19.937147478826272,50.02625580274959,-0.2717655411701172,-0.5435310823402343,-0.3601773838229735,79.89279678213717,-0.5746440399370966,-1.1492880798742169,4.83904588559403,5.006739855226492,400.00244954049947
4,9.944114840707826,19.888229681415652,49.99383983820551,-0.32348350476445586,-0.6469670095289138,-0.8075632541195109,79.87241189851221,-0.5747892423343145,-1.1495784846686163,4.840268664470835,5.008005005624417,400.0014383870455
5,9.915001325279023,19.830002650558047,49.921159145334755,-0.3752145365745442,-0.7504290731490892,-1.2548390743171358,79.8520270670771,-0.574935092983076,-1.1498701859661484,4.841496909369334,5.009275811079801,400.0008274749063
6,9.881232016987315,19.76246403397463,49.80822362864621,-0.426958694943021,-0.8539173898860427,-1.702004352473896,79.83164226743692,-0.575081190288709,-1.1501623805773638,4.842727240678482,5.0105487754609,400.0003371946794
7,9.842805734442443,19.685611468884886,49.65504323692356,-0.47871600206900483,-0.9574320041380054,-2.149058900812833,79.81125749344201,-0.575227404494202,-1.1504548089884008,4.8439585681489294,5.011822769763094,399.9998773408994
8,9.799721294256234,19.599442588512467,49.4616279358504,-0.5304864684734829,-1.0609729369469614,-2.596002629679429,79.79087274354212,-0.5753736785934579,-1.1507473571869595,4.8451904179671486,5.013097303064151,399.9994086928868
9,9.75197751209362,19.50395502418724,49.227987699179266,-0.5822700995468942,-1.1645401990937878,-3.042835492062386,79.77048801818638,-0.5755199823618224,-1.1510399647236618,4.846422547902169,5.014372123975705,399.99891116069773
10,9.699573203134399,19.399146406268798,48.95413250489364,-0.6340668979594581,-1.2681337959189174,-3.4895574627511907,79.7501033188478,-0.575666297080975,-1.151332594161869,4.847654823481785,5.015647091861821,399.9983735125689
11,9.642507182318047,19.285014364636098,48.64007233324604,-0.685876864696746,-1.3717537293934856,-3.9361685286378303,79.729718647571,-0.5758126076855191,-1.1516252153710196,4.84888716650879,5.016922122541814,399.99778903473833
12,9.580778264495342,19.161556528990683,48.28581716566863,-0.7376999993884427,-1.4753999987768776,-4.38266868365204,79.70933400674288,-0.5759588942858719,-1.151917788571769,4.850119533518689,5.018197162633011,399.9971534771541
13,9.51438526455038,19.028770529100765,47.89137698413995,-0.7895362998741712,-1.5790725997483366,-4.829057925635357,79.68894939896616,-0.5761051045494938,-1.1522102090989692,4.851351918676692,5.019472176583905,399.9964640098006
14,9.443326997561707,18.886653995123414,47.45676177083276,-0.8413857592836256,-1.6827715185672438,-5.275336252954455,79.66856482698788,-0.5762503814883027,-1.1525007629766784,4.852584810535887,5.0207471398326105,399.9957190859348
15,9.36760227922618,18.735204558452363,46.981981508066866,-0.893248293617573,-1.786496587235145,-5.721503620006225,79.64818029365392,-0.5691245886530396,-1.1382491773060865,4.858105738217978,5.0220220421099535,399.9949167260555
16,9.287209932800597,18.5744198656012,46.4670461822663,-0.9444695065963465,-1.8889390131926926,-6.167174103566607,79.62779580185047,-0.5527441242082929,-1.1054882484165904,4.868868598938048,5.02329690581028,399.99405998288125
