t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999996,19.999999999999993,50,-0.00000000000000520222315037297,-0.000000000000010406394392118105,-0.00000000000001432958454230189,79.99999999999855,-0.5330505919031949,-1.0661011836742955,12.417901790195126,12.474975170216895,997.9979945095224
1,9.999999999999993,19.999999999999986,50,-0.006663132398800304,-0.013326264795949434,0.032598772377410504,79.99293553949423,-0.5314911634893049,-1.0629823268514769,12.405741109443643,12.462537168717041,996.9149133866824
2,9.999916710845005,19.99983342169003,50.000407484654716,-0.013306771942421745,-0.026613543881603155,0.06504553624544185,79.98587874541252,-0.5303728121422542,-1.0607456241545856,12.403844465932712,12.460410909261993,996.6568971901991
3,9.999750376195722,19.999500752391505,50.001220553857785,-0.019936432094205016,-0.03987286418354566,0.09746859206958663,79.97882377768,-0.52959737425978,-1.0591947484022002,12.409989168451032,12.4663628987104,997.0450226031915
4,9.999501170794542,19.999002341589208,50.00243891125864,-0.026556399272457322,-0.05311279853858328,0.12996845667521048,79.97176606269987,-0.5287415260786585,-1.0574830520534297,12.414342986075882,12.470515451355366,997.2891256322029
5,9.999169215803633,19.998338431607465,50.00406351696709,-0.03316566834844557,-0.0663313366892612,0.16252274400114508,79.96470661990865,-0.5272072939796779,-1.054414587840435,12.402891569244533,12.458790583319317,996.2635150068058
6,9.998754644949274,19.997509289898847,50.00609505126711,-0.03975575952319653,-0.0795115190372766,0.19493388861668784,79.95765443674404,-0.5251175506748685,-1.050235101206053,12.3780440754688,12.433612646388283,994.1624837781561
7,9.998257697955232,19.996515395910873,50.00853172487482,-0.04631972890663733,-0.09263945780236214,0.22703443956003402,79.95061712537436,-0.523853347673223,-1.0477066952219065,12.372596782561645,12.427922951160918,993.6200899524645
8,9.997678701343895,19.995357402688338,50.011369655369315,-0.052867895752557535,-0.1057357914926458,0.25906689934204086,79.94358365326981,-0.5223999683228474,-1.044799936540263,12.362558062632546,12.417622811813956,992.709249328143
9,9.997017852646986,19.994035705294674,50.014607991611086,-0.059397895356598,-0.11879579069940885,0.290973875124934,79.9365566284218,-0.5220247581774373,-1.0440495162241343,12.37783299938358,12.432751297263337,993.8313094157224
10,9.996275378955026,19.992550757910927,50.01824516505015,-0.0659232048338208,-0.1318464096522202,0.3230717876172151,79.92952166129868,-0.508101752674362,-1.0162035051548035,12.071597800628192,12.124946025511552,969.1411171792117
11,9.9954513388946,19.990902677790267,50.022283562395366,-0.07227447674225514,-0.14454895346666485,0.3513417601250539,79.92266145950718,-0.5221112706767576,-1.0442225412767154,12.428921853501265,12.48363349431358,997.7251947113973
12,9.994547907935319,19.989095815871927,50.026675334396934,-0.07880086762571936,-0.15760173523263332,0.3840782832938063,79.9155989302706,-0.38888894732203466,-0.7777778945318896,9.275969954570112,9.316640814310569,744.5449118304753
13,9.993562897089994,19.987125794181516,50.031476312938096,-0.08366197946724951,-0.1673239589142914,0.3774029077259193,79.91032851190973,-0.2825810750213742,-0.5651621499919691,6.753735549340995,6.783229864482811,542.0501079687549
14,9.99251712234665,19.98503424469508,50.03619384928468,-0.08719424290502138,-0.1743884857892004,0.3391996020926683,79.90649146132974,-0.23768131281203356,-0.475362625579106,5.691986510622445,5.716745155261841,456.8050290598401
15,9.991427194310335,19.98285438862271,50.040433844310826,-0.09016525931517647,-0.18033051860894853,0.2877244334754355,79.90325782922855,-0.2222645849705764,-0.44452916992802544,5.333443122692261,5.3565498036577335,428.00576118607376
16,9.990300128568892,19.980600257140093,50.044030399729266,-0.09294356662731329,-0.18588713323305808,0.23176747250907553,79.90022805755511,-0.21613240543739382,-0.43226481086965945,5.196697499421399,5.219121903410536,417.0090115218598
17,9.989138333986048,19.978276667974672,50.046927493135634,-0.09564522169528528,-0.19129044336893797,0.17410119125182982,79.89727612834972,-0.2130463082348298,-0.4260926164460247,5.132789319596848,5.154849393579966,411.85840661450834
18,9.987942768714854,19.975885537432553,50.049103758026284,-0.0983083005482252,-0.19661660107452236,0.1156360577467773,79.89436065865364,-0.21115995711552596,-0.42231991420470755,5.097585867965193,5.119406871950922,409.01172024397994
19,9.986713914957997,19.973427829919117,50.05054920874812,-0.10094780001217378,-0.20189560000209025,0.056730881096329136,79.89146533976125,-0.20983433971737897,-0.4196686794159412,5.07580292155749,5.097443470512042,407.242209648354
20,9.985452067457842,19.970904134919085,50.05125834476182,-0.1035707292586455,-0.20714145849479845,-0.0024465823842152595,79.88858254668537,-0.20880605088713486,-0.4176121017693058,5.061138687695607,5.082629932572981,406.044082210641
21,9.984157433342109,19.968314866687894,50.051227762482014,-0.10618080489473912,-0.21236160976692364,-0.06180734878803313,79.8857082347831,-0.20796182797709703,-0.41592365594022196,5.0508911160551335,5.072252364577791,405.2004537931294
22,9.98283017328092,19.9656603465658,50.050455170622165,-0.10878032774445723,-0.2175606554661852,-0.12129620983735684,79.88283989466663,-0.2072284402045766,-0.41445688039696316,5.043312040390748,5.064554949419136,404.57101349653084
23,9.981470419184111,19.962940838372468,50.0489389679992,-0.11137068324701878,-0.22274136647115597,-0.18087980933248532,79.87997601016536,-0.20656428770800464,-0.4131285754096219,5.037385172263893,5.058517151494457,404.0742099686478
24,9.980078285643522,19.960156571291574,50.04667797038254,-0.11395273684337316,-0.22790547366378489,-0.24053749467919944,79.87711564238406,-0.20595274305782357,-0.41190548610755523,5.032714204408686,5.053740921640264,403.6782292321454
25,9.978653876432976,19.957307752870772,50.043671251699045,-0.11652714613160024,-0.2330542922401379,-0.30025356712410356,79.87425807762942,-0.20538006335552114,-0.4107601267074747,5.028972453261382,5.049898133952492,403.35684803026834
26,9.977197287106328,19.954394574217762,50.039918082110006,-0.11909439692354852,-0.2381887938239898,-0.36001641145834884,79.87140278783491,-0.20483648621010905,-0.40967297242323164,5.025927550037123,5.046755397064091,403.09141434311
27,9.97570860714478,19.95141721429496,50.03541787696677,-0.12165485300117908,-0.24330970597928864,-0.4198173170828974,79.86854937696556,-0.20431492217968475,-0.4086298443665612,5.023411368194289,5.044143839822223,402.8684326071558
28,9.974187921482262,19.948375842970208,50.03017016050323,-0.12420878952842933,-0.248417579033879,-0.47964967498048133,79.86569754451719,-0.20381041449091522,-0.4076208289926273,5.02130646170241,5.041945494701189,402.6784751932019
29,9.972635311613155,19.945270623232283,50.02417453956598,-0.1267564197095699,-0.25351283939629515,-0.5395083442092136,79.86284705672061,-0.2033199630974707,-0.40663992620712686,5.019540175364699,5.040087397398504,402.51571023887084
30,9.971050856366782,19.94210171273982,50.01743068526336,-0.1292979192482924,-0.2585958384738924,-0.5993890920171672,79.85999772108869,-0.2028412006784486,-0.40568240136816236,5.018054477758973,5.038511275120524,402.37548021192305
31,9.969434632376176,19.938869264758893,50.00993832161314,-0.13183343425677704,-0.26366686849100257,-0.6592884110451923,79.85714937810374,-0.20237204550206067,-0.40474409101519987,5.01679947499326,5.037167017381556,402.253780205078
32,9.967786714447962,19.935573428902746,50.00169721647508,-0.13436308482555684,-0.26872616962870066,-0.7192034176077888,79.85430189659732,-0.20191081205282327,-0.4038216241205787,5.015735272858663,5.036014552524658,402.14740767684486
33,9.966107175887641,19.932214351782385,49.99270717375498,-0.13688696997622113,-0.27377393993021587,-0.7791317266970677,79.8514551680711,-0.20145616346715053,-0.40291232695043927,5.014830247479499,5.035022115855756,402.05382398422904
34,9.964396088762934,19.92879217753325,49.98296802717127,-0.13940517201956446,-0.27881034401710425,-0.8390713486035859,79.84860910199676,-0.20100703700061404,-0.40201407401707007,5.014059102043282,5.034164299259705,401.9709985028105
35,9.962653524112687,19.92530704823303,49.97247963531373,-0.14191775998207606,-0.2838355199423255,-0.899020609828057,79.84576362222019,-0.2005625885227059,-0.40112517706053985,5.013401626751297,5.033420805011596,401.8973090133025
36,9.960879552112909,19.921759104233747,49.961241877690874,-0.14442479233861377,-0.28884958465558996,-0.9589780894936777,79.84291866407048,-0.20012214551441276,-0.4002442910444059,5.012841669275085,5.032775411026981,401.83145898986174
37,9.959074242208674,19.918148484425544,49.949254651572204,-0.14692631915754778,-0.29385263829365277,-1.018942568627751,79.84007417205454,-0.19968516449175305,-0.39937032900225594,5.012366159256805,5.032214990494493,401.77239927802793
38,9.9572376632192,19.91447532644687,49.93651786946436,-0.1494223837136985,-0.2988447674061886,-1.0789129916370526,79.83723009810588,-0.19925120196754867,-0.3985024039445353,5.011964430070325,5.031728830972129,401.7192736459783
39,9.955369883422776,19.910739766854284,49.923031457068895,-0.15191302373829665,-0.3038260474555028,-1.138888436261185,79.834386400219,-0.19881989079977588,-0.39763978161441743,5.011627655118247,5.031308067597282,401.67137354327366
40,9.953470970626045,19.906941941261085,49.90879535161563,-0.1543982723732976,-0.3087965447256905,-1.1988680905722187,79.831543041404,-0.19839092454195328,-0.3967818491008967,5.011348471767015,5.030945306177312,401.62810791718357
41,9.951540992221377,19.903081984452008,49.893809500483464,-0.15687815893007567,-0.3137563178394591,-1.2588512346751426,79.82869998885482,-0.19796404520496239,-0.39592809042156957,5.011120686882325,5.030634326652829,401.5889795799241
42,9.949580015234746,19.89916003047901,49.87807386005004,-0.15935270949514138,-0.3187054189697361,-1.318837226089125,79.82585721328482,-0.19753903370902517,-0.39507806743292045,5.010939046123111,5.030369851971207,401.55356669361277
43,9.947588106366055,19.895176212741884,49.86158839472392,-0.16182194741650782,-0.3236438948126548,-1.3788254880125974,79.82301468839354,-0.1971157034767768,-0.39423140696650727,5.010799079624295,5.030147392934044,401.52151038279305
44,9.945565332023346,19.891130664056718,49.84435307612376,-0.16428589370997113,-0.32857178739974335,-1.438815499517305,79.8201723904207,-0.19669389406006632,-0.3933877881381311,5.010696948374056,5.029963093645652,401.49250240649263
45,9.943511758351969,19.887023516714216,49.82636788237979,-0.16674456738572552,-0.3334891347514771,-1.4988067876626405,79.81733029778842,-0.1962734677891091,-0.39254693559004267,5.010629364394983,5.029813651926048,401.46627874812907
46,9.941427451259644,19.882854902529818,49.807632797534005,-0.1691979857330929,-0.3383959714463597,-1.5587989206077144,79.81448839078696,-0.19585430543800986,-0.39170861088866016,5.010593486219789,5.029696213885064,401.4426112281444
47,9.939312476437976,19.87862495288673,49.788147811026406,-0.1716461645510715,-0.34329232908247487,-1.6187915020299781,79.81164665132249,-0.1954363035786834,-0.39087260717469713,5.010586855431277,5.029608310348546,401.42130240918925
48,9.937166899381085,19.874333798773193,49.76791291725104,-0.17408911834580848,-0.34817823667216546,-1.6787841663370981,79.8088050626982,-0.19501937239572048,-0.3900387448078412,5.010607344520494,5.029547804203008,401.4021814100546
49,9.93499078540176,19.869981570814787,49.74692811517181,-0.1765268605007584,-0.35305372098227034,-1.738776574530603,79.80596360942751,-0.19460343409058778,-0.3892068681980846,5.01065311915331,5.0295128530776205,401.3851008753907
50,9.932784199645498,19.865568399302504,49.72519340799019,-0.17895940342689412,-0.35791880683475313,-1.7987684105411972,79.80312227706642,-0.19418842057449107,-0.38837684116312027,5.010722581498172,5.029501851832942,401.3699324291714
51,9.930547207102657,19.86109441421706,49.70270880285842,-0.18138675868407858,-0.36277351734929875,-1.8587593782724812,79.80028105207992,-0.1937742729894181,-0.3875485459928265,5.010814360265896,5.029513423133255,401.35656587150476
52,9.928279872619106,19.856559745250188,49.67947431063001,-0.1838089370964496,-0.3676178741742157,-1.9187491987691678,79.79743992171298,-0.19336093997629752,-0.38672187996864826,5.0109272679114225,5.029546373727585,401.3449057454952
53,9.925982260905396,19.851964521823007,49.65548994564541,-0.1862259488461566,-0.37245189767383036,-1.9787376079202856,79.79459887388626,-0.19294837756689262,-0.385896755149548,5.011060299347115,5.029599693964875,401.3348712301293
54,9.923654436544817,19.847308873102076,49.63075572554639,-0.18863780356574597,-0.3772756071132061,-2.0387243541784574,79.79175789709258,-0.19253654764530773,-0.38507309530746014,5.01121259392863,5.029672518941302,401.32639309161783
55,9.92129646400024,19.842592928013158,49.60527167111916,-0.1910445104113155,-0.38208902080455576,-2.09870919675436,79.7889169803149,-0.19212541826184198,-0.384250836531967,5.011383444825626,5.029764138447865,401.31941443048584
56,9.918908407620096,19.837816815253092,49.57903780615974,-0.19344607813959167,-0.38689215626121165,-2.15869190369405,79.78607611293882,-0.19171496210710784,-0.3834299242317701,5.01157226071221,5.029873957951869,401.31388761059003
57,9.916490331643349,19.83298066329982,49.552054157363564,-0.19584251516593365,-0.391685030314115,-2.2186722504351577,79.78323528468714,-0.1913051573533614,-0.382610314721946,5.011778588261684,5.030001521876844,401.3097760575074
