t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999986,19.999999999999975,50.00000000000001,-0.00000000000002955691597585956,-0.00000000000005255772189883074,-0.000000000000006914183581256336,79.99999999999109,-0.5089183101721845,-1.0178366262397445,12.007938023888451,12.06174894860397,964.9391767929245
1,9.99614775960891,19.992295519250934,50.01356140180539,-0.06373587530200846,-0.12747175050893314,0.27170386543584835,79.93185708260265,-0.4679279819038675,-0.9358559609517522,11.055149517213843,11.10455279397668,887.6076027251958
2,9.985430657964722,19.970861316079464,50.03631965943509,-0.10257593781391107,-0.20515187545633023,-0.02535710565582796,79.88962379678999,-0.22074134251439945,-0.44148268663511187,5.385328299864954,5.407899804528997,432.0351865722651
3,9.970970236065392,19.941940472328962,49.99651471125905,-0.128463140760775,-0.2569262812815531,-0.6191517003438417,79.86089543393481,-0.20209731732866695,-0.404194632910811,4.96277475006194,4.9833062115593245,397.971368781873
4,9.953338857650758,19.90667771556058,49.881562860346776,-0.15360399557122564,-0.3072079908836194,-1.2173129638911842,79.83238074183421,-0.20013465099221645,-0.40026930311501124,5.079713412066737,5.09938671913248,407.0962825482188
5,9.932588920138091,19.865177840545698,49.69228229290217,-0.17825029838228962,-0.3565005965361533,-1.813742556326927,79.80380241882236,-0.1934383528733772,-0.38687670475236036,4.96851825405612,4.987310142160889,398.0063385312113
6,9.908811515165242,19.817623030604757,49.4275885267758,-0.20210906965254,-0.4042181389439987,-2.420882104776094,79.77572392559007,-0.18960513621006284,-0.3792102719967433,4.988825217821766,5.006807941110646,399.42174266047266
7,9.88206825347321,19.76413650722257,49.08767638072232,-0.22574880196960634,-0.45149760363453917,-3.015648618240935,79.7470997286362,-0.18775807583116463,-0.3755161525165435,5.080578633867461,5.097894689034615,406.5424293527218
8,9.852399001406607,19.704798003121788,48.67355653224279,-0.24883163660371058,-0.49766327292547535,-3.612148931633039,79.71856851807277,-0.18210592914450194,-0.3642118576608512,5.005756573060281,5.022291298671386,400.36988750854124
9,9.81985968436743,19.639719369108093,48.18510994709408,-0.2720572985928206,-0.5441145967931262,-4.193300521182064,79.68935645561784,-0.19489148455299724,-0.3897829683651458,5.480859546928655,5.498157551590052,438.1446251235289
10,9.784229276962005,19.568458554330405,47.63042803482095,-0.2989890682115798,-0.5979781360234231,-4.65044722849929,79.65454872616095,-0.2404845475567814,-0.4809690956697582,6.962255937384425,6.982990410973291,556.2270454583497
11,9.744829510554343,19.48965902151286,47.03163703972506,-0.33254967004963415,-0.6650993397679626,-4.893003026780596,79.61005785005148,-0.29469905133591295,-0.5893981029305756,8.7300503359694,8.754884147171602,696.9769247807299
12,9.700858712044846,19.401717424517525,46.4150403252952,-0.37161112648512373,-0.7432222525966827,-4.949551637273707,79.55719330473326,-0.32476672674234763,-0.649533452659114,9.831516119835786,9.858300110806296,784.2986684970253
13,9.651853876121617,19.30370775273693,45.79765152711941,-0.41246488964983835,-0.8249297788307215,-4.9232461967963035,79.50063057047656,-0.32504041741036493,-0.6500808343602179,10.101005404456366,10.127120676893282,805.1124535374797
14,9.59778663318886,19.195573266934783,45.1843341015338,-0.4523446713343839,-0.9046893422162987,-4.892113897644591,79.44389821662847,-0.3125240848204732,-0.6250481703001275,9.998687891651587,10.023077917038378,796.2724814991941
15,9.538832482171586,19.07766496493462,44.57403092478354,-0.4907039031473102,-0.9814078059353696,-4.8742443542211635,79.38781158106538,-0.302079481284806,-0.6041589631800647,9.926969187858662,9.949921861899188,789.9026507341472
16,9.475152899102426,18.95030579882622,43.9656918636107,-0.5280344382527441,-1.0560688761588755,-4.858610043078915,79.33187191336476,-0.2955109584309892,-0.5910219164393659,9.952438675589404,9.974350470090071,791.2839015613441
17,9.406856695420549,18.813713391517084,43.35958312536528,-0.5645608752972906,-1.129121750162111,-4.838425523179761,79.27577343942819,-0.2885762239234328,-0.5771524470778062,9.985609315431617,10.00643741027092,793.2680054120287
18,9.334054233827034,18.668108468402874,42.75617253341438,-0.6000934229696426,-1.2001868454549591,-4.81611781811264,79.21962596526501,-0.2797316144339247,-0.5594632288950029,9.987488210513469,10.007055741402613,792.7552327342266
19,9.25688101076533,18.51376202234453,42.15553054729044,-0.6344917023400828,-1.2689834042513748,-4.794215542016419,79.1635432613209,-0.27080817470766727,-0.5416163501577392,9.98487343857135,10.00321676017863,791.8902306218737
20,9.175474571027424,18.350949142916214,41.557641367547255,-0.6678524218032678,-1.3357048432579797,-4.771775209545623,79.10748241018946,-0.26316266601524696,-0.5263253324283013,9.995886041247223,10.013190309572428,792.1183968363604
21,9.089955584561261,18.17991117002534,40.96265559271016,-0.7003021796341447,-1.4006043589141368,-4.747775626028144,79.05139710120002,-0.2559756549873448,-0.5119513095079898,10.006248637549364,10.022606090712454,792.3010007604188
22,9.000438229690515,18.000876460330264,40.37071587442048,-0.7318074743258347,-1.4636149482170302,-4.723343009959405,78.995337779643,-0.24791129029599698,-0.49582257991196105,10.002456661854005,10.017807044775617,791.3599776806526
23,8.90704848448457,17.814096969966823,39.78177672447622,-0.7622417450076582,-1.524483489534228,-4.699866365265592,78.93936676727752,-0.23897120206147154,-0.4779424041339294,9.993996010474053,10.008271083850511,790.0465910487824
24,8.809924486238451,17.619848973518476,39.19572884663844,-0.7915603908183637,-1.5831207812066814,-4.676836151531458,78.8834611037602,-0.23025611634329599,-0.4605122334125552,9.997025954692633,10.010273734458865,789.6451849339792
25,8.709201453348863,17.418402907782855,38.6126183225596,-0.8198458568936996,-1.6396917134491986,-4.652640296824233,78.82754828644748,-0.22245734156176764,-0.44491468373504806,10.010723233827514,10.023072218457445,790.094363867712
26,8.605001908089198,17.210003817319432,38.032636543184935,-0.8471940849979005,-1.6943881696873464,-4.626891913809384,78.7716106572619,-0.21510578327706328,-0.43021156638630337,10.01898769882436,10.030526413066697,790.1207482960133
27,8.497442025269892,16.994884051753495,37.455898435186285,-0.8736007476137446,-1.7472014948587178,-4.601074614816196,78.71571429654853,-0.2072621098447962,-0.41452421898844977,10.011616311405309,10.022338477621862,788.9154556781062
28,8.386644782430041,16.773289566149774,36.882299950486406,-0.8989748051455886,-1.7979496098467154,-4.5768215822711085,78.65993199539247,-0.1986174545925452,-0.39723490878746215,9.996541250289589,10.00640266579365,787.1029026039954
29,8.272744435789935,16.54548887292779,36.31162775121144,-0.9232458396475479,-1.8464916788503571,-4.554077554868045,78.6042611052381,-0.18975667605709318,-0.37951335251605683,9.989734651951359,9.998740681668759,785.9437065099337
30,8.155878375339835,16.311756752059228,35.74378304860191,-0.9464379623640471,-1.8928759243682116,-4.5312884443266235,78.54863205867986,-0.1814472324748604,-0.3628944658077001,9.996696128878694,10.004923949656568,785.8732696733285
31,8.036176246707146,16.072352494811263,35.17885995375376,-0.9686376468679581,-1.9372752934696122,-4.507263161739772,78.49299147298616,-0.1738309256600127,-0.34766185185991483,10.006882587437987,10.01442728342601,786.0624778635622
32,7.913757837348328,15.827515676119255,34.6169976746392,-0.9899011606187936,-1.97980232099463,-4.482553514419358,78.43736362330993,-0.16634325094293148,-0.33268650171567715,10.005859763913959,10.012771040366145,785.3753476703803
33,7.788741026757508,15.57748205498346,34.05817631102094,-1.0102011272616522,-2.0204022542314584,-4.458907489461498,78.38182601250955,-0.15834108033219793,-0.31668216013837397,9.990750446198051,9.997023380143618,783.5848590326826
34,7.661250960813966,15.32250192315403,33.50217522006587,-1.0294605360905569,-2.0589210718395576,-4.43749083683943,78.3264302014375,-0.14973992862438193,-0.29947985706203334,9.97271725658968,9.978336929890798,781.5674789779995
35,7.531421326698609,15.062842654972656,32.948730863965686,-1.04763237264439,-2.0952647449656223,-4.4177804297924395,78.27115267026659,-0.14105130111865738,-0.2821026027153272,9.964997255829061,9.969986016424127,780.3624015902343
36,7.399387092184487,14.798774185972068,32.39772526043008,-1.0647445383235845,-2.1294890764089356,-4.398210284204032,78.2159236176324,-0.13285266653916558,-0.26570533387769824,9.969542893925091,9.97396552443014,780.1231075063479
37,7.265276228601014,14.530552458815588,31.849214525301125,-1.080870911486627,-2.1617418228197094,-4.377831649053872,78.16070067855817,-0.12524281459599473,-0.25048562967193666,9.975540686620795,9.979469479575009,780.0024432702033
38,7.129208241988757,14.258416485601114,31.30327517595897,-1.0960616970275392,-2.192123393922664,-4.357302665903998,78.1055127385201,-0.11778432999543396,-0.2355686598544945,9.970477207879517,9.973955365641759,779.0208816503101
