run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_limited_descent_med_1,coarse,26,1,252,0.685631,0.806417,Solved,12.500000
zoh_offset_limited_descent_med_1,fine,1,1,24,2.011926,2.031750,Solved,12.500000
zoh_offset_limited_descent_med_1,total,27,2,276,2.697557,2.848932,Solved,12.500000
zoh_offset_limited_descent_med_2,coarse,26,1,252,0.673589,0.782607,Solved,12.500000
zoh_offset_limited_descent_med_2,fine,1,1,24,1.986149,2.003981,Solved,12.500000
zoh_offset_limited_descent_med_2,total,27,2,276,2.659738,2.797238,Solved,12.500000
zoh_offset_limited_descent_med_3,coarse,26,1,252,0.668478,0.771017,Solved,12.500000
zoh_offset_limited_descent_med_3,fine,1,1,24,1.998351,2.018986,Solved,12.500000
zoh_offset_limited_descent_med_3,total,27,2,276,2.666829,2.799474,Solved,12.500000
zoh_offset_limited_descent_med_4,coarse,26,1,252,0.672915,0.778468,Solved,12.500000
zoh_offset_limited_descent_med_4,fine,1,1,24,2.007831,2.029212,Solved,12.500000
zoh_offset_limited_descent_med_4,total,27,2,276,2.680747,2.818737,Solved,12.500000
zoh_offset_limited_descent_med_5,coarse,26,1,252,0.668816,0.771672,Solved,12.500000
zoh_offset_limited_descent_med_5,fine,1,1,24,1.997091,2.014336,Solved,12.500000
zoh_offset_limited_descent_med_5,total,27,2,276,2.665907,2.795631,Solved,12.500000
zoh_offset_limited_descent_med_6,coarse,26,1,252,0.681603,0.789756,Solved,12.500000
zoh_offset_limited_descent_med_6,fine,1,1,24,1.986678,2.009005,Solved,12.500000
zoh_offset_limited_descent_med_6,total,27,2,276,2.668281,2.808693,Solved,12.500000
zoh_offset_limited_descent_med_7,coarse,26,1,252,0.674204,0.781760,Solved,12.500000
zoh_offset_limited_descent_med_7,fine,1,1,24,2.014235,2.032506,Solved,12.500000
zoh_offset_limited_descent_med_7,total,27,2,276,2.688439,2.825465,Solved,12.500000
zoh_offset_limited_descent_med_8,coarse,26,1,252,0.674431,0.776528,Solved,12.500000
