t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50.00000000000001,-0.00000000000000019540335190662003,-0.0000000000000003936754975922862,-0.0000000000000019330393056872565,79.99999999999997,-0.5326631140140798,-1.0653262279627869,12.421009302418236,12.477985570933432,998.2388397357478
1,10,20,50.00000000000001,-0.013316577850352385,-0.02663315569907045,0.06527523256045203,79.98586829375539,-0.5305405000222344,-1.0610809999791215,12.419894724754359,12.4764238840254,997.937591637088
2,9.99966708555374,19.999334171107524,50.00163188081402,-0.02658009035090843,-0.05316018069854887,0.1305226006793091,79.97174085201526,-0.5284748547392201,-1.0569497094140234,12.420051601066266,12.476141710232945,997.7387657854908
3,9.999002583294967,19.998005166590058,50.00489494583099,-0.03979196171938911,-0.07958392343389982,0.19577389070596388,79.95761622495293,-0.524811650412617,-1.049623300765725,12.382546889370227,12.43803061748242,994.5152728181985
4,9.998007784251984,19.99601556850421,50.00978929309865,-0.05291225297970472,-0.10582450595304331,0.2600875629402177,79.9435372279171,-0.522517562666053,-1.0450351252739951,12.37717873078399,12.432203271449415,993.8742991642838
5,9.99668497792749,19.993369955855382,50.01629148217215,-0.06597519204635621,-0.1319503840848935,0.32426703120981565,79.92946730433553,-0.5131656940009266,-1.0263313879329297,12.203944505647968,12.257771349373876,979.7571283950281
6,9.99503559812633,19.99007119625326,50.0243981579524,-0.07880433439637954,-0.1576086687832171,0.38411564385101316,79.91559721537237,-0.3751286960906989,-0.7502573921484659,8.956737790242173,8.995930239021257,718.9151316557485
7,9.99306548976642,19.98613097953368,50.034001049048676,-0.08818255179864717,-0.17636510358692908,0.3627840886070657,79.90541954296069,-0.21378694292542588,-0.4275738858449716,5.1249196078391535,5.147166796704876,411.2865164377499
8,9.990860925971456,19.981721851944005,50.04307065126385,-0.09352722537178298,-0.18705445073305368,0.24565707880304277,79.89959680628509,-0.20868371780065456,-0.4173674356000382,5.022673045309099,5.044302700745,403.0377460478894
9,9.988522745337159,19.97704549067568,50.04921207823393,-0.0987443183167995,-0.19748863662305496,0.12597390493576854,79.89389084637311,-0.20727274905166473,-0.4145454981006342,5.00882729876009,5.030224807478503,401.88422580514344
10,9.98605413737924,19.972108274760103,50.05236142585731,-0.10392613704309127,-0.2078522740755711,0.005944587404769082,79.88820121672248,-0.20626020496950964,-0.41252040993800004,5.004533874345166,5.025741378197191,401.49743260090713
11,9.983455983953162,19.966911967908214,50.05251004054244,-0.10908264216732916,-0.2181652843240214,-0.11419206573660341,79.88251706287191,-0.20534186547510105,-0.4106837309488876,5.002511394577094,5.023539330277946,401.29296037225487
12,9.980728917898979,19.96145783580011,50.04965523889902,-0.11421618880420682,-0.22843237759774387,-0.23437928087217766,79.87683580372472,-0.20445844642352345,-0.4089168928456002,5.001320572478975,5.022173283815181,401.15530486530645
13,9.977873513178874,19.955747026360168,50.04379575687722,-0.11932764996479503,-0.23865529991888412,-0.35459626656020493,79.87115649336451,-0.20359411664927496,-0.4071882332977803,5.000587267102511,5.0212674276865075,401.05443060434135
14,9.974890321929752,19.949780643862194,50.03493085021321,-0.12441750288102706,-0.2488350057513289,-0.4748315848826437,79.86547861108379,-0.20274159303080813,-0.40548318606067607,5.000138097461077,5.020647618017055,400.9764190417553
15,9.971779884357728,19.943559768718412,50.02306006059114,-0.12948604270679737,-0.2589720854028461,-0.5950781324461184,79.85980183321779,-0.20189708725769562,-0.4037941745146882,4.999882424413353,5.020222820766965,400.91399371555127
16,9.968542733290057,19.93708546658334,50.00818310728,-0.1345334698882399,-0.2690669397657135,-0.715331071835786,79.85412593911408,-0.2010584476044912,-0.4021168952081649,4.999769196848834,5.019941758785085,400.86305550288625
17,9.965179396542851,19.930358793089198,49.9902998304841,-0.1395599310783523,-0.2791198621459179,-0.8355868419145668,79.84845076615102,-0.20022431052953596,-0.4004486210582604,4.999766113559059,5.019771987454724,400.821010487358
18,9.961690398265892,19.923380796535547,49.96941015943623,-0.1445655388415908,-0.2891310776723746,-0.9558426890755917,79.84277618842863,-0.19939373980323116,-0.3987874796058078,4.999851003120651,5.019691236913112,400.7860780534501
19,9.958076259794852,19.916152519593737,49.94551409220934,-0.14955038233667167,-0.29910076466252,-1.076096413997577,79.83710210525491,-0.19856606196242657,-0.397132123924295,5.00000792750503,5.019683498304843,400.75697807980214
20,9.954337500236434,19.908675000477174,49.91861168185941,-0.15451453388573244,-0.3090290677606276,-1.1963462158099527,79.8314284340605,-0.1977407778127138,-0.3954815556249028,5.000225106945924,5.019736939265532,400.7327643146843
21,9.950474636889291,19.90094927378316,49.88870302646416,-0.15945805333105037,-0.31891610665125036,-1.316590588136306,79.82575510567187,-0.19691750909390227,-0.39383501818753,5.000493679115624,5.019842657404129,400.71272472910914
22,9.946488185556015,19.89297637111688,49.85578826176074,-0.16438099105839804,-0.3287619821059388,-1.4368282461584168,79.8200820609957,-0.19609596545221156,-0.3921919309043526,5.000806920688491,5.019993898359536,400.69631900393233
23,9.942378660779555,19.88475732156423,49.819867555606784,-0.1692833901947034,-0.3385667803785478,-1.5570580731412058,79.81440924858767,-0.1952759229216266,-0.39055184584320174,5.001159724503218,5.020185530794611,400.68313655038924
24,9.938146576024687,19.876293152054767,49.780941103778254,-0.17416528826774416,-0.348330576524628,-1.6772790800286268,79.80873662281655,-0.19445720926350837,-0.3889144185264383,5.0015482356998335,5.020413681005936,400.6728672975044
25,9.933792443817994,19.867584887641648,49.73900912677754,-0.17902671849933194,-0.35805343698778913,-1.797490374136132,79.8030641424403,-0.1936396940467566,-0.3872793880935494,5.0019696068362345,5.020675487065867,400.66528202648914
26,9.92931677585551,19.858633551716952,49.694071867424135,-0.18386771085050094,-0.367735421690128,-1.9176911339652274,79.79739176946207,-0.19282328182196054,-0.3856465636438808,5.002421835019358,5.020968935249154,400.6602192826354
27,9.924720083084248,19.8494401661747,49.646129589075,-0.18868829289605005,-0.3773765857812252,-2.037880588089745,79.79171946817101,-0.19200790690001432,-0.38401581379970406,5.0029036428918765,5.021292740396605,400.6575758048045
28,9.920002875761845,19.840005751530168,49.595182574372764,-0.19348849056855044,-0.3869769811262179,-2.1580579970174494,79.7860472043176,-0.19119353023918534,-0.3823870604780084,5.003414414991581,5.0216462819781436,400.6573013936876
29,9.915165663497632,19.830331327002014,49.541231124447336,-0.19826832882453016,-0.39653665763816826,-2.278222636642661,79.78037494436342,-0.19038013748843424,-0.3807602749768327,5.003954164104884,5.022029570144344,400.6593961845991
30,9.910208955277017,19.82041791056106,49.48427555853126,-0.20302783226174104,-0.4060556645125892,-2.39837378254004,79.77470265476784,-0.1895677384510987,-0.37913547690220833,5.004523534122585,5.022443248469397,400.66391084471667
31,9.905133259470475,19.810266518948243,49.42431621396776,-0.20776702572301856,-0.4155340514351445,-2.5185106941869764,79.76903030127299,-0.1887563680780178,-0.3775127361558917,5.005123843005999,5.022888636979547,400.6709499815537
32,9.8999390838274,19.799878167662364,49.36135344661308,-0.21248593492496906,-0.4249718698390419,-2.638632598111828,79.76335784814033,-0.1879460884585037,-0.375892176917551,5.0057571527331755,5.023367802204672,400.68067770922323
33,9.894626935454275,19.789253870916387,49.29538763166029,-0.2171845871364317,-0.43436917426198074,-2.7587386692934994,79.75768525730773,-0.18713699235444683,-0.3742739847088953,5.006426381839245,5.023883669993863,400.6933266203532
34,9.889197320775864,19.77839464155984,49.22641916492795,-0.22186301194529293,-0.4437260238797032,-2.878828009747519,79.75201248742027,-0.18632920969500572,-0.3726584193897187,5.007135500099873,5.024440220723345,400.70921332601966
35,9.883650745477231,19.767301490962847,49.154448464684265,-0.2265212421876681,-0.4530424843644462,-2.9988996222450233,79.74633949264098,-0.18552291570927854,-0.37104583141853426,5.007889772125384,5.02504273359332,400.7287578992468
36,9.87798771442254,19.755975428853734,49.07947597412814,-0.23115931508040008,-0.46231863014990965,-3.11895237794189,79.7406662211858,-0.18471834369051734,-0.36943668738143043,5.008696132637095,5.02569816294745,400.7525138417714
37,9.872208731545529,19.744417463099985,49.001502164679586,-0.23577727367266302,-0.47155454733444546,-3.238984974625964,79.73499261343513,-0.18391580349822795,-0.3678316069963854,5.009563727392335,5.026415680801699,400.7812112834599
38,9.866314299703712,19.732628599416625,48.92052754031394,-0.24037516876011875,-0.4807503375093551,-3.3589958814411562,79.72931859943239,-0.18311570879329025,-0.3662314175867954,5.010504706633391,5.027207472632347,400.8158203538849
39,9.86030492048471,19.72060984097889,48.83655264327791,-0.244953061479951,-0.4899061229490251,-3.4789832637753224,79.72364409548754,-0.18231861672178754,-0.3646372334435609,5.011535381140161,5.028089896790803,400.85764351536073
