t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999998,19.999999999999996,50,-0.0000000000000006719752328524365,-0.000000000000001333796154435397,-0.0000000000000008370337230003152,80.00000000000026,-0.5275432563708363,-1.0550865245054242,12.443311123238145,12.499119149732216,999.9280011560462
1,9.996108220662894,19.99221644123259,50.014406809005855,-0.05914151118579959,-0.11828302235279271,0.1620342117561342,79.93684363766349,-0.3949427663672663,-0.7898855356249678,9.41105957731295,9.452406467625718,755.5953402800008
2,9.985971948945386,19.97194389784193,50.02370621087849,-0.10053557964395252,-0.20107115932959754,-0.07152966043298155,79.89172294057461,-0.27408202911923035,-0.5481640563374809,6.6105120637562615,6.63885844247222,530.3900385932668
3,9.971498750954582,19.942997501951723,49.98440966277702,-0.12946327243750935,-0.2589265447965094,-0.5924517817140088,79.8596838873602,-0.19928503964493416,-0.3985700799995249,4.932254851788884,4.952344280897716,395.4926220226664
4,9.953819681770145,19.90763936358067,49.87106294024209,-0.15323047657009703,-0.3064609532237518,-1.2232155852269484,79.83264979363513,-0.19015187838414335,-0.3803037576906079,4.809776716966636,4.828534694745263,385.4746651851909
5,9.93313918581081,19.866278371687926,49.680319565990935,-0.17797380759492354,-0.35594761524684293,-1.8190692748052784,79.8040448881008,-0.20446350490902068,-0.4089270086874596,5.250205241639446,5.270072593268428,420.5732352122254
6,9.909297181953042,19.818594363996425,49.417548578978135,-0.20332892365658867,-0.40665784724232357,-2.387098899990746,79.7741927704095,-0.19652370159522772,-0.39304740271793137,5.1656890715907195,5.18434585368666,413.57707845563266
7,9.882406255948894,19.764812511961406,49.08163682980758,-0.22642723533380485,-0.4528544706388219,-2.9979604563523576,79.74629820643896,-0.17322684579282918,-0.3464536925625042,4.679197576784167,4.695202884657753,374.42502845184544
8,9.852784310407312,19.70556862083894,48.66614929952951,-0.24739953966206837,-0.4947990794155741,-3.6511324337450373,79.72033461320108,-0.16754727246043538,-0.3350945455637091,4.626252221219188,4.641397539687363,370.0137557982668
9,9.820498164689553,19.640996329399183,48.170939504063,-0.2697727098520423,-0.5395454197976425,-4.2537224757180025,79.69209286948448,-0.19582600153682353,-0.3916520024981378,5.509690449965003,5.5270624594270235,440.4632363645425
10,9.785122375831644,19.570244751704156,47.60947952763747,-0.297302797352974,-0.5946055946989862,-4.696370144975728,79.65662731877867,-0.2464035960472651,-0.49280719129239464,7.09449992739748,7.1158616990986,566.8256282642074
11,9.745899519225233,19.491799038496737,47.00563878211338,-0.3312836825626435,-0.66256736506877,-4.930935623160412,79.61177326126432,-0.2950909145220734,-0.5901818291443032,8.723696354814885,8.748614958508576,696.4927851797726
12,9.702092489529713,19.404184979080167,46.38412889550941,-0.3702347048220985,-0.7404694096570329,-4.989901212390981,79.55901690021045,-0.3241260625031865,-0.6482521258859731,9.840481233774469,9.867135248895599,785.0195857296694
13,9.653251772773322,19.30650354553319,45.76218816467403,-0.41133810321293945,-0.8226762065462447,-4.95208105645093,79.50193355940182,-0.3300909032782365,-0.6601818072232309,10.279384331769332,10.305849755126953,819.3349944160492
14,9.599273867226222,19.198547734426477,45.14693425047193,-0.4521038190871926,-0.9042076383261504,-4.893180442052817,79.44394771980323,-0.32045656842026804,-0.640913136636654,10.227553175109529,10.252623912645886,814.5089526524107
15,9.540295351187082,19.080590702364713,44.53798687642783,-0.49124083765376453,-0.9824816753901495,-4.854726051280347,79.38693272549463,-0.305622832818368,-0.61124566483996,10.003814698243838,10.027129267695505,796.0230910132555
