t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,0.00000000000000035614220953158746,0.000000000000000712502778148507,0.00000000000000006937867029919368,80.00000000000011,-0.5325244257504342,-1.065048851499576,12.441461907509892,12.498315315665252,999.8652252094666
1,10,20,50,-0.02662622128752101,-0.05325244257497739,0.1315730953754947,79.97169304790441,-0.5285259457214462,-1.0570518914415725,12.44515063346896,12.501138855338155,999.7372392428774
2,9.998668688935625,19.997337377871254,50.00657865476878,-0.053052518573592986,-0.10610503714705534,0.2633306270489428,79.94338972032112,-0.524075007651576,-1.0481500153015069,12.438145560491552,12.493227688017578,998.7509698880566
3,9.996016063006946,19.9920321260139,50.01974518612123,-0.07925626895617145,-0.15851253791213002,0.39473790507352047,79.9151143116125,-0.29008028762810656,-0.5801605752552393,6.939625974410764,6.969873853718732,556.9982657248626
4,9.992053249559138,19.984106499118294,50.0394820813749,-0.09376028333757645,-0.18752056667489134,0.25121920379405877,79.89934402886512,-0.20689726914954884,-0.4137945382984831,4.989472314878531,5.0108748124809255,400.36561048406566
5,9.987365235392257,19.97473047078455,50.0520430415646,-0.10410514679505359,-0.20821029358981485,0.01019281953798529,79.88800816952178,-0.20519550489731644,-0.4103910097939852,4.988587339744875,5.009643662745657,400.2104538137576
6,9.982159978052506,19.964319956105058,50.052552682541496,-0.11436492203991908,-0.22872984407951352,-0.23087781347477096,79.87667670305109,-0.20353909587213925,-0.4070781917436888,4.9887941294458855,5.009511721555354,400.14314818563025
7,9.97644173195051,19.952883463901085,50.04100879186776,-0.12454187683352576,-0.24908375366669736,-0.4719381070024766,79.86534714223535,-0.2019006531319621,-0.4038013062632497,4.989443448675021,5.009826873468846,400.11156232482546
8,9.970214638108834,19.94042927621775,50.01741188651764,-0.13463690949012355,-0.26927381897985925,-0.7129659345687256,79.85401847578468,-0.2002679943671405,-0.4005359887337072,4.990242745843503,5.010295302307341,400.0922135914502
9,9.963482792634329,19.926965585268757,49.9817635897892,-0.1446503092084803,-0.28930061841654403,-0.9539537972765504,79.84269035724483,-0.19863847435114806,-0.3972769487017306,4.991128192479797,5.010852907159179,400.079977044554
10,9.956250277173904,19.91250055434793,49.93406589992537,-0.15458223292603743,-0.30916446585163,-1.1948973876525606,79.83136258525694,-0.19701053500993337,-0.39402107001926034,4.992063086549378,5.011462822411559,400.0719056122736
11,9.948521165527602,19.89704233105535,49.87432103054274,-0.16443275967653384,-0.32886551935259245,-1.4357942333250917,79.82003504189987,-0.19538337485091462,-0.39076674970132796,4.9930285244161015,5.012106061043974,400.0664813810154
12,9.940299527543777,19.88059905508772,49.80253131887649,-0.1742019284190793,-0.34840385683765834,-1.6766428071042865,79.8087076522264,-0.19375656566726085,-0.3875131313339998,4.9940142715834925,5.012772345128743,400.06288257486705
13,9.931589431122822,19.86317886224584,49.71869917852128,-0.18388975670244212,-0.3677795134043578,-1.9174420935251117,79.79738036455555,-0.19212986901770235,-0.3842597380349328,4.9950146327538105,5.013455955709455,400.0606517943621
14,9.922394943287701,19.844789886575622,49.62282707384502,-0.19349625015332697,-0.386992500306104,-2.1581913618874213,79.78605314015603,-0.19050315209282312,-0.3810063041852048,4.9960264854948155,5.01415375752431,400.05953810664454
15,9.912720130780034,19.825440261560317,49.51491750575065,-0.2030214077579679,-0.40604281551536375,-2.3988900376126807,79.77472594740111,-0.1888763480178621,-0.3777526960352094,4.997048344495406,5.014864259074183,400.0594218872107
16,9.902569060392135,19.805138120784548,49.394973003870014,-0.21246522515886077,-0.42493045031712373,-2.63953762038791,79.76339875805083,-0.18724943772627894,-0.37449887545205696,4.998079947749632,5.0155871968546,400.0602815446656
17,9.891945799134193,19.783891598268692,49.26299612285062,-0.22182769704517447,-0.4436553940897262,-2.880133623000429,79.75207154447614,-0.18562244409751227,-0.37124488819456025,4.999122151509669,5.016323429563072,400.0621850009819
18,9.880854414281934,19.761708828564206,49.118989441700606,-0.23110881925004992,-0.46221763849945374,-3.1206775154249455,79.74074427712571,-0.1839954352050767,-0.3679908704096959,5.0001770692855025,5.017075077233056,400.0653007090473
19,9.869298973319433,19.73859794663923,48.962955565929356,-0.24030859101030355,-0.4806171820199382,-3.3611686619606704,79.7294169216783,-0.18236853726769617,-0.36473707453490584,5.001248485212175,5.017845935584975,400.0699306032753
20,9.857283543768917,19.714567087538235,48.79489713283132,-0.24942701787368815,-0.49885403574668313,-3.6016062377000617,79.71808943526489,-0.18074196072316048,-0.36148392144590347,5.002342650212192,5.018642274307012,400.076573623129
21,9.844812192875231,19.689624385750903,48.61481682094632,-0.25846411590984597,-0.5169282318189778,-3.8419891051894517,79.70676176089006,-0.1791160434184193,-0.358232086836406,5.003469590478826,5.019474149092869,400.08603012289444
22,9.831888987079742,19.663777974159952,48.42271736568684,-0.26741991808076676,-0.5348398361607978,-4.082315625665511,79.6954338188997,-0.17749129329355545,-0.3549825865867859,5.004644509996292,5.020356807331194,400.09951364222525
23,9.818517991175703,19.637035982351914,48.218601584403565,-0.2762944827454444,-0.5525889654901367,-4.322583400165697,79.68410549528164,-0.17586786215150582,-0.3517357243027044,5.00587318989822,5.021296040221467,400.11748334829974
24,9.80470326703843,19.609406534077408,48.002472414395285,-0.2850878758530195,-0.5701757517052717,-4.562789740670786,79.67277666302415,-0.17423662090195433,-0.34847324180357697,5.006895015958634,5.0220304366538455,400.1191093305674
25,9.79044887324578,19.580897746492145,47.77433292736174,-0.293799706898117,-0.5875994137954502,-4.802944989872854,79.66144778484671,-0.23485097127901816,-0.4697019425574467,6.813911883068702,6.8341180887722395,544.4157412404588
26,9.775758887900874,19.551517775802374,47.53418567786811,-0.3055422554620678,-0.6110845109233223,-4.952749395719419,79.64603372128299,-0.3383644135900634,-0.6767288271794283,9.912792577225682,9.941625071987714,791.8110056840062
27,9.76048177512777,19.520963550256205,47.28654820808213,-0.32246047614157086,-0.6449209522822933,-4.947609766858134,79.62361613246028,-0.335372106558584,-0.6707442131164213,9.92167555042979,9.94997577827668,792.2530518527284
28,9.744358751320691,19.488717502642093,47.03916771973922,-0.33922908146949987,-0.6784581629381141,-4.942025989336645,79.60118603116986,-0.33224577480993767,-0.664491549619412,9.926695909757697,9.954457693427958,792.3866386497792
29,9.727397297247217,19.454794594495187,46.79206642027239,-0.3558413702099967,-0.7116827404190845,-4.93619119384876,79.57875214922171,-0.32910395722323643,-0.6582079144456376,9.931313544279517,9.958540846889589,792.4882537782579
