run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_limited_descent_ultra_short_1,coarse,26,1,246,1.186083,1.289502,Solved,12.500000
cgl_offset_limited_descent_ultra_short_1,fine,1,1,16,0.082290,0.092074,Solved,12.500000
cgl_offset_limited_descent_ultra_short_1,total,27,2,262,1.268372,1.388824,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,coarse,26,1,246,1.182740,1.288972,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,fine,1,1,16,0.076278,0.081783,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,total,27,2,262,1.259019,1.378108,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,coarse,26,1,246,1.196869,1.306570,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,fine,1,1,16,0.077924,0.082574,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,total,27,2,262,1.274792,1.397137,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,coarse,26,1,246,1.193837,1.304637,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,fine,1,1,16,0.080203,0.085449,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,total,27,2,262,1.274040,1.396785,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,coarse,26,1,246,1.185190,1.299343,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,fine,1,1,16,0.078218,0.083629,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,total,27,2,262,1.263409,1.390148,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,coarse,26,1,246,1.182183,1.293294,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,fine,1,1,16,0.079348,0.084614,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,total,27,2,262,1.261531,1.385205,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,coarse,26,1,246,1.199109,1.305425,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,fine,1,1,16,0.078785,0.084031,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,total,27,2,262,1.277895,1.395872,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,coarse,26,1,246,1.193476,1.303350,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,fine,1,1,16,0.077490,0.083321,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,total,27,2,262,1.270966,1.394174,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,coarse,26,1,246,1.186129,1.300466,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,fine,1,1,16,0.079761,0.084276,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,total,27,2,262,1.265890,1.391742,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,coarse,26,1,246,1.190710,1.303675,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,fine,1,1,16,0.083847,0.090230,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,total,27,2,262,1.274557,1.401507,Solved,12.500000
cgl_offset_limited_descent_ultra_short_1,coarse,26,1,246,1.202256,1.308953,Solved,12.500000
cgl_offset_limited_descent_ultra_short_1,fine,1,1,13,0.050248,0.054167,Solved,12.500000
cgl_offset_limited_descent_ultra_short_1,total,27,2,259,1.252504,1.370398,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,coarse,26,1,246,1.213891,1.321610,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,fine,1,1,13,0.050905,0.055062,Solved,12.500000
cgl_offset_limited_descent_ultra_short_2,total,27,2,259,1.264796,1.385004,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,coarse,26,1,246,1.216314,1.323460,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,fine,1,1,13,0.049925,0.054265,Solved,12.500000
cgl_offset_limited_descent_ultra_short_3,total,27,2,259,1.266238,1.384543,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,coarse,26,1,246,1.202256,1.307259,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,fine,1,1,13,0.050812,0.055281,Solved,12.500000
cgl_offset_limited_descent_ultra_short_4,total,27,2,259,1.253069,1.369254,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,coarse,26,1,246,1.219377,1.333270,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,fine,1,1,13,0.050114,0.054102,Solved,12.500000
cgl_offset_limited_descent_ultra_short_5,total,27,2,259,1.269491,1.394553,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,coarse,26,1,246,1.195910,1.301661,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,fine,1,1,13,0.051115,0.055255,Solved,12.500000
cgl_offset_limited_descent_ultra_short_6,total,27,2,259,1.247025,1.364864,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,coarse,26,1,246,1.214802,1.311989,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,fine,1,1,13,0.052903,0.057214,Solved,12.500000
cgl_offset_limited_descent_ultra_short_7,total,27,2,259,1.267706,1.374960,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,coarse,26,1,246,1.192870,1.291735,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,fine,1,1,13,0.050916,0.054909,Solved,12.500000
cgl_offset_limited_descent_ultra_short_8,total,27,2,259,1.243785,1.353487,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,coarse,26,1,246,1.199477,1.304172,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,fine,1,1,13,0.049856,0.053802,Solved,12.500000
cgl_offset_limited_descent_ultra_short_9,total,27,2,259,1.249333,1.365591,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,coarse,26,1,246,1.210036,1.314341,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,fine,1,1,13,0.051482,0.056051,Solved,12.500000
cgl_offset_limited_descent_ultra_short_10,total,27,2,259,1.261518,1.377665,Solved,12.500000
