t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50.000000000000014,-0.0000000000000001289706123173722,-0.00000000000000025931755242631195,0.0000000000000001559786237513748,80.00000000000011,-0.44682128785424446,-0.8936425757098118,12.065663903098239,12.142968912470803,968.5568373250726
1,9.996667922540277,19.993335845080516,50.010609979781094,-0.05210530263087057,-0.10421060526189874,0.11747655659162483,79.93875958824475,-0.3888158029528382,-0.7776316059068561,9.554088672544731,9.61384475302741,766.8977261118629
2,9.98724628494087,19.97449256988166,50.01808450147102,-0.09766204947125455,-0.19532409894280517,-0.03634814209748966,79.88992697589892,-0.3418083231904993,-0.6836166463820111,7.706042890105854,7.752307018160316,618.6558629977726
3,9.97247135319707,19.944942706394013,49.99340895382103,-0.1379587069350623,-0.27591741387053714,-0.3853283176305997,79.8500151758607,-0.30443608672219125,-0.6088721734452117,6.414810025940965,6.450931715194833,515.0987906761563
4,9.9529287067164,19.905857413432614,49.91628405751958,-0.1741199686515992,-0.34823993730370384,-0.8659223288541292,79.8161214968663,-0.2754407157688395,-0.5508814315383154,5.5852954147839275,5.614007572198352,448.49887336443703
5,9.929072906472005,19.858145812943764,49.773638903575126,-0.20711951457112887,-0.4142390291428312,-1.4257935033297084,79.78585958661768,-0.25366360818100603,-0.5073272163624517,5.133175676543737,5.156676971887335,412.04757093823713
6,9.901245604052097,19.802491208103884,49.55831234291312,-0.23779219927884557,-0.4755843985583076,-2.0225148883398014,79.75729788668464,-0.23804141329360762,-0.47608282658745976,4.984086447350192,5.004115748014833,399.77772770440237
7,9.869692162294541,19.739384324588702,49.26789003442873,-0.26684568008506915,-0.5336913601707731,-2.6223731833522845,79.72890367507934,-0.22760159257453286,-0.455203185149121,5.072847609989783,5.090751010631702,406.4829049323837
8,9.834576856870772,19.6691537137411,48.90368504466512,-0.2948714955223253,-0.5897429910452804,-3.199267217211061,79.69949206394588,-0.2214580655700164,-0.4429161311399084,5.34272521267704,5.3595161670536005,427.6375828840329
9,9.795996726850571,19.591993453700617,48.46985046554132,-0.3223556049428351,-0.6447112098862733,-3.733696434701729,79.66817946370037,-0.21880694164962694,-0.43761388329896356,5.744729265106637,5.7611423058046265,459.3290060934014
