group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_1,0.050248,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_2,0.050905,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_3,0.049925,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_4,0.050812,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_5,0.050114,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_6,0.051115,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_7,0.052903,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_8,0.050916,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_9,0.049856,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_10,0.051482,,
cgl_offset_limited_descent_ultra_short,set_1_avg,,0.050828,0.000287
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_1,0.056685,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_2,0.057324,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_3,0.056585,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_4,0.055460,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_5,0.058317,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_6,0.058215,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_7,0.058017,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_8,0.056176,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_9,0.055695,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_10,0.056267,,
zoh_offset_limited_descent_ultra_short,set_1_avg,,0.056874,0.000329
