run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_limited_descent_ultra_short_1,coarse,26,1,252,0.695346,0.800374,Solved,12.500000
zoh_offset_limited_descent_ultra_short_1,fine,1,1,14,0.055599,0.060129,Solved,12.500000
zoh_offset_limited_descent_ultra_short_1,total,27,2,266,0.750945,0.868699,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,coarse,26,1,252,0.672323,0.763382,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,fine,1,1,14,0.055827,0.060046,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,total,27,2,266,0.728150,0.830850,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,coarse,26,1,252,0.684721,0.778805,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,fine,1,1,14,0.055687,0.060536,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,total,27,2,266,0.740409,0.846983,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,coarse,26,1,252,0.678572,0.774276,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,fine,1,1,14,0.055416,0.060891,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,total,27,2,266,0.733988,0.843329,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,coarse,26,1,252,0.676825,0.767341,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,fine,1,1,14,0.055885,0.060108,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,total,27,2,266,0.732711,0.834644,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,coarse,26,1,252,0.690369,0.793645,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,fine,1,1,14,0.057100,0.061480,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,total,27,2,266,0.747469,0.862430,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,coarse,26,1,252,0.693495,0.788639,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,fine,1,1,14,0.056611,0.061570,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,total,27,2,266,0.750106,0.857312,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,coarse,26,1,252,0.680154,0.770380,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,fine,1,1,14,0.055046,0.061019,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,total,27,2,266,0.735200,0.838410,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,coarse,26,1,252,0.679440,0.767237,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,fine,1,1,14,0.057152,0.062186,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,total,27,2,266,0.736592,0.835980,Solved,12.500000
zoh_offset_limited_descent_ultra_short_10,coarse,26,1,252,0.693880,0.792505,Solved,12.500000
zoh_offset_limited_descent_ultra_short_10,fine,1,1,14,0.056897,0.061500,Solved,12.500000
zoh_offset_limited_descent_ultra_short_10,total,27,2,266,0.750777,0.862932,Solved,12.500000
zoh_offset_limited_descent_ultra_short_1,coarse,26,1,252,0.699990,0.817291,Solved,12.500000
zoh_offset_limited_descent_ultra_short_1,fine,1,1,14,0.056685,0.062636,Solved,12.500000
zoh_offset_limited_descent_ultra_short_1,total,27,2,266,0.756674,0.888931,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,coarse,26,1,252,0.711318,0.822765,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,fine,1,1,14,0.057324,0.061908,Solved,12.500000
zoh_offset_limited_descent_ultra_short_2,total,27,2,266,0.768643,0.893127,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,coarse,26,1,252,0.696669,0.796398,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,fine,1,1,14,0.056585,0.060775,Solved,12.500000
zoh_offset_limited_descent_ultra_short_3,total,27,2,266,0.753255,0.863841,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,coarse,26,1,252,0.701153,0.806186,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,fine,1,1,14,0.055460,0.060268,Solved,12.500000
zoh_offset_limited_descent_ultra_short_4,total,27,2,266,0.756613,0.874049,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,coarse,26,1,252,0.701531,0.798372,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,fine,1,1,14,0.058317,0.065802,Solved,12.500000
zoh_offset_limited_descent_ultra_short_5,total,27,2,266,0.759848,0.872280,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,coarse,26,1,252,0.695186,0.794232,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,fine,1,1,14,0.058215,0.062449,Solved,12.500000
zoh_offset_limited_descent_ultra_short_6,total,27,2,266,0.753400,0.865381,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,coarse,26,1,252,0.696282,0.792134,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,fine,1,1,14,0.058017,0.062114,Solved,12.500000
zoh_offset_limited_descent_ultra_short_7,total,27,2,266,0.754299,0.862633,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,coarse,26,1,252,0.692767,0.791883,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,fine,1,1,14,0.056176,0.061464,Solved,12.500000
zoh_offset_limited_descent_ultra_short_8,total,27,2,266,0.748943,0.862233,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,coarse,26,1,252,0.687082,0.778733,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,fine,1,1,14,0.055695,0.060939,Solved,12.500000
zoh_offset_limited_descent_ultra_short_9,total,27,2,266,0.742777,0.848030,Solved,12.500000
