t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50.000000000000014,-0.00000000000000010111479488683203,-0.00000000000000019774706883854448,-0.00000000000000010485704315646312,80.00000000000004,-0.30187682756511425,-0.6037536551305412,7.283300909015433,7.314514273691555,585.1611482735024
1,10.000000000000002,20.000000000000004,50.000000000000014,-0.15093841378255726,-0.301876827565271,-1.2633495454922836,79.83447854275688,-0.19023551450494391,-0.3804710290099882,4.99468335322834,5.012764579170546,400.1914528269496
2,9.924530793108723,19.849061586217367,49.36832522725388,-0.24605617103502928,-0.49211234207026516,-3.6710078688781147,79.72124160651198,-0.2534055798523781,-0.5068111597048158,7.292340251353994,7.31432136456029,583.1067875417767
3,9.801502707591208,19.603005415182235,47.532821292814816,-0.37275896096121836,-0.7455179219226731,-4.929837743201118,79.55630125112367,-0.31282505126238613,-0.6256501025246944,9.954121017577174,9.978668303500863,793.8659483543651
4,9.6151232271106,19.2302464542209,45.06790242121426,-0.5291714865924114,-1.0583429731850205,-4.8577772344125325,79.33182921345876,-0.28070697802461375,-0.5614139560493333,9.984565237799028,10.004275252380282,793.6574624667268
5,9.350537483814394,18.70107496762839,42.63901380400799,-0.6695249756047184,-1.339049951209687,-4.770494615513018,79.10741694008041,-0.24822519277943908,-0.4964503855590295,10.00218040076914,10.017569055811895,792.4640187887044
6,9.015774996012034,18.031549992023542,40.25376649625148,-0.7936375719944379,-1.5872751439892017,-4.674404415128448,78.88334254290783,-0.2155318682601501,-0.43106373652023355,10.007432237959966,10.019030301936716,790.3346060950774
7,8.618956210014815,17.237912420028945,37.91656428868725,-0.9014035061245128,-1.8028070122493185,-4.575688296148466,78.65987029737293,-0.18279714853234727,-0.36559429706465735,10.00114389259582,10.009493063661168,787.3454330317275
8,8.168254456952559,16.336508913904286,35.62872014061302,-0.9928020803906864,-1.985604160781647,-4.480116349850556,78.43724295950544,-0.1501847978771624,-0.30036959575421984,9.984378688926412,9.990024696523145,783.5900011011719
9,7.671853416757215,15.34370683351346,33.38866196568774,-1.0678944793292677,-2.1357889586587566,-4.392927005387351,78.21567688541965,-0.11778786418135781,-0.23557572836258858,9.958358693902936,9.961840998093995,779.172143403384
10,7.137906177092582,14.275812354184083,31.192198462994064,-1.1267884114199465,-2.253576822840051,-4.318747658435885,77.99535911571665,-0.08570118360945012,-0.17140236721880195,9.924678970502573,9.926528820937325,774.2231868362518
11,6.574511971382608,13.149023942764057,29.032824633776123,-1.1696390032246715,-2.3392780064494523,-4.2614081731845985,77.77643961300548,-0.054017414342292486,-0.10803482868439963,9.885315136280575,9.886052957383288,768.9020074305145
12,5.989692469770272,11.97938493953933,26.902120547183827,-1.1966477103958177,-2.393295420791652,-4.223750605044311,77.55902348270713,-0.022769426585046316,-0.04553885316994708,9.842467644685723,9.842599246735807,763.3823925651809
13,5.391368614572364,10.782737229143505,24.79024524466167,-1.208032423688341,-2.4160648473766253,-4.207516782701451,77.3431667613713,0.008048796295776319,0.0160975925916963,9.79847117499698,9.798487621129327,757.8460684895222
14,4.787352402728193,9.574704805455193,22.686486853310946,-1.2040080255404526,-2.408016051080777,-4.2132811952029625,77.12887417303399,0.03846710685338939,0.07693421370687786,9.755651342620627,9.756030446328158,752.4716512083974
15,4.185348389957967,8.370696779914804,20.579846255709462,-1.184774472113758,-2.369548944227338,-4.240455523892649,76.91610000517221,0.06854322495659275,0.13708644991327196,9.716149674394575,9.71735836939335,747.4213147928691
16,3.5929611539010873,7.1859223078011345,18.459618493763138,-1.1505028596354616,-2.301005719270702,-4.287380686695362,76.70475274933885,0.09838129653629171,0.19676259307270552,9.681778829841965,9.684277670303368,742.8301310364719
17,3.017709724083357,6.035419448165783,16.315928150415452,-1.1013122113673157,-2.2026244227343494,-4.35149127177438,76.49470275268872,0.1281084374531411,0.2562168749063038,9.653999212249019,9.658248181702104,738.8048305406858
18,2.4670536183996985,4.934107236798607,14.140182514528266,-1.0372579926407453,-2.074515985281198,-4.42949166564987,76.28579022029926,0.15785013589581448,0.3157002717917173,9.633962038745384,9.640425623565271,735.4274934304078
19,1.948424622079326,3.896849244158009,11.925436681703331,-0.958332924692838,-1.916665849385339,-4.517510646277179,76.07783217616293,0.1877355903985166,0.37547118079698844,9.622568341402005,9.631720670777256,732.7604353330819
20,1.4692581597329069,2.9385163194653394,9.66668135856474,-0.8644651294935798,-1.7289302589868447,-4.611226475576176,75.8706280451674,0.2179046793655856,0.43580935873110477,9.620564902480092,9.632895703852864,730.8538534347907
21,1.037025594986117,2.0740511899719167,7.361068120776654,-0.7555127898107871,-1.5110255796212926,-4.70594402433613,75.66396307648719,0.24850868868910694,0.49701737737811935,9.628657877499124,9.644679036991196,729.7546449611921
22,0.6592692000807235,1.3185384001612706,5.008096108608586,-0.6312584454662336,-1.2625168909322328,-4.796615085586568,75.45760927721099,0.3611728068991771,0.7223456137981019,12.45801145035292,12.484161011884021,942.0249501612974
23,0.34363997734760665,0.687279954695154,2.609788565815303,-0.45067204201664507,-0.901344084033182,-3.472609360410109,75.1913384988348,0.42812825867615406,0.8562565173521126,13.261283178379228,13.295792502437763,999.7284411608673
24,0.11830395633928407,0.23660791267856296,0.8734838856102479,-0.23660791267856804,-0.4732158253571257,-1.7469677712204952,74.90878982351043,0.473215825357136,0.9464316507142511,13.30393554244099,13.345949378217599,999.7289231375304
25,0.000000000000000039138879627731594,0.00000000000000007866689136603585,0.00000000000000021215689277414802,-0.000000000000000022277243223901074,-0.00000000000000004592817618123604,-0.00000000000000021689959412351677,74.62624301702837,0,0,0,0,0
