t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999984,19.999999999999968,50.00000000000002,-0.00000000000004318848898022864,-0.00000000000008608315950316967,-0.000000000000005829433283491635,79.99999999998832,-0.5300173660043516,-1.0600347306212605,12.378449713966038,12.43505741548105,994.8044530966844
1,9.996425509933157,19.99285101990575,50.00693928948397,-0.05332382887240521,-0.1066476577249334,0.0222661416252121,79.9431981732423,-0.34316980708901623,-0.6863396145847819,8.086233627523256,8.122559993320289,649.3435266451926
2,9.987372380887503,19.97474476183707,49.9897163824141,-0.08954623517406324,-0.17909247035837284,-0.34160557761435656,79.90399407167969,-0.24748413052026288,-0.49496826106192093,5.969068002231689,5.994664880777023,478.99771879097227
3,9.974387201311574,19.948774402717227,49.91396290246673,-0.11729069245291042,-0.23458138489012262,-0.8901425595606477,79.87320450239693,-0.2026901571607728,-0.40538031395289,5.01591852704897,5.036352336507032,402.26968188515787
4,9.958197728335241,19.91639545679406,49.764149369134714,-0.14141755141359427,-0.28283510276183643,-1.5128441238755828,79.84579927590424,-0.18697869452528726,-0.37395738867434514,4.7253929748304815,4.743852060147897,378.7767566643394
5,9.939064788828272,19.878129577796617,49.53541737185263,-0.16474020280203608,-0.32948040550294655,-2.1443106048192906,79.81880548310622,-0.18834041010580993,-0.37668082003312964,4.845913660306063,4.864178417994747,388.25297720421736
6,9.916976104488331,19.83395220911992,49.229471547495,-0.18891788833456835,-0.3778357765567911,-2.742637408167351,79.79032184872585,-0.19974525566365803,-0.3994905113292651,5.237252949799078,5.256263253698139,419.3989815442139
7,9.891759332475848,19.783518665091893,48.852303773233416,-0.21490353347514513,-0.4298070668414066,-3.2802156195371475,79.75909903215575,-0.21663902437343585,-0.43327804880312243,5.80387107193083,5.8240516753649025,464.5211406154115
8,9.863154724027721,19.726309448195206,48.41266649602662,-0.24316943199309343,-0.4863388638796436,-3.74012265873308,79.72437458475513,-0.23576143354993503,-0.47152286708902874,6.46793685576721,6.489385300794826,517.36220208736
9,9.830866676088338,19.661733352325314,47.92084792801851,-0.27383367598556524,-0.5476673518548663,-4.114493421748765,79.6857980862656,-0.2546596922635556,-0.5093193843943585,7.162085119995673,7.184686101268152,572.5174830589959
10,9.79460225778186,19.589204515733066,47.38762091718435,-0.30674877136904716,-0.6134975425981867,-4.4032043366660165,79.64337057823072,-0.2715236664893489,-0.5430473327456768,7.830230889182452,7.853733232547948,625.4978653453579
