t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.0000000000000010535150576656814,80.00000000000061,0,0,3.7059047863518524,5.000000009188083,296.47238290815045
1,0,0,49.983164181531365,0,0,-0.4517723111262134,79.9829651726134,0,0,3.7706965521427622,5.109110893661213,301.591491006528
2,0,0,49.93290142219933,0,0,-0.8984990052065717,79.96556162475613,0,0,3.841510408037819,5.221003916685008,307.1885372660903
3,0,0,49.84960362124806,0,0,-1.339738566252155,79.94778044965481,0,0,3.9181708832082776,5.335547079252275,313.2490655349655
4,0,0,49.73369504106422,0,0,-1.7750625333036998,79.92961319678624,0,0,4.000502506825398,5.452609386775366,319.7586179633277
5,0,0,49.58563133588273,0,0,-2.2040555004316085,79.91105186841344,0,0,4.088329808060432,5.572060849086179,326.7027353470979
6,0,0,49.405898580492575,0,0,-2.626315116735934,79.89208891610126,0,0,4.181477316084641,5.69377248043616,334.0669575372946
7,0,0,49.195012298942586,0,0,-3.0414520863463936,79.87271723721305,0,0,4.279769560069281,5.817616299496301,341.83682391184533
8,0,0,48.95351649324725,0,0,-3.449090168422359,79.8529301713843,0,0,4.383031069185609,5.943465329357141,349.9978739066863
9,0,0,48.681982672092474,0,0,-3.8488661771528636,79.83272149697588,0,0,4.491086372604881,6.071193597528766,358.53564760302913
10,-0,-0,48.3810088795414,-0,-0,-4.240429981756589,79.81208542750213,-0,-0,4.603759999498352,6.200676135940797,367.4356863676796
11,-0,-0,48.05121872374022,-0,-0,-4.623444506481896,79.79101660803742,-0,-0,4.720876479037283,6.331788980942424,376.6835335433571
12,-0,-0,47.69326040562396,-0,-0,-4.997585730606789,79.76951011159534,-0,-0,4.84226034039293,6.46440917330237,386.26473518595094
13,-0,-0,47.30780574762217,-0,-0,-5.362542688438928,79.74756143548431,-0,-0,4.9677361127365485,6.598414758208907,396.16484084573193
14,-0,-0,46.895549222364885,-0,-0,-5.71801746931564,79.72516649763637,-0,-0,5.097128325239393,6.733684785269856,406.36940438952905
15,-0,-0,46.45720698138835,-0,-0,-6.06372521760391,79.70232163291061,-0,-0,5.230261507072725,6.870099308512586,416.8639848609421
16,-0,-0,45.99351588384073,-0,-0,-6.399394132700375,79.67902358936897,-0,-0,5.3669601874077975,7.007539386384009,427.63414737567
17,-0,-0,45.505232525188084,-0,-0,-6.724765469031339,79.65526952452582,-0,-0,5.507048895415874,7.145887081750598,438.66546404909366
18,-0,-0,44.99313226591991,-0,-0,-7.039593536052757,79.6310570015693,-0,-0,5.650352160268202,7.285025461898359,449.9435149532575
19,-0,-0,44.45800826025523,-0,-0,-7.343645698250244,79.6063839855573,-0,-0,5.796694511136043,7.4248385985328555,461.45388910046825
20,-0,-0,43.9006704848481,-0,-0,-7.636702375139079,79.5812488395845,-0,-0,5.945900477190657,7.565211567779198,473.1821854507139
21,-0,-0,43.32194476749362,-0,-0,-7.918557041264193,79.55565032092281,-0,-0,6.097794587603295,7.706030450182043,485.11401394018344
