group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_1,cgl,0.029014,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_2,cgl,0.029687,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_3,cgl,0.028614,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_4,cgl,0.032326,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_5,cgl,0.028879,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_6,cgl,0.028156,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_7,cgl,0.032106,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_8,cgl,0.029026,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_9,cgl,0.029195,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,cgl_direct_descent_extreme_short_10,cgl,0.028966,7.440000,0.500000,0.400000,0.010000,5,,
cgl_direct_descent_extreme_short,set_1_avg,cgl,,7.440000,0.500000,0.400000,0.010000,5,0.029597,0.000454
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_1,zoh,0.033319,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_2,zoh,0.029223,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_3,zoh,0.029544,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_4,zoh,0.030358,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_5,zoh,0.031463,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_6,zoh,0.029577,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_7,zoh,0.030130,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_8,zoh,0.029942,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_9,zoh,0.029572,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,zoh_direct_descent_extreme_short_10,zoh,0.029900,7.500000,0.500000,0.400000,0.010000,5,,
zoh_direct_descent_extreme_short,set_1_avg,zoh,,7.500000,0.500000,0.400000,0.010000,5,0.030303,0.000388
