t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.999999999999964,0,0,-0.0000000000009020142088346181,79.99999999963873,0,0,3.705904791446396,5.000000014239145,296.47238331437285
1,0,0,49.9851768998986,0,0,-0.42573108940152493,79.9841211540679,0,0,3.6972009954179024,5.000792692870711,295.71737234844596
2,0,0,49.940390969021685,0,0,-0.8522889286606536,79.96823991177023,0,0,3.692418663074828,5.001310605180748,295.2762215034657
3,-0,-0,49.86559520404253,-0,-0,-1.2813191229313152,79.95236349497583,-0,-0,3.716306525956017,5.003542348105805,297.1274902219863
4,-0,-0,49.76083163521644,-0,-0,-1.7076692614480526,79.93647902059159,-0,-0,3.7167120448085833,5.004699878667442,297.1008743954214
5,0,0,49.626113284051065,0,0,-2.136302452943061,79.92060434048933,0,0,3.6874666362977653,5.002381237906635,294.7045620583088
6,-0,-0,49.46134307486643,-0,-0,-2.5642157037177173,79.90472636086898,-0,-0,3.7261927127615895,5.008183638046781,297.74040908107884
7,-0,-0,49.266654653394035,-0,-0,-2.990434416318086,79.88883767886394,-0,-0,3.72176303133769,5.008705103761673,297.3273226897333
8,0,0,49.042036311826706,0,0,-3.418462059343758,79.87296256117435,0,0,3.6905023202520915,5.003938118596443,294.77135365742237
9,0,0,48.78736953280497,0,0,-3.8471482597879465,79.85709410846552,0,0,3.7070619864146335,5.0077740993603745,296.0351979150285
10,-0,-0,48.50271819620021,-0,-0,-4.273795620487865,79.84120682650618,-0,-0,3.7358228949537966,5.015227694724192,298.27260842320317
11,-0,-0,48.18819831382832,-0,-0,-4.699843417081577,79.82531291365049,-0,-0,3.721403447824343,5.012830990032109,297.062194700516
12,0,0,47.8437524110424,0,0,-5.127783064452044,79.80944147665716,0,0,3.6921772933452575,5.005544868823081,294.67060761468076
13,0,0,47.469260397974516,0,0,-5.556628295439483,79.79358319336848,0,0,3.700220920416267,5.008241655653336,295.25388584707787
14,-0,-0,47.06475661159208,-0,-0,-5.9837233045789695,79.77770210200075,-0,-0,3.7344967756252787,5.019900654606294,297.9295712667158
15,-0,-0,46.6303863123899,-0,-0,-6.409047041108711,79.76179465779347,-0,-0,3.743261702268008,5.024138962825373,298.5692712466833
16,0,0,46.166186483512305,0,0,-6.835252845473987,79.74590090214298,0,0,3.7126389036494607,5.013989764963022,296.06773409587066
17,0,0,45.67202539191752,0,0,-7.263828047363413,79.7300484179488,0,0,3.6848713907019044,5.003545821949409,293.79497439457714
18,0,0,45.14778441291913,0,0,-7.692934312584707,79.71420798419004,0,0,3.7003645745963385,5.009976698625483,294.9716313167014
19,-0,-0,44.593533350568755,-0,-0,-8.11969073583047,79.6983248415218,-0,-0,3.744650910072987,5.029786933348828,298.4424046490971
20,-0,-0,44.00946650894813,-0,-0,-8.54388964821701,79.68239052092504,-0,-0,3.764475851399144,5.040158386597067,299.9624348977784
21,-0,-0,43.395668522497246,-0,-0,-8.968579191943657,79.66646554757396,-0,-0,3.730777080485082,5.025399782980844,297.21782374814336
22,0,0,42.75198775560026,0,0,-9.396719543073742,79.65061683084838,0,0,3.675931242676687,4.998546867641469,292.7901909069851
23,0,0,42.07818244728475,0,0,-9.827545464142105,79.63483254519498,0,0,3.663818976060245,4.9919365008329235,291.76761063446537
24,0,0,41.37420519862569,0,0,-10.256709746023953,79.61901264441465,0,0,3.721822965162851,5.022866176581485,296.3278697235739
