group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
zoh_direct_descent_long,zoh_direct_descent_long_1,zoh,3.309183,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_2,zoh,3.246127,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_3,zoh,3.216373,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_4,zoh,3.094810,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_5,zoh,3.225465,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_6,zoh,3.053375,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_7,zoh,3.072153,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_8,zoh,3.177564,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_9,zoh,3.120048,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,zoh_direct_descent_long_10,zoh,3.164474,7.012500,0.050000,0.012500,0.010000,60,,
zoh_direct_descent_long,set_1_avg,zoh,,7.012500,0.050000,0.012500,0.010000,60,3.167957,0.026197
cgl_direct_descent_long,cgl_direct_descent_long_1,cgl,2.975645,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_2,cgl,2.890647,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_3,cgl,2.917570,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_4,cgl,2.912717,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_5,cgl,2.847147,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_6,cgl,2.831347,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_7,cgl,2.891185,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_8,cgl,2.858980,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_9,cgl,2.878525,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,cgl_direct_descent_long_10,cgl,2.910967,7.010000,0.050000,0.012500,0.010000,46,,
cgl_direct_descent_long,set_1_avg,cgl,,7.010000,0.050000,0.012500,0.010000,46,2.891473,0.013082
