group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_short,cgl_direct_descent_short_1,cgl,0.849125,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_2,cgl,0.857835,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_3,cgl,0.825779,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_4,cgl,0.823924,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_5,cgl,0.807467,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_6,cgl,0.821254,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_7,cgl,0.858808,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_8,cgl,0.895659,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_9,cgl,0.917970,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,cgl_direct_descent_short_10,cgl,0.883665,7.030000,0.050000,0.050000,0.010000,30,,
cgl_direct_descent_short,set_1_avg,cgl,,7.030000,0.050000,0.050000,0.010000,30,0.854148,0.011405
zoh_direct_descent_short,zoh_direct_descent_short_1,zoh,0.882559,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_2,zoh,0.906421,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_3,zoh,0.920433,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_4,zoh,0.903109,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_5,zoh,0.949459,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_6,zoh,0.861339,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_7,zoh,0.894226,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_8,zoh,0.920771,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_9,zoh,0.930772,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,zoh_direct_descent_short_10,zoh,0.932141,7.025000,0.050000,0.025000,0.010000,30,,
zoh_direct_descent_short,set_1_avg,zoh,,7.025000,0.050000,0.025000,0.010000,30,0.910123,0.008255
