t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000005,0,0,0.0000000000007472215714984644,80.00000000005937,0,0,5.324306366045489,5.324306387483631,425.94450928395526
1,0,0,50.00000000000093,0,0,-3.4988410344834002,79.8120702609912,0,0,8.132425032686898,8.132425004735094,649.0656781010504
2,0,0,47.27090399310416,0,0,-4.807349508987611,79.52587534949288,0,0,9.813811156586727,9.813811127679067,780.4519227421786
3,0,0,43.52117137609412,0,0,-4.804376806849962,79.18187550451646,0,0,9.783806868699024,9.783806838853312,774.7001774375591
4,0,0,39.77375746675143,0,0,-4.82480744926472,78.84040859552134,0,0,9.8268757838768,9.826875753670452,774.7549020182809
5,0,0,36.01040765632523,0,0,-4.811644337840813,78.49892081143243,0,0,9.80638700852312,9.806386977977482,769.7907972283161
6,0,0,32.257325072809664,0,0,-4.814462471192775,78.15961951554253,0,0,9.678806215496822,9.678806186085673,756.4918111678998
7,0,0,28.50204434527958,0,0,-4.91679362310525,77.82617063517303,0,0,9.923101742543599,9.923101711259159,772.2770094453809
8,0,0,24.666945319257756,0,0,-4.828574263921237,77.48578225783963,0,0,9.789128999100127,9.789128968569635,758.518318118176
9,0,0,20.900657393399456,0,0,-4.844853644623134,77.15144826799815,0,0,9.704119032528123,9.704119002555217,748.6868375245897
10,0,0,17.121671550593675,0,0,-4.927440799251194,76.82144153253745,0,0,9.825547503676251,9.82554747247562,754.8127230788344
11,0,0,13.278267727178008,0,0,-4.915313746383715,76.48874354111304,0,0,9.855397691506846,9.855397660465686,753.8269865213447
12,0,0,9.444323004998969,0,0,-4.879903547008369,76.15648222067477,0,0,10.010121950528804,10.010121920100019,762.3356743522331
13,0,0,5.6379982383327025,0,0,-4.723808425595897,75.82048203362069,0,0,12.655402540427332,12.655402522314452,959.5387209447082
14,0,0,1.9534276663681605,0,0,-2.5043944440628603,75.39781122122574,0,0,13.020762107774484,13.02076212704451,981.7369633584699
15,0,0,-0.00000000000043548352577979135,0,0,0.0000000000006179399834168228,74.96539708225872,0,0,0,0,0
