t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.999999999999986,0,0,-0.00000000000013736519629890953,79.99999999998555,0,0,3.8586936684431468,5.004961232020559,308.69549347539595
1,-0,-0,49.96242655122856,-0,-0,-0.6776812465469393,79.97492514228843,-0,-0,3.6936655679436488,4.955362366172696,295.4006272969416
2,-0,-0,49.84967469548849,-0,-0,-1.3545091000217517,79.94969433048139,-0,-0,3.677530327672329,4.86505409286883,294.01742558847775
3,0,0,49.66167484864747,0,0,-2.031103918048768,79.92440465485312,0,0,3.7471254494622985,5.184629134066926,299.48677071532313
4,-0,-0,49.398632735512244,-0,-0,-2.710354123564396,79.89972268759502,-0,-0,3.662799409969328,4.779730067937298,292.65665711683596
5,0,0,49.06022224023159,0,0,-3.3845058834078645,79.87396669483998,0,0,3.7818422665582028,5.348814700600378,302.070743244208
6,-0,-0,48.64712382579057,-0,-0,-4.060606874896099,79.84900671066013,-0,-0,3.725314772697456,4.671001977098942,297.46268428444046
7,0,0,48.160923820119784,0,0,-4.669874356917969,79.820443307628,0,0,5.340258360286949,7.523318158002478,426.26178969537085
8,0,0,47.62144318478253,0,0,-4.99096048936096,79.77132746879217,0,0,8.492335517704632,11.571292105750373,677.4448775576708
9,-0,-0,47.063988210524364,-0,-0,-5.022569473598831,79.71161836467373,-0,-0,10.148361209884778,11.744653745210659,808.9422957891938
10,0,0,46.50863210371714,0,0,-4.988799480547755,79.65393328292782,0,0,9.920106006043858,11.58257885755737,790.175461964989
11,0,0,45.954688722400626,0,0,-4.997418155006045,79.59351432548642,0,0,9.642834906598946,12.508279951283967,767.5071182766837
12,-0,-0,45.39922792336355,-0,-0,-5.007149292696967,79.53139620967445,-0,-0,9.83093099506425,12.04403592518125,781.867668078424
13,0,0,44.843852890661246,0,0,-4.998419142173218,79.47379280023942,0,0,9.895061812859895,11.190897235586956,786.3980922607888
14,0,0,44.28931050533381,0,0,-4.9957666476731015,79.41670757317216,0,0,9.770447573831804,11.903059879366612,775.9367778300098
15,-0,-0,43.73442544227424,-0,-0,-5.002299844138995,79.3547236184756,-0,-0,9.761994712156481,12.756106927497328,774.6603923481979
16,-0,-0,43.179053304727,-0,-0,-5.002770113735415,79.29191324785369,-0,-0,9.846466362875548,12.249654959900788,780.7451566430374
17,0,0,42.62402398605215,0,0,-4.997850470628489,79.23275866612116,0,0,9.842381793499284,11.645077224113766,779.8390613441535
18,0,0,42.06932904381687,0,0,-4.9978455991593425,79.17386994530149,0,0,9.780514746326958,12.173770065924632,774.361202523794
19,-0,-0,41.51434722364649,-0,-0,-5.001765897572225,79.11131230220253,-0,-0,9.783279908582555,12.864260202531288,773.968112187738
20,-0,-0,40.95908765513,-0,-0,-5.00197547773395,79.04763729041025,-0,-0,9.831933370916367,12.596913718659753,777.1911029676776
21,0,0,40.4040453528138,0,0,-4.998725316796409,78.98667503040464,0,0,9.835382034497272,12.011176791994643,776.8641245587161
22,0,0,39.849267621359466,0,0,-4.9980242968893025,78.92702585096785,0,0,9.796082033588661,12.17358534407311,773.175619903254
23,-0,-0,39.29435118642321,-0,-0,-5.000682831882453,78.86506904427692,-0,-0,9.784813557649569,12.79826157796192,771.6799968094101
24,-0,-0,38.7391714903513,-0,-0,-5.001971789979914,78.80106671415764,-0,-0,9.815221330009544,12.89718287239503,773.4499108403052
25,0,0,38.184042262677025,0,0,-5.000000224268279,78.73832640699496,0,0,9.833957208338472,12.408375165413833,774.3093325425755
26,0,0,37.62916426117427,0,0,-4.998188244486334,78.67778651953982,0,0,9.813792095777817,12.169628232130071,772.1274394587543
27,0,0,37.07432916311261,0,0,-4.999296983502237,78.61685753537144,0,0,9.789837078659868,12.55433607606916,769.6462269074998
28,-0,-0,36.51928202750037,-0,-0,-5.0013935484879495,78.55364295622067,-0,-0,9.798089424171398,12.976176494674382,769.6756182794818
29,-0,-0,35.96410674433257,-0,-0,-5.00128709014831,78.48967298763685,-0,-0,9.823149273317311,12.845501250691859,771.0157741714183
30,0,0,35.409069777476134,0,0,-4.999301538982077,78.4274051741381,0,0,9.827269054668262,12.41374843703238,770.7272119057369
31,0,0,34.854217771265525,0,0,-4.998428824257192,78.36664985783743,0,0,9.806444207878439,12.33764150219743,768.4981795892276
32,0,0,34.29932927673984,0,0,-4.999836728839218,78.30504283687998,0,0,9.791979858816294,12.727026736673542,766.7614023024759
33,-0,-0,33.74424774964354,-0,-0,-5.001412935705622,78.2414939393615,-0,-0,9.803476271567982,13.039633187184391,767.0386292865606
34,-0,-0,33.18909500615784,-0,-0,-5.000961863113726,78.17760895746012,-0,-0,9.823329878065772,12.871655566008986,767.9644418675604
35,0,0,32.63408506793892,0,0,-4.999204687711249,78.11534422491327,0,0,9.82401746654389,12.492815283281171,767.4065060706363
36,0,0,32.07922682066343,0,0,-4.998588538725207,78.05435318812752,0,0,9.805746046900895,12.44048106313772,765.3811652178877
37,0,0,31.524323437691052,0,0,-4.999894777305388,77.99257104303773,0,0,9.793926745182548,12.790837332228243,763.8535274639571
38,-0,-0,30.969246208669006,-0,-0,-5.00130718583999,77.92903368343538,-0,-0,9.8038924232925,13.085035952898586,764.0078628835382
39,-0,-0,30.414102208887623,-0,-0,-5.0009518259079755,77.86509977556445,-0,-0,9.821573686502362,12.956137627876169,764.7578150525646
40,0,0,29.85908337096661,0,0,-4.999350001363575,77.80258808465409,0,0,9.823569419110836,12.600794923470175,764.299125036085
41,0,0,29.304212121708318,0,0,-4.998628640079713,77.74140359824045,0,0,9.807845266136688,12.50181720144425,762.4756572638244
42,0,0,28.749317865085825,0,0,-4.999704490644375,77.67972152101157,0,0,9.795270591744973,12.797969246111915,760.8938917897037
43,-0,-0,28.19426342881351,-0,-0,-5.001149741516985,77.61637890684374,-0,-0,9.801936554693079,13.118132904377918,760.7908216499004
44,-0,-0,27.639120954210757,-0,-0,-5.001096449821865,77.55234703204874,-0,-0,9.818857973868301,13.06816090442137,761.4754810478335
45,0,0,27.084074808430252,0,0,-4.9996335075161475,77.48945205950793,0,0,9.824215854348346,12.731500790832635,761.2731034677838
46,0,0,26.529183679752062,0,0,-4.998648850254252,77.42804170833867,0,0,9.811350113658921,12.554247589392421,759.6736258154963
47,0,0,25.974307385359072,0,0,-4.999397308828846,77.36656397540318,0,0,9.796839709489078,12.77603074443909,757.9478261409571
48,-0,-0,25.419287536365747,-0,-0,-5.000916416555397,77.30354998680124,-0,-0,9.799154750283611,13.129777594295373,757.50944906695
49,-0,-0,24.864149337775327,-0,-0,-5.0012675670684725,77.23947273725143,-0,-0,9.81530009718182,13.181877233687867,758.1286042642165
50,0,0,24.309069039679216,0,0,-5.000000226662933,77.17614603664235,0,0,9.824741902296607,12.879784943996732,758.2357158239623
51,0,0,23.754149648076005,0,0,-4.998724111835778,77.11443155647964,0,0,9.81541622665443,12.619459493012698,756.9102428087027
52,0,0,23.199289212324302,0,0,-4.99907127725498,77.05314142990822,0,0,9.79906198085479,12.747514175041081,755.0485086912407
53,-0,-0,22.644309255782275,-0,-0,-5.000615809790418,76.99052752273663,-0,-0,9.796524133888441,13.120933634317735,754.2395609572917
54,-0,-0,22.089182402124546,-0,-0,-5.0013897873548006,76.92650068263876,-0,-0,9.811299136824454,13.28098812767207,754.7489097464994
55,-0,-0,21.53407007095161,-0,-0,-5.0003800249402515,76.86277393749091,-0,-0,9.824698077503195,13.032483660487616,755.1535473352296
56,0,0,20.979118091673097,0,0,-4.998856559293997,76.80070307777518,0,0,9.819317673086887,12.70111059664765,754.1305010370963
57,0,0,20.424267241619578,0,0,-4.998791927020515,76.73952932917027,0,0,9.801607036369974,12.729544162722311,752.1707106405153
58,-0,-0,19.86932451919091,-0,-0,-5.000313482338175,76.67730022946907,-0,-0,9.794375426387768,13.107227014348435,751.0062651292691
59,-0,-0,19.31421192588445,-0,-0,-5.001464725354025,76.61337735198671,-0,-0,9.807592293728286,13.365303901633244,751.3927693138421
60,-0,-0,18.759073896087852,-0,-0,-5.000700259249759,76.5493273357717,-0,-0,9.824555718294343,13.17227524269583,752.0631316082413
61,0,0,18.204094353042453,0,0,-4.998966879394207,76.48694239403952,0,0,9.822649777912861,12.781420235589765,751.304447720046
62,0,0,17.649251403880875,0,0,-4.998568161467598,76.42585468830092,0,0,9.803426728202234,12.725977045648628,749.2352665769893
63,-0,-0,17.094336231355886,-0,-0,-5.000116855868799,76.36391496865463,-0,-0,9.792210852758672,13.115649225825829,747.7715569152002
64,-0,-0,16.53922864225152,-0,-0,-5.001577361475757,76.30001862847782,-0,-0,9.805101726903768,13.455761015727912,748.1294444168775
65,-0,-0,15.984069461178906,-0,-0,-5.000898443353331,76.23570112831628,-0,-0,9.825738533320619,13.284340581836137,749.0720661912114
66,0,0,15.429080904646316,0,0,-4.998902183489969,76.17318432487217,0,0,9.825335704251266,12.823367723474293,748.4271076536794
67,0,0,14.874256361556363,0,0,-4.998367585872999,76.11228113911778,0,0,9.802644173111936,12.728611263438804,746.1016092106305
68,-0,-0,14.31935090617766,-0,-0,-5.000191627150098,76.05045009175447,-0,-0,9.788880016869864,13.187722529017915,744.4487311771343
69,-0,-0,13.764219182823826,-0,-0,-5.001865843679288,75.98628191524385,-0,-0,9.805533401360048,13.590356731049251,745.0860253650845
70,-0,-0,13.209042251849429,-0,-0,-5.000842448530091,75.92172022520363,-0,-0,9.830696215455257,13.339034950687772,746.3633676887622
71,0,0,12.654087507449658,0,0,-4.998422955642076,75.85951590942808,0,0,9.826364335132325,12.760979219964664,745.4232416128074
72,0,0,12.099304259770138,0,0,-4.998260909999756,75.79907882673065,0,0,9.79543338891927,12.741971722890666,742.484827588681
73,-0,-0,11.544363123186269,-0,-0,-5.0008960693763,75.7369195842359,-0,-0,9.784141960591153,13.414403851333523,741.0207728700404
74,-0,-0,10.989150341683914,-0,-0,-5.002361322257889,75.67182507464733,-0,-0,9.814431765734984,13.798349379978482,742.6759637837598
75,0,0,10.433989896854285,0,0,-5.000000222681699,75.60730872880005,0,0,9.842022083329462,13.197539005116685,744.1288021699585
76,0,0,9.879165767800483,0,0,-4.997287790733438,75.54662755545435,0,0,9.817936153799874,12.458522843813347,741.711965974349
77,0,0,9.324416391746116,0,0,-4.999029556942379,75.48699342671722,0,0,9.774495188607425,12.90256332143776,737.8472540518877
78,-0,-0,8.769293853483317,-0,-0,-5.002919378688399,75.42291326494232,-0,-0,9.788354566334423,14.078163462641696,738.2662174631433
79,-0,-0,8.213958630458423,-0,-0,-5.001969810396762,75.35570370473309,-0,-0,9.848352257829553,13.917488330800559,742.129514720843
80,0,0,7.659028247299553,0,0,-4.996782764127437,75.29427879069888,0,0,9.847402082915723,11.841422581762405,741.4530377951653
81,0,0,7.104464057404592,0,0,-4.996935388658604,75.2427853236785,0,0,9.765548928360017,10.278009850119476,734.7871015844714
82,-0,-0,6.549425954421297,-0,-0,-5.004041131878458,75.19262392253057,-0,-0,9.751584094038163,11.357535609494782,733.2471954319426
83,-0,-0,5.993826613657472,-0,-0,-5.004435519442399,75.1340767691384,-0,-0,9.872576593647658,13.222798730266037,741.766927696322
84,0,0,5.4389028450358925,0,0,-4.99357196947141,75.07205112827387,0,0,9.90212368746367,12.51466110043968,743.3727357437643
85,0,0,4.8848260928904415,0,0,-4.9938807375681415,75.01888281472732,0,0,9.689794749017397,10.091511054800469,726.9175767752962
86,-0,-0,4.3294895843441,-0,-0,-5.012041170108848,74.97275629000916,-0,-0,9.71203381349293,10.121984433455655,728.1379441793337
87,-0,-0,3.773970579635066,-0,-0,-4.979410396730406,74.91879624400735,-0,-0,10.675822374443682,12.931993484571112,799.8197612081609
88,0,0,3.229898402978184,0,0,-4.792561919211957,74.85346282093263,0,0,12.334087041328386,14.29200677659357,923.2491257782214
89,-0,-0,2.7163346675624713,-0,-0,-4.439832537807763,74.7884754453798,-0,-0,13.45871537808808,13.189739292263434,1006.5568045804959
90,-0,-0,2.246531697609569,-0,-0,-4.024488894092968,74.72779758158686,-0,-0,13.508889717869097,12.974825687149472,1009.4895763889019
91,0,0,1.8220655374228991,0,0,-3.6274990719139195,74.66482726584955,0,0,13.306599972768064,13.763677339682832,993.5349884624859
92,-0,-0,1.4410689946133222,-0,-0,-3.2351284057806002,74.60079264976453,-0,-0,13.413597499486123,13.356094525554939,1000.6650057465642
93,-0,-0,1.1043552513056143,-0,-0,-2.831242700222863,74.53899075816871,-0,-0,13.443855122052343,13.237578136552804,1002.0913926968186
94,0,0,0.81231943449213,0,0,-2.4316412157867875,74.4757497964536,0,0,13.39648995914405,13.647878435527442,997.7136343479152
95,-0,-0,0.5646288089698739,-0,-0,-2.029957420865832,74.41276777821666,-0,-0,13.459510414409321,13.266639733596946,1001.5594228759295
96,0,0,0.3617677878602334,0,0,-1.625749970287277,74.35019424393369,0,0,13.43600145356363,13.572472425534762,998.9693179342313
97,-0,-0,0.20368964816798132,-0,-0,-1.2217260322223318,74.28710000473255,-0,-0,13.471848914949694,13.35593076758748,1000.7845875935157
98,0,0,0.09063165060996015,0,0,-0.8156295079241552,74.22431501504623,0,0,13.464372803579558,13.558377249193104,999.3838484529102
99,0,0,0.022680088682313176,0,0,-0.40834964894732756,74.16150781099695,0,0,13.481243208930934,13.514058084719306,999.7893235410811
