t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.00000000000003353369823394309,80.00000000000246,0,0,3.7059047070411952,4.999999942288124,296.47237656330475
1,0,0,50.00000000000001,0,0,-0.15260238232390413,79.99433704500113,0,0,3.7061670352141154,5.000353874594432,296.47237495999053
2,0,0,49.996184940441914,0,0,-0.3051982064435198,79.98867409004508,0,0,3.7064293587537467,5.0007078006235774,296.4723700151282
3,0,0,49.98855498528083,0,0,-0.45778747247464574,79.98301113519818,0,0,3.7066916776211656,5.001061720321526,296.4723617259201
4,0,0,49.977110298468965,0,0,-0.6103701805340872,79.97734818052446,0,0,3.706953991781049,5.001415633634892,296.47235008985797
5,0,0,49.96185104395561,0,0,-0.7629463307395326,79.97168522608764,0,0,3.7072163011959147,5.001769540511156,296.4723351042606
6,0,0,49.94277738568714,0,0,-0.9155159232096074,79.96602227195169,0,0,3.7074786058313007,5.002123440898744,296.4723167666902
7,0,0,49.9198894876069,0,0,-1.0680789580637986,79.96035931818079,0,0,3.707740905653284,5.002477334747249,296.4722950747537
8,0,0,49.89318751365531,0,0,-1.2206354354224411,79.95469636483925,0,0,3.708003200630089,5.00283122200777,296.4722700262309
9,0,0,49.86267162776975,0,0,-1.3731853554066646,79.94903341199105,0,0,3.7082654907315593,5.003185102633141,296.47224161903085
10,0,0,49.828341993884585,0,0,-1.5257287181383523,79.94337045970042,0,0,3.7085277759304147,5.003538976578418,296.472209851294
11,0,0,49.79019877593113,0,0,-1.6782655237400697,79.93770750803178,0,0,3.708790056201431,5.003892843801373,296.4721747213267
12,0,0,49.748242137837636,0,0,-1.8307957723350126,79.93204455704915,0,0,3.7090523315258284,5.004246704263287,296.47213622794953
13,0,0,49.702472243529265,0,0,-1.9833194640468468,79.9263816068172,0,0,3.709314601886405,5.004600557929768,296.472094370112
14,0,0,49.65288925692809,0,0,-2.1358365989996675,79.92071865740026,0,0,3.7095768672753895,5.004954404771999,296.4720491475166
15,0,0,49.59949334195311,0,0,-2.2883471773177644,79.91505570886245,0,0,3.7098391276922995,5.005308244768514,296.4720005604478
16,0,0,49.54228466252017,0,0,-2.4408511991254396,79.90939276126835,0,0,3.71010138314673,5.0056620779073135,296.471948609997
17,0,0,49.48126338254203,0,0,-2.593348664546755,79.90372981468256,0,0,3.7103636336648464,5.0060159041891135,296.47189329857974
18,0,0,49.41642966592836,0,0,-2.7458395737051187,79.89806686916921,0,0,3.7106258792925684,5.006369723631963,296.47183463018746
19,0,0,49.34778367658574,0,0,-2.8983239267227905,79.89240392479262,0,0,3.71088812010581,5.006723536277698,296.4717726112077
20,0,0,49.27532557841768,0,0,-3.0508017237201317,79.88674098161758,0,0,3.7111503562194637,5.007077342201991,296.4717072511421
21,0,0,49.199055535324675,0,0,-3.203272964814633,79.88107803970814,0,0,3.7114125877970348,5.007431141529608,296.4716385633701
22,0,0,49.11897371120431,0,0,-3.355737650119696,79.87541509912832,0,0,3.7116748150483656,5.007784934458619,296.47156656496855
23,0,0,49.03508026995133,0,0,-3.508195779743477,79.8697521599419,0,0,3.711937038237629,5.008138721300136,296.4714912773482
24,0,0,48.94737537545774,0,0,-3.660647353787527,79.86408922221256,0,0,3.7121992581327716,5.008492502549152,296.47141276214694
25,0,0,48.85585919161306,0,0,-3.813092372334199,79.85842628600328,0,0,3.712461477086055,5.0088462790241435,296.47133120750357
26,0,0,48.76053188230471,0,0,-3.9655308354070407,79.8527633513758,0,0,3.712723692575062,5.009200052090379,296.4712464122426
27,0,0,48.66139361141954,0,0,-4.117962743092658,79.84710041839084,0,0,3.712985915044338,5.00955382431344,296.471159210616
28,0,0,48.55844454284222,0,0,-4.2703880952165445,79.84143748710588,0,0,3.7132481396980612,5.009907600627041,296.471069219815
29,0,0,48.45168484046181,0,0,-4.422806891724089,79.83577455757289,0,0,3.7135103895081505,5.010261392828042,296.4709782739774
30,0,0,48.34111466816871,0,0,-4.5752191319863815,79.83011162983054,0,0,3.713772706735016,5.0106152352628515,296.47088974647426
31,0,0,48.226734189869056,0,0,-4.727624814318005,79.82444870387859,0,0,3.7140352689383795,5.01096929151747,296.4708178097676
32,0,0,48.108543569511106,0,0,-4.880023932594543,79.81878577953223,0,0,5.01095528156019,6.479598094644577,399.96836616966846
33,0,0,47.98654297119625,0,0,-5.000000050555538,79.81146374518835,0,0,9.810000014669717,12.116849199521722,782.9504605111092
34,0,0,47.86154296993236,0,0,-5.000000050188795,79.7977733424565,0,0,9.809999991547038,12.126441000013848,782.8161558149707
35,0,0,47.73654296867764,0,0,-5.00000005040012,79.78407445344833,0,0,9.809999997954332,12.130705385452034,782.6817702251163
36,0,0,47.61154296741765,0,0,-5.000000050451262,79.77037310001741,0,0,9.809999998665761,12.131179985384003,782.547360004738
37,0,0,47.48654296615637,0,0,-5.000000050484617,79.75667356361413,0,0,9.80999999925335,12.13299619937014,782.4129675995042
38,0,0,47.361542964894255,0,0,-5.000000050503283,79.74297432943885,0,0,9.809999998851163,12.134411103793767,782.2785780801835
39,0,0,47.236542963631685,0,0,-5.000000050532004,79.72927585114158,0,0,9.809999999594348,12.136617271722038,782.1441960673566
40,0,0,47.11154296236838,0,0,-5.000000050542146,79.71557723611767,0,0,9.809999999751188,12.138936439316799,782.0098126664801
41,0,0,46.98654296110483,0,0,-5.0000000505483655,79.70187835773663,0,0,9.810000000059519,12.140816781836012,781.8754266941402
42,0,0,46.861542959841124,0,0,-5.000000050546878,79.68817971203269,0,0,9.809999999616656,12.142536766595665,781.7410429444927
43,0,0,46.73654295857745,0,0,-5.000000050556461,79.67448148058239,0,0,9.810000000298714,12.144497549350827,781.6066633483131
44,0,0,46.61154295731355,0,0,-5.000000050548994,79.66078339240265,0,0,9.809999999871392,12.146504440194828,781.472285069225
45,0,0,46.486542956049824,0,0,-5.000000050552209,79.64708539623635,0,0,9.810000000051108,12.148532379010271,781.3379077411491
46,0,0,46.361542954786024,0,0,-5.000000050550932,79.63338746911548,0,0,9.810000000031334,12.150544233076717,781.2035310745181
