t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,0.00000000000000084048038610375,0.000000000000001672793592446263,0.00000000000000573080976229833,80.00000000000267,0.04961393025515989,0.0992278605097324,3.710668903600753,5.000000013238663,296.98615641839996
1,10.000063816303017,20.000127632606034,49.98255002596864,0.0006591314529011821,0.0013182629057637359,-0.4594501383373901,79.98294252902988,-0.031496274040085655,-0.06299254808059343,3.787553213562084,4.938075375449706,302.9920182198852
2,9.999948734498167,19.999897468996327,49.93049983559763,-0.004665698252442023,-0.009331396504949007,-0.9128660033059773,79.96607129724687,-0.10828707627594823,-0.21657415255216464,3.869856897586777,4.893482899432816,310.0624257646046
3,9.999213505366697,19.998427010733383,49.84432223675756,-0.015650000375640526,-0.03130000075136115,-1.3598430967321842,79.94932800065371,-0.18083557238153192,-0.36167114476318896,3.957413982576396,4.8654696483958855,318.03992357884175
4,9.997441254453658,19.9948825089073,49.72452022146978,-0.0319751300477322,-0.06395026009554887,-1.7999895012032978,79.93265694645702,-0.24921885828594043,-0.4984377165718735,4.050058495432507,4.85329544560788,326.7821034298144
5,9.994239039102432,19.98847807820485,49.571626012284604,-0.053328286271181156,-0.10665657254244153,-2.232925880067472,79.9160050059068,-0.3135140299182783,-0.6270280598364274,4.147624463056678,4.856232874398834,336.1628912684947
6,9.989237405489305,19.978474810978582,49.38620010865984,-0.07940251191987736,-0.15880502383981987,-2.6582854774337177,79.89932156759546,-0.3737981832076496,-0.7475963664150582,4.249945912350468,4.873567278159862,346.072598340918
7,9.982089945657975,19.964179891315922,49.168830333338924,-0.10989669373913707,-0.2197933874783169,-3.075714118171907,79.88255849115544,-0.43014841408315807,-0.8602968281659733,4.35685687021545,4.904596760343146,356.4171423822196
8,9.97247285455413,19.94494570910823,48.92013087872932,-0.14451556234570243,-0.28903112469141795,-3.484870207912775,79.86567006130498,-0.4826418184739075,-0.9652836369473804,4.468191363553189,4.9486321844619505,367.1167776507515
9,9.960084487059982,19.92016897411993,48.64074135328085,-0.18296969222774165,-0.36593938445546,-3.885424733047918,79.84861294218882,-0.5313554923090026,-1.0627109846174874,4.583783419265244,5.0049971740906045,378.1045876024869
10,9.944644915028798,19.889289830057567,48.33132582786403,-0.2249755017448494,-0.449951003489633,-4.27706126072979,79.83134613196736,-0.5763665315175468,-1.152733063034502,4.703467064253186,5.073028112864517,389.3249143183546
11,9.92589548431948,19.851790968638937,47.99257188214838,-0.27025525312804616,-0.5405105062559791,-4.659475938871714,79.81383091761447,-0.6177520320286446,-1.2355040640566328,4.827076325418578,5.152074144480183,400.73183428351024
12,9.903598371831086,19.807196743662164,47.62518965098077,-0.3185370524797785,-0.6370741049593913,-5.032377496147871,79.79603082987892,-0.6555890897714,-1.3111781795420872,4.954445229662991,5.241497172695168,412.28774264307503
13,9.877536142537377,19.755072285074757,47.22991087076366,-0.36955484977391906,-0.739109699547616,-5.395487241993297,79.77791159838085,-0.6899548006749164,-1.3799096013490726,5.085407803887984,5.340671861328113,423.9620755939471
14,9.84751130652136,19.69502261304275,46.807487925833584,-0.4230484388557664,-0.8460968777112513,-5.748539066603897,79.7594411068058,-0.7209262606682986,-1.4418525213357967,5.219798074995125,5.448985634258746,435.7301797905313
15,9.813345876009867,19.62669175201978,46.358692894839336,-0.4787634574420456,-0.9575269148837475,-6.091279440936434,79.74058934816998,-0.7485805656806501,-1.497161131360468,5.357450069885979,5.565838675427876,447.5723252563184
16,9.774880922408046,19.549761844816167,45.88431659712036,-0.5364513871209075,-1.0729027742414068,-6.423467416708533,79.72132838012901,-0.7729948116410753,-1.5459896232812935,5.498197815462112,5.690643928837387,459.4728515881417
17,9.731976133333959,19.463952266668024,45.38516763908513,-0.5958695533519296,-1.1917391067033847,-6.744874626398685,79.70163228030945,-0.7942460944786784,-1.5884921889564816,5.641875338625091,5.8228270985502535,471.4194341828391
18,9.684509369653082,19.369018739306316,44.8620714605893,-0.6567811254661132,-1.3135622509316847,-7.055285283246225,79.68147710163939,-0.8124115101225625,-1.6248230202442397,5.788316666276477,5.961826648690526,483.40245637970065
19,9.632376222512901,19.264752445025998,44.31586938131421,-0.71895511666589,-1.4379102333311706,-7.354496181251379,79.66084082766388,-0.8275681545018325,-1.6551363090027764,5.937355825317842,6.107093803443344,495.41447384229195
20,9.575489570377412,19.150979140755062,43.74741764714517,-0.7821663840251138,-1.5643327680495507,-7.642316695175209,79.63970332782712,-0.8397931235455923,-1.6795862470902987,6.088826842650747,6.258092547054937,507.44975858770295
21,9.513779136061688,19.02755827212367,43.15758647654973,-0.8461956284890667,-1.6923912569773893,-7.918568780539648,79.61804631271016,-0.8491635131829463,-1.6983270263650154,6.242563745176758,6.414299623832608,519.5039114333971
22,9.447191043766425,18.894382087533206,42.54725910695601,-0.9108293948744555,-1.8216587897481005,-8.183086973627486,79.59585328921187,-0.8557564193429977,-1.711512838685133,6.398400559797443,6.575204538144755,531.5735330503885
23,9.37568737611249,18.7513747522254,41.91733084113114,-0.975860071869414,-1.9517201437379526,-8.435718391482384,79.57310951566669,-0.8596489379548508,-1.7192978759088602,6.556171313414365,6.740309554420865,543.6559451651651
