t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000014,20.00000000000003,50.00000000000001,0.00000000000005831144602732451,0.00000000000011683524721950163,0.00000000000024048935421780045,80.00000000007905,-0.3254306431772484,-0.6508612840726392,3.9866360750949026,5.08247311960658,324.20035987547203
1,9.999168229033941,19.998336458122935,49.98460678866877,-0.02306143170589382,-0.04612286345986487,-0.4257846918408222,79.98362071661977,-0.32209966941762846,-0.6441993373840266,3.9293663982550244,5.006557715328275,319.5209129495744
2,9.996659173246318,19.9933183464938,49.93844483767517,-0.046380719559031815,-0.09276143916358781,-0.8511777794423273,79.96724424379758,-0.3251878480772232,-0.6503756952631979,3.9323235317823215,5.004092794934178,319.78804028546705
3,9.992453835107263,19.984907670215122,49.861547021475786,-0.06996808074529168,-0.1399361615079751,-1.2760568654821345,79.9508639638028,-0.32758127864634984,-0.6551625580158663,3.932509936655698,4.999046830966662,319.81526711244015
4,9.98653353094332,19.973067061888933,49.75394139741749,-0.09386046153516521,-0.187720923053653,-1.7004123813913854,79.93448348549039,-0.33222415765491353,-0.6644483147326464,3.945135038816654,5.006963214201324,320.89444203162753
5,9.978876906234069,19.957753812497135,49.615671014515996,-0.1179913402329225,-0.23598268047125073,-2.1244587523263316,79.91811060391296,-0.3363633009267678,-0.6727266020078209,3.948794537797567,5.002752850534483,321.2537038141602
6,9.969462105366388,19.938924210734747,49.446767279380765,-0.14249755680003623,-0.28499511356719925,-2.5477039269886297,79.90172763103742,-0.34070403020640305,-0.681408059861127,3.9598897119456016,5.008776876265306,322.20437511537096
7,9.958266207057399,19.916532414139077,49.2472787187044,-0.16726324898906678,-0.33452649795253137,-2.9706091433574726,79.88535346943027,-0.34520984139717326,-0.6904196831707531,3.9640458959047282,5.004007115288486,322.61726493561014
8,9.945265106889254,19.89053021381114,49.01723814835302,-0.1924501642583596,-0.3849003284682512,-3.3927075648455953,79.86897549863637,-0.3509426339165962,-0.7018852670166481,3.978630639616081,5.011333621043219,323.89115298870814
9,9.930430673691275,19.86086134740499,48.75670869417264,-0.21795332158166472,-0.4359066430835779,-3.814151666736377,79.85259300036999,-0.3548985041594463,-0.7097970086086113,3.982745147546523,5.007370182557477,324.2843557267406
10,9.913739227490971,19.827478455008784,48.46572435155582,-0.24386220483154517,-0.4877244095956254,-4.23503436261221,79.8362235502118,-0.3620509459093153,-0.7241018915448663,3.9967572574799486,5.0094983420486905,325.56613883549676
11,9.895156372356212,19.790312744746572,48.14435156328243,-0.2702493761964957,-0.5404987522861602,-4.6547905361793385,79.81983891920734,-0.36735019137076963,-0.7347003821550614,4.00955015228525,5.014322143343619,326.6886981201684
12,9.8746531164582,19.749306232957355,47.79265490908804,-0.29698959109156586,-0.5939791820675219,-5.073942770378759,79.80346054596669,-0.3730064381211478,-0.7460128765114016,4.016787301647594,5.009409498027739,327.3911971643261
13,9.852198424827051,19.704396849709386,47.410681812106645,-0.3242701855934884,-0.6485403710698787,-5.492161039220427,79.78709136877127,-0.3817011578519403,-0.7634023153352404,4.035765501236132,5.01294718314425,329.12423785848335
14,9.82774974169229,19.655499483451226,46.99852329245201,-0.3521187948559104,-0.7042375895495275,-5.90898851635011,79.77070583528872,-0.3881444265105361,-0.7762888524810929,4.051692580627039,5.017815505031881,330.53859250916906
15,9.801272051604116,19.602544103280547,46.5562613479727,-0.38040004996152105,-0.7608000997475499,-6.324969162896663,79.75432533290727,-0.394815440817513,-0.7896308817450891,4.062194117059228,5.012940977598759,331.540343970843
