t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50.000000000000014,0.0000000000000006850451421556803,0.000000000000001370129446710349,0.0000000000000018804947217842778,80.00000000000068,-0.32133545063947133,-0.6426709012806002,3.923710032912345,5.000000000095934,319.11660847100023
1,10.000000000000002,20.000000000000004,50.000000000000014,-0.009640063519182776,-0.019280127038415276,-0.176588699012626,79.99320450202256,-0.3227606475269573,-0.6455212950501628,3.9261366749123483,5.000424714190667,319.32643365620623
2,9.999710798094426,19.999421596188853,49.99470233902963,-0.019322882944990818,-0.03864576588991881,-0.35310459876525374,79.98640900412418,-0.3242168628878711,-0.6484337257828444,3.928623401460001,5.000849419154202,319.5420970687448
3,9.999131111606077,19.998262223212155,49.98410920106666,-0.029049388831626284,-0.05809877766340281,-0.529545896721452,79.97961350641604,-0.3257050825659443,-0.6514101651308355,3.931172693313573,5.001274114884015,319.7638335503166
4,9.998259629941128,19.996519259882252,49.96822282416503,-0.038820541308603955,-0.07764108261732654,-0.7059107159220431,79.97281800900875,-0.32722633413749663,-0.6544526682781493,3.9337871671948417,5.001698801277413,319.99189046275194
5,9.997095013701871,19.994190027403736,49.94704550268737,-0.048637331332728184,-0.09727466266566971,-0.8821971009061961,79.96602251201291,-0.32878168861901985,-0.6575633772330193,3.936469584351229,5.002123478231555,320.2265284450855
6,9.995635893761888,19.991271787523765,49.92057958966017,-0.05850078199129813,-0.11700156398265898,-1.0584030133756577,79.9592270155392,-0.3303722619665272,-0.6607445239417279,3.9392228595163963,5.002548145643446,320.46802219986324
7,9.993880870302151,19.987761740604284,49.88882749925891,-0.0684119498502933,-0.13682389970090952,-1.2345263275901641,79.95243151969903,-0.3319992162566751,-0.66399843251702,3.942050069500246,5.002972803409912,320.7166612380999
8,9.991828511806641,19.983657023613258,49.8517917094312,-0.0783719263379929,-0.15674385267641883,-1.410564825505155,79.94563602460327,-0.33366376057482144,-0.6673275211428185,3.9449544623614683,5.003397451427671,320.9727506651027
9,9.989477354016502,19.978954708032965,49.80947476466604,-0.08838183915523691,-0.1767636783107021,-1.5865161916343096,79.93884053036304,-0.3353671521893067,-0.6707343043661375,3.947939467384949,5.003822089593214,321.23661203777965
10,9.986825898841845,19.973651797683644,49.761879278917014,-0.09844285372091549,-0.19688570744168496,-1.7623780076127593,79.9320450370898,-0.3371106982932303,-0.6742213965874158,3.9510087068497244,5.004246717802944,321.5085843836982
11,9.983872613230218,19.967745226460394,49.709007938688636,-0.10855617466971176,-0.21711234933930618,-1.938147746407266,79.925249544895,-0.3388957590871842,-0.6777915181846408,3.9541660106634895,5.004671335953077,321.78902549125905
12,9.980615927990128,19.961231855980216,49.65086350629641,-0.11872304744232666,-0.23744609488484417,-2.1138227660873596,79.91845405389027,-0.34072375143646694,-0.681447502877552,3.9574154328387174,5.00509594393962,322.0783133675562
13,9.977054236566858,19.95410847313367,49.58744882331379,-0.12894475998542007,-0.2578895199711695,-2.2894003031021968,79.91165856418738,-0.34259615214149786,-0.6851923042742128,3.9607612686546814,5.005520541658503,322.3768477392925
14,9.973185893767296,19.946371787534538,49.51876681422073,-0.13922264454966438,-0.27844528909939464,-2.4648774650425547,79.9048630758981,-0.34451450067584427,-0.6890290013451941,3.964208072125481,5.005945129005467,322.6850515621148
15,9.969009214430804,19.938018428861554,49.44482049026945,-0.1495580795699391,-0.29911615913974926,-2.640251222878789,79.89806758913467,-0.346480401786702,-0.6929608035790162,3.96776067442769,5.006369705876067,323.00337260214394
16,9.964522472043708,19.929044944087362,49.36561295358309,-0.15995249162353956,-0.3199049832471186,-2.8155184026459565,79.89127210400886,-0.34849552809415746,-0.6969910561768963,3.9714242036817597,5.006794272165739,323.33228512622617
17,9.959723897295001,19.91944779458995,49.28114740150371,-0.17040735746636368,-0.34081471493242427,-2.9906756765355023,79.88447662063312,-0.3505616227329959,-0.701123245463619,3.9752041067367583,5.0072188277697185,323.67229175444857
18,9.954611676571009,19.90922335314198,49.19142713120765,-0.18092420614835297,-0.36184841229633163,-3.165719553333398,79.87768113911989,-0.35268050220003255,-0.7053610043870585,3.9791061726417882,5.0076433725830976,324.02392544930376
19,9.94918395038656,19.898367900773085,49.096455544607636,-0.19150462121435335,-0.38300924242794226,-3.340646368154143,79.87088565958156,-0.35485405922392793,-0.709708118441073,3.9831365581976286,5.0080679065008455,324.3877516755883
20,9.94343881175013,19.886877623500247,48.99623615356302,-0.20215024299107062,-0.4043004859811733,-3.5154522714082126,79.86409018213075,-0.35708426573210544,-0.7141685314638367,3.987301816132202,5.008492429417709,324.7643707663279
21,9.937374304460397,19.874748608920815,48.89077258542077,-0.21286277096303322,-0.4257255419250872,-3.6901332169242456,79.85729470688057,-0.35937317584518247,-0.7187463516880199,3.991608925325744,5.008916941228305,325.15442045412846
22,9.930988421331508,19.86197684266306,48.78006858891305,-0.22364396623838811,-0.4472879324757267,-3.8646849491644715,79.85049923394342,-0.36172292887946195,-0.7234458577602445,3.996065323915252,5.009341441827095,325.55857862847205
23,9.924279102344356,19.84855820468879,48.66412804043811,-0.2344956541047714,-0.46899130820853285,-4.039102989447013,79.84370376343261,-0.3641357522474821,-0.7282715044914194,4.000678945553708,5.00976593110837,325.97756633577427
