group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_1,zoh,7.101392,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_2,zoh,7.051311,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_3,zoh,7.027306,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_4,zoh,7.029505,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_5,zoh,7.016713,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_6,zoh,7.034623,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_7,zoh,7.021039,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_8,zoh,7.034390,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_9,zoh,7.024481,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,zoh_offset_limited_descent_long_10,zoh,7.025132,11.975000,0.050000,0.012500,0.010000,60,,
zoh_offset_limited_descent_long,set_1_avg,zoh,,11.975000,0.050000,0.012500,0.010000,60,7.036589,0.007800
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_1,cgl,7.339421,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_2,cgl,7.496915,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_3,cgl,7.342324,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_4,cgl,7.258866,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_5,cgl,7.239334,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_6,cgl,7.069751,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_7,cgl,7.055970,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_8,cgl,6.946428,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_9,cgl,6.954411,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,cgl_offset_limited_descent_long_10,cgl,6.993627,11.980000,0.050000,0.012500,0.010000,63,,
cgl_offset_limited_descent_long,set_1_avg,cgl,,11.980000,0.050000,0.012500,0.010000,63,7.169705,0.060424
