t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50.00000000000001,-0.00000000000000022466064494301305,-0.0000000000000004491580152154764,-0.0000000000000010164536274444978,79.99999999999997,-0.2684474014312094,-0.5368948028623921,3.8535434895541982,4.999999958774907,312.00120474189305
1,10,20,50.00000000000001,-0.02684474014312137,-0.05368948028624008,-0.5956456510445822,79.97735058497601,-0.27347587267099255,-0.5469517453419618,3.860501140472592,5.001415498381353,312.6021362167913
2,9.997315525985687,19.994631051971375,49.94043543489554,-0.05419232741022081,-0.1083846548204366,-1.190595536997324,79.95470117289646,-0.27998246025091805,-0.5599649205017652,3.869416398867737,5.002830934324316,313.4013598061444
3,9.991896293244665,19.983792586489333,49.82137588119581,-0.08219057343531279,-0.16438114687061345,-1.784653897110551,79.93205176786046,-0.28873713606887463,-0.577474272137715,3.881445083521369,5.0042462631909626,314.5147131875726
4,9.983677235901135,19.96735447180227,49.642910491484756,-0.1110642870422004,-0.22212857408438524,-2.377509388758415,79.9094023739811,-0.3011493321760731,-0.6022986643521102,3.8988541327380744,5.005661481946967,316.16787107556644
5,9.972570807196913,19.945141614393833,49.405159552608914,-0.14117922025980784,-0.2823584405195965,-2.9686239754846078,79.88675299538394,-0.32008767678267935,-0.6401753535652975,3.9267314366355444,5.00707658859076,318.86225176018564
6,9.958452885170933,19.916905770341874,49.108297155060455,-0.17318798793807585,-0.3463759758761265,-3.556950831821054,79.86410363620142,-0.3523163978345525,-0.7046327956690394,3.9790541842151166,5.008491584724157,323.9521407384964
7,9.941134086377126,19.88226817275426,48.75260207187835,-0.2084196277215312,-0.4168392554430306,-4.140045413399543,79.84145430055769,-0.4172359957703035,-0.8344719915405061,4.1094090078450884,5.0099064933005,336.45071158881586
8,9.920292123604971,19.840584247209957,48.3385975305384,-0.25014322729856164,-0.5002864545970813,-4.710104512615034,79.81880499247106,-0.8977890659384579,-1.7955781318767126,7.4921569716688525,8.030055745466521,619.1107012934812
9,9.895277800875116,19.790555601750246,47.86758707927689,-0.33992213389240744,-0.6798442677847527,-4.9418888154481495,79.78251528025122,-1.236048176137128,-2.472096352273839,10.314969709327046,11.055540577991287,851.9849090787468
10,9.861285587485876,19.72257117497177,47.37339819773208,-0.4635269515061203,-0.9270539030121366,-4.891391844515445,79.73257968314041,-1.257164670053612,-2.514329340106427,10.491189597732737,11.244377556788647,865.9977665259318
11,9.814932892335262,19.629865784670557,46.884259013280534,-0.5892434185114815,-1.1784868370227795,-4.823272884742171,79.68182320807168,-1.2803909503205,-2.560781900638869,10.685016347202444,11.452112736431609,881.4357732567588
12,9.756008550484115,19.51201710096828,46.40193172480632,-0.7172825135435315,-1.4345650270866663,-4.7357712500219264,79.63016223985143,-1.3063940968760934,-2.612788193751918,10.902020658243474,11.684821929775064,898.7539392534289
13,9.684280299129762,19.368560598259613,45.92835459980412,-0.847921923231141,-1.6958438464618584,-4.62656918419758,79.57748603212595,-0.4234924830961826,-0.8469849661923021,10.209487986163142,10.910792201746617,815.9326659037428
14,9.599488106806646,19.198976213613427,45.46569768138436,-0.8902711715407591,-1.7805423430810883,-4.5866203855812655,79.52833067905675,0.000003447169293644237,0.000006894327462620924,9.809996654223477,10.591654537546146,780.1726578777659
15,9.510460989652572,19.020921979305317,45.00703564282623,-0.8902708268238299,-1.7805416536483423,-4.586620720158918,79.48064215096487,-0.0000015636650262715771,-0.0000031273225524593855,9.810001517419924,10.59091618050679,779.7052201065248
16,9.421433906970188,18.842867813940483,44.54837357081034,-0.8902709831903324,-1.7805419663805973,-4.586620568416926,79.43298554035304,-0.000001385021803138344,-0.0000027700440820604817,9.810001344110466,10.589646160335143,779.2376949176094
17,9.332406808651154,18.66481361730242,44.08971151396865,-0.8902711216925127,-1.7805422433850058,-4.586620434005879,79.38536321430604,-0.0000009019511760899522,-0.0000018039144578813495,9.81000087536055,10.589290916438241,778.770482623174
18,9.243379696481902,18.486759392963922,43.63104947056807,-0.8902712118876304,-1.780542423776451,-4.586620346469824,79.33777103531153,-0.0000005730347374546459,-0.0000011460495304804504,9.81000055608389,10.589582925584287,778.3035779748692
19,9.154352575293139,18.308705150586274,43.17238743592108,-0.8902712691911041,-1.7805425383814044,-4.586620290861435,79.29020607700359,-0.00000037343363745750556,-0.000000746873747493277,9.810000362449713,10.59033593683811,777.8369503541205
20,9.065325448374029,18.130650896748136,42.71372540683494,-0.8902713065344678,-1.7805426130687791,-4.586620254616464,79.24266625582577,-0.00000025197785348423577,-0.0000005039523330339469,9.810000244542904,10.591425742970996,777.3705753478838
21,8.976298317720582,17.952596635441257,42.25506338137329,-0.8902713317322533,-1.7805426634640125,-4.586620230162174,79.19515005025404,-0.000000175833434938589,-0.00000035167112613631956,9.810000170629525,10.592734365535971,776.9044355060236
22,8.887271184547357,17.774542369094856,41.79640135835707,-0.8902713493155967,-1.780542698631125,-4.586620213099222,79.14765647119995,-0.0000001261321281531764,-0.00000025226609070252767,9.81000012241947,10.594170231053083,776.438519671686
23,8.798244049615796,17.59648809923174,41.337739337047154,-0.8902713619288094,-1.7805427238577343,-4.586620200857275,79.10018494213821,-0.00000009235350704558905,-0.00000018470224417521127,9.810000089591492,10.595675670172353,775.9728213690796
24,8.709216913422916,17.418433826845966,40.87907731696143,-0.8902713711641603,-1.7805427423279585,-4.586620191898126,79.05273514608915,-0.0000000686167063272466,-0.00000013722511098188024,9.810000066655,10.597218590552004,775.5073370523947
25,8.620189776306498,17.24037955261317,40.42041529777161,-0.8902713780258308,-1.7805427560504696,-4.586620185232625,79.00530691040579,-0.000000051585798405732446,-0.00000010317537974089098,9.810000050040598,10.598782165349306,775.0420647445537
26,8.531162638503915,17.062325277008124,39.96175327924835,-0.8902713831844107,-1.7805427663680078,-4.586620180228565,78.95790013808202,-0.000000039188233549514164,-0.00000007838617496562727,9.810000038033376,10.60035772125912,774.5770033576204
27,8.442135500185474,16.884271000371324,39.50309126122549,-0.890271387103234,-1.7805427742066253,-4.586620176425228,78.91051477109075,-0.00000003010300616325239,-0.0000000602038743090293,9.810000029183561,10.601940791347264,774.11215220729
28,8.353108361475151,16.706216722950657,39.044429243582975,-0.8902713901135346,-1.7805427802270126,-4.586620173506873,78.86315077147947,-0.000000023357746907073658,-0.00000004671555053284522,9.810000022654581,10.603529070312279,773.6475108548252
29,8.264081222463798,16.52816244492796,38.585767226232285,-0.8902713924493093,-1.7805427848985678,-4.586620171241415,78.81580811166359,-0.000000018256435477286742,-0.00000003650906550569945,9.810000017769141,10.605121224305254,773.183078975909
