t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.0000000000001,20.0000000000002,50.00000000000046,0.0000000000001077157971636238,0.00000000000021543288120213863,0.0000000000004240743380391455,80.0000000000333,-0.2850129212571798,-0.5700258425143903,3.873713790466065,5.000000000204042,314.0631310485466
1,10.0000000000002,20.0000000000004,50.000000000000945,-0.007125323031216554,-0.014250646062433838,-0.14840715523751252,79.99433704499737,-0.28611678059455903,-0.5722335611891072,3.8753626031025465,5.000353931755782,314.2031473019567
2,9.999821866924519,19.999643733849037,49.99628982112047,-0.014278242545977763,-0.028556485091955984,-0.29677309015954817,79.98867409000786,-0.28728235532326324,-0.5745647106465233,3.877097202906319,5.0007078569796235,314.3518100719603
3,9.999464910860969,19.998929821721937,49.988870493866955,-0.021460301428959053,-0.04292060285791849,-0.44509566008650125,79.98301113512849,-0.2885150342993121,-0.5770300685986267,3.878925795696636,5.001061775816291,314.509939969211
4,9.998928403325344,19.997856806650685,49.97774310236525,-0.028673177286344043,-0.057346354572688524,-0.593372515193708,79.97734818042352,-0.2898208503995422,-0.5796417007990753,3.880857661414291,5.001415688206417,314.67846410837177
5,9.998211573893284,19.99642314778657,49.96290878948588,-0.03591869854623726,-0.07183739709247472,-0.7416010736579851,79.97168522595666,-0.29120657826881713,-0.5824131565375702,3.8829033333594523,5.001769594090637,314.85843371792424
6,9.997313606429726,19.994627212859452,49.94436876264489,-0.043198863002864824,-0.08639772600572825,-0.8897784903236449,79.9660222717921,-0.29267985129895474,-0.5853597025978612,3.8850748155830477,5.0021234934094485,315.0510454678441
7,9.996233634854756,19.99246726970951,49.922124300387274,-0.0505158592852483,-0.101031718570494,-1.0379016199337263,79.96035931799379,-0.29424930128286003,-0.588498602565759,3.8873858467644284,5.0024773861032825,315.2576673129472
8,9.994970738372722,19.989941476745443,49.8961767598894,-0.05787209181723189,-0.11574418363446214,-1.185966973764285,79.95469636462643,-0.2959247260398932,-0.5918494520797957,3.889852222561838,5.002831272112545,315.4798700043645
9,9.99352393607739,19.98704787215478,49.86652758554576,-0.06527020996814378,-0.13054041993628615,-1.3339706681999204,79.94903341175389,-0.2977172917191549,-0.5954345834383448,3.892492192015166,5.00318515137754,315.71946576284097
10,9.991892180828287,19.983784361656575,49.83317831884123,-0.0727131422610397,-0.14542628452207884,-1.4819083633992338,79.94337045944067,-0.29963977837178424,-0.5992795567435851,3.8953269484689903,5.003539023838544,315.97855607085097
11,9.99007435227186,19.98014870454372,49.796130609756716,-0.08020413672025381,-0.1604082734405075,-1.6297751896872137,79.93770750775126,-0.3017068798733606,-0.6034137597467287,3.8983812421623556,5.0038928894357095,316.2595911710814
12,9.988069248853952,19.976138497707904,49.755386230015,-0.08774680871700981,-0.1754936174340197,-1.777565658632871,79.93204455674999,-0.303935572604592,-0.607871145209177,3.90168415084027,5.004246748109223,316.5654447252653
13,9.985875578636126,19.97175115727225,49.710947088549645,-0.09534519803204906,-0.19069039606409804,-1.925273554861592,79.92638160650144,-0.30634557177169375,-0.6126911435433815,3.905270057588096,5.0046005997991525,316.8995082911663
14,9.983491948685423,19.96698389737085,49.66281524967857,-0.10300383732626835,-0.20600767465253644,-2.072891803421629,79.92071865707011,-0.3089599003193872,-0.6179198006387716,3.9091799032316055,5.004954444445517,317.26581196807996
15,9.980916852752365,19.96183370550473,49.610992954593506,-0.11072783483418246,-0.22145566966836458,-2.2204123058405902,79.91505570852068,-0.31180560370092264,-0.6236112074018272,3.9134628065873294,5.005308281988381,317.66917997001195
16,9.978148656881611,19.956297313763223,49.55548264694795,-0.1185229749266374,-0.237045949853274,-2.36782573567567,79.90939276091788,-0.31491465525480156,-0.6298293105095767,3.9181781834757916,5.005662112367698,318.1154333610497
17,9.975185582508542,19.95037116501709,49.49628700355653,-0.1263958413079418,-0.2527916826158822,-2.5151212810885495,79.90372981432644,-0.31832511295125,-0.636650225902479,3.9233985507847757,5.006015935523423,318.61165727208777
18,9.972025686475943,19.944051372951886,49.43340897152978,-0.1343539691316599,-0.26870793826331785,-2.6622863173187166,79.89806686881127,-0.32208261080347944,-0.6441652216069191,3.929213284703044,5.006369751395584,319.16655747433674
19,9.968666837247751,19.937333674495502,49.36685181359728,-0.1424060344016862,-0.2848120688033694,-2.8093059852009383,79.89240392443705,-0.3262423002165521,-0.6524846004331304,3.9357337282870244,5.006723559924183,319.7909425990211
20,9.96510668638781,19.93021337277562,49.29661916396772,-0.15056209190704178,-0.3011241838140813,-2.956162641993573,79.88674098126899,-0.33087140227052975,-0.6617428045410575,3.9431002389274217,5.0070773610493005,320.498385841805
