t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.999999999999986,0,0,-0.00000000000000005706818359431848,80.00000000000288,0,0,3.9432279491087323,5.002077008452186,315.45823592870994
1,-0,-0,49.98421749539393,-0,-0,-0.4113304074299275,79.98346319933603,-0,-0,5.041283294459441,5.001035629069631,403.21929685982417
2,0,0,49.941372152920145,0,0,-0.7625255527834528,79.96692666134427,0,0,4.998137574396918,5.002140430091634,399.68570085510754
3,-0,-0,49.87289981157419,-0,-0,-1.1134672327978492,79.95039015621641,-0,-0,5.005242448079256,5.0030131988828135,400.1710865503923
4,-0,-0,49.77881047857313,-0,-0,-1.4643381564048816,79.93385367936439,-0,-0,5.005537936291258,5.003989581939566,400.111936986013
5,-0,-0,49.6591097914263,-0,-0,-1.8151421064720712,79.91731715490695,-0,-0,5.005742846366413,5.005043774070537,400.04553864897133
6,0,0,49.5138035585566,0,0,-2.1658626100684244,79.90078063794573,0,0,5.005909464476181,5.006295131895824,399.97607401452774
7,0,0,49.34289728563694,0,0,-2.5164970020720134,79.88424437185479,0,0,5.006738790608961,5.007552948935585,399.95954505505097
8,-0,-0,49.14639653600971,-0,-0,-2.86706343294624,79.86770816335037,-0,-0,5.008286750535568,5.008182276724334,400.0003845901491
9,-0,-0,48.92430723869397,-0,-0,-3.2175607254255874,79.85117131592904,-0,-0,5.009326762242703,5.0090068698164325,400.00060946931023
10,0,0,48.676634763694224,0,0,-3.5679745449753963,79.83463500539601,0,0,5.01034240066846,5.0107985055410955,399.9988568094261
11,-0,-0,48.403384705968165,-0,-0,-3.918318486906357,79.81809911349154,-0,-0,5.011254184661617,5.011108330579395,399.98878319422016
12,-0,-0,48.104562594687984,-0,-0,-4.268574276629249,79.80156184185785,-0,-0,5.012355249927521,5.012369943237903,399.9937774504519
13,0,0,47.78017377244507,0,0,-4.6187749121940875,79.78502653006653,0,0,5.013628933642199,5.01381180954094,400.012517482552
14,-0,-0,47.43022442171788,-0,-0,-4.968875470995435,79.76848928589233,-0,-0,5.014029655837357,5.0138587482438535,399.9615708808086
15,0,0,47.05471875446866,0,0,-5.318922820704511,79.7519536692646,0,0,5.016095517054694,5.016333190784153,400.0434172767518
16,-0,-0,46.65366432756196,-0,-0,-5.668878029816819,79.73541696304353,-0,-0,5.0157418383973145,5.015565927639936,399.93226686359236
17,0,0,46.22706386869718,0,0,-6.018767398389722,79.71888093121343,0,0,5.018503208308593,5.018712060936177,400.06945971606535
18,-0,-0,45.77492647826758,-0,-0,-6.3685763957898525,79.70234457843891,-0,-0,5.017466348630883,5.017316529310338,399.9038318293003
19,0,0,45.29725318969178,0,0,-6.7183146730803065,79.685808577163,0,0,5.020944628811104,5.021120986263829,400.09803256797636
