t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50.00000000000001,0.000000000000002219344383836432,0.0000000000000044386871898932774,0.0000000000000035426469367940277,80.00000000000132,-0.3231547005378926,-0.6463094010755687,3.9264369390312677,5.0000000018398785,319.3899368592633
1,10.000000000000002,20.000000000000004,50.00000000000001,-0.00016157735026450784,-0.0003231547005289074,-0.002941781530477283,79.99988673697246,-0.32317848027056734,-0.6463569605409175,3.9264776011326505,5.0000070807783015,319.3934538492569
2,9.999999919211328,19.999999838422656,49.99999852910924,-0.00032316659039757263,-0.0006463331807949284,-0.005883542729907418,79.99977347394379,-0.3232022684464519,-0.6464045368926935,3.926518279623718,5.0000141597142,319.3969724313824
3,9.999999757628032,19.999999515256064,49.999995587337885,-0.0004847677246185799,-0.0009695354492368378,-0.00882528359009202,79.99966021091504,-0.32322606506988605,-0.6464521301395569,3.9265589745154306,5.000021238647591,319.4004926066749
4,9.999999515244172,19.999999030488343,49.99999117469608,-0.0006463807571513045,-0.0012927615143021795,-0.011767004102830766,79.99954694788629,-0.32324987014521933,-0.6464997402902276,3.9265996858186694,5.000028317578471,319.404014376166
5,9.999999192053794,19.999998384107588,49.99998529119404,-0.0008080056922216961,-0.001616011384442857,-0.014708704259917894,79.99943368485751,-0.3232736836768089,-0.6465473673534103,3.926640413544375,5.000035396506858,319.40753774089126
6,9.999998788050947,19.999997576101894,49.9999779368419,-0.0009696425340578826,-0.0019392850681151262,-0.01765038405314217,79.99932042182887,-0.32329750566902155,-0.6465950113378288,3.926681157703409,5.000042475432727,319.41106270188095
7,9.999998303229681,19.999996606459362,49.999969111649875,-0.0011312912868901757,-0.0022625825737796054,-0.02059204347428693,79.99920715880008,-0.32332133612620323,-0.6466426722521919,3.9267219183067255,5.000049554356106,319.4145892601708
8,9.999997737584037,19.999995475168074,49.999958815628126,-0.0012929519549510597,-0.0025859039099012664,-0.023533682515130033,79.99909389577142,-0.3233451750527165,-0.6466903501052181,3.926762695365251,5.0000566332769525,319.4181174167969
9,9.999997091108062,19.999994182216124,49.99994704878688,-0.0014546245424752007,-0.0029092490849494407,-0.02647530116744387,79.99898063274262,-0.32336902245291954,-0.6467380449056227,3.926803488889958,5.000063712195288,319.42164717279644
10,9.99999636379579,19.99999272759158,49.999933811136295,-0.0016163090536994436,-0.003232618107397818,-0.029416899422995364,79.99886736971386,-0.3233928783311865,-0.6467857566621561,3.926844298891794,5.000070791111138,319.4251785292073
11,9.999995555641263,19.999991111282526,49.99991910268659,-0.00177800549286282,-0.0035560109857244626,-0.03235847727354593,79.99875410668511,-0.32341674269189125,-0.6468334853835758,3.9268851253816868,5.000077870024465,319.42871148706496
