t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.000000000000012067124783116847,80.00000000000338,0,0,5.127421874236327,5.127421876193494,410.1937499389235
1,0,0,50.00000000000001,0,0,-0.05853222657202185,79.99709631395892,0,0,5.128435111139919,5.1284351134984485,410.25991752574873
2,0,0,49.999268347167856,0,0,-0.11705178768276092,79.99419215953667,0,0,5.129462336783232,5.129462339485479,410.3271958437438
3,0,0,49.997805199821826,0,0,-0.17555850847295865,79.99128752887317,0,0,5.130498899369771,5.130498902335321,410.3952126260547
4,0,0,49.99561071846591,0,0,-0.2340522722308247,79.98838241674278,0,0,5.131538943873861,5.131538947003915,410.46349942899076
5,0,0,49.99268506506303,0,0,-0.2925330354323897,79.98547682123274,0,0,5.132576367422122,5.132576370608974,410.5315680696491
6,0,0,49.98902840212012,0,0,-0.35100083083960143,79.98257074388788,0,0,5.133605892975541,5.133605896116891,410.5989965061559
7,0,0,49.98464089173463,0,0,-0.40945575717739546,79.97966418924084,0,0,5.13462403000743,5.134624033022143,410.6655056580007
8,0,0,49.979522694769905,0,0,-0.46789795680229096,79.9767571637979,0,0,5.135629584778912,5.135629587622498,410.73100018507927
9,0,0,49.97367397030989,0,0,-0.526327586992543,79.97384967474214,0,0,5.136623370886788,5.136623373560992,410.7955452990672
10,0,0,49.96709487547247,0,0,-0.5847447948564466,79.97094172879301,0,0,5.13760694849885,5.137606951051818,410.8592659038436
11,0,0,49.95978556553677,0,0,-0.6431497080001995,79.96803333178782,0,0,5.138580572573678,5.138580575087173,410.9221825056493
12,0,0,49.95174619418677,0,0,-0.7015424508430171,79.96512448941797,0,0,5.1395410156244665,5.139541018189209,410.98403713288013
13,0,0,49.942976913551234,0,0,-0.7599231881477,79.96221520920028,0,0,5.140480360536098,5.140480363219198,411.0441968678549
14,0,0,49.93347787369938,0,0,-0.8182921836409874,79.95930550313258,0,0,5.1413869027976995,5.141386905612684,411.1017260706059
15,0,0,49.92324922140387,0,0,-0.876649847356005,79.95639538983549,0,0,5.142248626675337,5.142248629566855,411.1556643872918
16,0,0,49.912291098311925,0,0,-0.9349967395225521,79.9534848947278,0,0,5.143058327485094,5.143058330338757,411.20543629928346
17,0,0,49.900603639067896,0,0,-0.9933335104289772,79.95057404730208,0,0,5.14381804461455,5.143818047292263,411.2512054618042
18,0,0,49.888186970187526,0,0,-1.0516607848712842,79.94766287589313,0,0,5.144540356271009,5.144540358660758,411.29397805458177
19,0,0,49.87504121037664,0,0,-1.1099790304178856,79.94475140171247,0,0,5.145245860358825,5.145245862414878,411.3354012070765
20,0,0,49.86116647249642,0,0,-1.1682884571633894,79.94183963431247,0,0,5.145958332892145,5.145958334644667,411.3773758129178
21,0,0,49.84656286678187,0,0,-1.2265889780022265,79.93892756978936,0,0,5.146699129308039,5.146699130837048,411.42160892125327
22,0,0,49.83123050455685,0,0,-1.2848802388858651,79.93601519215606,0,0,5.147480868147746,5.147480869540638,411.46910887759094
23,0,0,49.81516950157077,0,0,-1.3431617280340076,79.93310247828751,0,0,5.148301015991643,5.148301017311822,411.5196727003317
24,0,0,49.79837997997034,0,0,-1.401432965334101,79.93018940649554,0,0,5.149139201730326,5.149139203011677,411.5716716747162
