run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_very_short_1,coarse,20,1,140,0.729330,0.805302,Solved,9.600000
cgl_direct_descent_very_short_1,fine,3,1,16,0.173161,0.187680,Solved,9.600000
cgl_direct_descent_very_short_1,total,23,2,156,0.902491,0.999500,Solved,9.600000
cgl_direct_descent_very_short_2,coarse,20,1,140,0.711934,0.784206,Solved,9.600000
cgl_direct_descent_very_short_2,fine,3,1,16,0.175109,0.188229,Solved,9.600000
cgl_direct_descent_very_short_2,total,23,2,156,0.887043,0.979528,Solved,9.600000
cgl_direct_descent_very_short_3,coarse,20,1,140,0.709693,0.780903,Solved,9.600000
cgl_direct_descent_very_short_3,fine,3,1,16,0.167924,0.180919,Solved,9.600000
cgl_direct_descent_very_short_3,total,23,2,156,0.877617,0.968031,Solved,9.600000
cgl_direct_descent_very_short_4,coarse,20,1,140,0.709888,0.791110,Solved,9.600000
cgl_direct_descent_very_short_4,fine,3,1,16,0.170511,0.183145,Solved,9.600000
cgl_direct_descent_very_short_4,total,23,2,156,0.880399,0.981793,Solved,9.600000
cgl_direct_descent_very_short_5,coarse,20,1,140,0.714072,0.795300,Solved,9.600000
cgl_direct_descent_very_short_5,fine,3,1,16,0.170677,0.181908,Solved,9.600000
cgl_direct_descent_very_short_5,total,23,2,156,0.884749,0.983531,Solved,9.600000
cgl_direct_descent_very_short_6,coarse,20,1,140,0.715738,0.795902,Solved,9.600000
cgl_direct_descent_very_short_6,fine,3,1,16,0.171456,0.182095,Solved,9.600000
cgl_direct_descent_very_short_6,total,23,2,156,0.887194,0.983534,Solved,9.600000
cgl_direct_descent_very_short_7,coarse,20,1,140,0.711877,0.786715,Solved,9.600000
cgl_direct_descent_very_short_7,fine,3,1,16,0.169927,0.180593,Solved,9.600000
cgl_direct_descent_very_short_7,total,23,2,156,0.881804,0.972820,Solved,9.600000
cgl_direct_descent_very_short_8,coarse,20,1,140,0.713085,0.787130,Solved,9.600000
cgl_direct_descent_very_short_8,fine,3,1,16,0.168829,0.180338,Solved,9.600000
cgl_direct_descent_very_short_8,total,23,2,156,0.881914,0.973417,Solved,9.600000
cgl_direct_descent_very_short_9,coarse,20,1,140,0.709205,0.786002,Solved,9.600000
cgl_direct_descent_very_short_9,fine,3,1,16,0.172406,0.185686,Solved,9.600000
cgl_direct_descent_very_short_9,total,23,2,156,0.881610,0.978455,Solved,9.600000
cgl_direct_descent_very_short_10,coarse,20,1,140,0.717313,0.804697,Solved,9.600000
cgl_direct_descent_very_short_10,fine,3,1,16,0.170580,0.181837,Solved,9.600000
cgl_direct_descent_very_short_10,total,23,2,156,0.887893,0.992369,Solved,9.600000
cgl_direct_descent_very_short_1,coarse,20,1,140,0.702491,0.773062,Solved,9.500000
cgl_direct_descent_very_short_1,fine,1,1,11,0.079954,0.084362,Solved,9.500000
cgl_direct_descent_very_short_1,total,21,2,151,0.782445,0.862952,Solved,9.500000
cgl_direct_descent_very_short_2,coarse,20,1,140,0.697895,0.769418,Solved,9.500000
cgl_direct_descent_very_short_2,fine,1,1,11,0.090748,0.097509,Solved,9.500000
cgl_direct_descent_very_short_2,total,21,2,151,0.788644,0.874539,Solved,9.500000
cgl_direct_descent_very_short_3,coarse,20,1,140,0.708596,0.788232,Solved,9.500000
cgl_direct_descent_very_short_3,fine,1,1,11,0.077950,0.082594,Solved,9.500000
cgl_direct_descent_very_short_3,total,21,2,151,0.786546,0.876777,Solved,9.500000
cgl_direct_descent_very_short_4,coarse,20,1,140,0.703174,0.775886,Solved,9.500000
cgl_direct_descent_very_short_4,fine,1,1,11,0.078096,0.082220,Solved,9.500000
cgl_direct_descent_very_short_4,total,21,2,151,0.781270,0.863422,Solved,9.500000
cgl_direct_descent_very_short_5,coarse,20,1,140,0.699413,0.777003,Solved,9.500000
cgl_direct_descent_very_short_5,fine,1,1,11,0.079100,0.084568,Solved,9.500000
cgl_direct_descent_very_short_5,total,21,2,151,0.778513,0.867272,Solved,9.500000
cgl_direct_descent_very_short_6,coarse,20,1,140,0.717813,0.796781,Solved,9.500000
cgl_direct_descent_very_short_6,fine,1,1,11,0.078218,0.082618,Solved,9.500000
cgl_direct_descent_very_short_6,total,21,2,151,0.796032,0.885207,Solved,9.500000
cgl_direct_descent_very_short_7,coarse,20,1,140,0.702537,0.776188,Solved,9.500000
cgl_direct_descent_very_short_7,fine,1,1,11,0.078167,0.082321,Solved,9.500000
cgl_direct_descent_very_short_7,total,21,2,151,0.780704,0.864498,Solved,9.500000
cgl_direct_descent_very_short_8,coarse,20,1,140,0.704526,0.778734,Solved,9.500000
cgl_direct_descent_very_short_8,fine,1,1,11,0.080954,0.085268,Solved,9.500000
cgl_direct_descent_very_short_8,total,21,2,151,0.785480,0.870322,Solved,9.500000
cgl_direct_descent_very_short_9,coarse,20,1,140,0.718830,0.792111,Solved,9.500000
cgl_direct_descent_very_short_9,fine,1,1,11,0.078391,0.082448,Solved,9.500000
cgl_direct_descent_very_short_9,total,21,2,151,0.797221,0.879961,Solved,9.500000
cgl_direct_descent_very_short_10,coarse,20,1,140,0.703339,0.777309,Solved,9.500000
cgl_direct_descent_very_short_10,fine,1,1,11,0.078548,0.083669,Solved,9.500000
cgl_direct_descent_very_short_10,total,21,2,151,0.781887,0.866000,Solved,9.500000
cgl_direct_descent_very_short_1,coarse,20,1,140,0.699163,0.773242,Solved,9.600000
