t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.999999999971685,0,0,-0.0000000002971091677849079,79.99999997187129,0,0,3.7060803833387435,5.000214830184717,296.4864305628522
1,-0,-0,49.962056891572956,-0,-0,-0.6804992747752909,79.97474108455651,-0,-0,3.714215928109451,5.0185882963328785,297.0434571826891
2,0,0,49.84824189400994,0,0,-1.3613206230033985,79.94953761230063,0,0,3.706901414098349,5.000193477232908,296.3650540315464
3,0,0,49.658593490222515,0,0,-2.0405002265650865,79.92415534146222,0,0,3.7019313750010006,4.990642234272825,295.8737382790128
4,-0,-0,49.39300585590008,-0,-0,-2.723177963228916,79.89910818427933,-0,-0,3.7201315169156923,5.018407856507006,297.23519052979407
5,-0,-0,49.05200042147751,-0,-0,-3.388475175542309,79.8734554347226,-0,-0,3.9870489617096383,5.050336069998564,318.4593775591718
6,0,0,48.63878993456994,0,0,-4.014140478824095,79.84886024173919,0,0,4.499423028985441,4.775813206403103,359.2738006099213
7,-0,-0,48.16053199193786,-0,-0,-4.538554413545266,79.82303051000153,-0,-0,5.890134034978184,5.771143141023464,470.16834878206197
8,0,0,47.63425718948642,0,0,-4.8633749887567905,79.78861380587253,0,0,7.9094258516876685,7.919601217495766,631.0821247064918
9,0,0,47.083710797692575,0,0,-4.984772783411588,79.7444465624901,0,0,9.361840438936513,9.412689717847543,746.5547846093316
10,-0,-0,46.52650293841592,-0,-0,-5.001702490356622,79.69579982956407,-0,-0,9.818977643470319,9.78398931107545,782.5312768049753
11,-0,-0,45.9689347400778,-0,-0,-4.999832833118848,79.64653682941446,-0,-0,9.810525355228627,9.79102726630608,781.3743690211212
12,0,0,45.41140101528624,0,0,-5.000919665185992,79.59721553667983,0,0,9.802212649555198,9.83473045719272,780.2288330030145
13,0,0,44.85380689522133,0,0,-5.000299151792042,79.54777737321373,0,0,9.825967060778922,9.834112407343875,781.633840227373
14,-0,-0,44.296366209720624,-0,-0,-4.998884285607185,79.49851383614707,-0,-0,9.813453948817955,9.786018075518461,780.1550045304963
15,-0,-0,43.73896266045509,-0,-0,-4.999741356480107,79.44941702790145,-0,-0,9.795047204558642,9.789006360534842,778.2107901629598
16,0,0,43.1814083589516,0,0,-5.001009737983488,79.40022447159134,0,0,9.806459080754307,9.82957320354596,778.6350522833673
17,0,0,42.62381456817061,0,0,-5.000366500831441,79.35094045377654,0,0,9.822377436473571,9.830653402374201,779.4148870761327
18,-0,-0,42.066348104796994,-0,-0,-4.999167131938666,79.30177841532644,-0,-0,9.815443322492069,9.796728218601768,778.3821114084616
19,-0,-0,41.50894082741762,-0,-0,-4.999451767446802,79.25276716072975,-0,-0,9.800751031006307,9.78847645697968,776.7366394606248
20,0,0,40.95143741268123,0,0,-5.000577249790538,79.20373730770918,0,0,9.802364998715815,9.81530229690961,776.3839423525704
21,0,0,40.39385173271302,0,0,-5.000711721886337,79.15461899486142,0,0,9.815286691654729,9.831228380737345,776.9252784032639
22,-0,-0,39.83632101991491,-0,-0,-4.999770487798759,79.10553219768207,-0,-0,9.81891722969162,9.813759715047501,776.7306730597456
23,-0,-0,39.27888633921746,-0,-0,-4.999240833117302,79.05658109191288,-0,-0,9.809377375116862,9.792328254805474,775.4958379171017
24,-0,-0,38.72144620953309,-0,-0,-4.999831435030329,79.00770587412333,-0,-0,9.801708755982212,9.797925870097906,774.4105224564619
25,0,0,38.16391665013113,0,0,-5.000613618323703,78.95878843620412,0,0,9.806139505956246,9.819960059694568,774.2808946267023
26,0,0,37.60634432860713,0,0,-5.000508208537102,78.9098223997873,0,0,9.815332275512091,9.826782758462407,774.5261266555593
27,-0,-0,37.04882946094032,-0,-0,-4.9997325684715905,78.860908894768,-0,-0,9.816712761762734,9.810664766489179,774.1548907514773
28,-0,-0,36.49138826861783,-0,-0,-4.999353812014624,78.81211094910724,-0,-0,9.809315418376748,9.794710123381357,773.0928550878965
29,-0,-0,35.9339402610194,-0,-0,-4.999826855797276,78.7633753192493,-0,-0,9.803359884819177,9.799447897991323,772.1457139976854
30,0,0,35.376419452508436,0,0,-5.000493351200231,78.71461158341887,0,0,9.80612992201411,9.817298659883548,771.8857079478822
31,0,0,34.81885556542661,0,0,-5.000512883864666,78.66580918047917,0,0,9.813468910085287,9.825078123261555,771.9844726793341
32,-0,-0,34.26132954596085,-0,-0,-4.999903522790046,78.61704378274868,-0,-0,9.8161242354136,9.813925258473303,771.7146687924114
33,-0,-0,33.703871349041336,-0,-0,-4.999438820428042,78.56837807615173,-0,-0,9.81128671979111,9.798555569104952,770.8568844140744
34,-0,-0,33.14642781538164,-0,-0,-4.999663866600401,78.51978715597264,-0,-0,9.805207303561833,9.797583867376822,769.9027904958635
35,0,0,32.588931300710435,0,0,-5.0002762145188875,78.47119420399785,0,0,9.805061672318356,9.81132993896361,769.4148986706697
36,0,0,32.03137970924114,0,0,-5.000543194018328,78.42256420279139,0,0,9.810635860139259,9.822957061961468,769.3752206119785
37,0,0,31.473834885176526,0,0,-5.000173983059063,78.37394213672903,0,0,9.815211466141934,9.819148023709689,769.2568155071672
38,-0,-0,30.916348065962215,-0,-0,-4.999619170508726,78.32539659573753,-0,-0,9.813660619742796,9.805004227468991,768.6588600973258
39,-0,-0,30.358902291922117,-0,-0,-4.99951467081335,78.2769401710317,-0,-0,9.808053340692071,9.797030499941377,767.7444045436408
40,-0,-0,29.801434993309,-0,-0,-4.999959502718073,78.22851792257252,-0,-0,9.804849462326793,9.803930727682735,767.018841891757
41,0,0,29.243910114417755,0,0,-5.000436571559668,78.18007220516284,0,0,9.807488598709698,9.817401061698815,766.7501667984355
42,0,0,28.686356953175757,0,0,-5.000416054108155,78.13160714119272,0,0,9.812806798238793,9.822247550875884,766.6903657124185
43,-0,-0,28.128835074203486,-0,-0,-4.999937447764861,78.08318162587888,-0,-0,9.814862686237031,9.813428048877775,766.3757057625076
44,-0,-0,27.57136771460625,-0,-0,-4.999540283097051,78.03484230779902,-0,-0,9.811534479441354,9.801077020278067,765.6415459007391
45,-0,-0,27.013917709062788,-0,-0,-4.999655965868322,77.9865726698324,-0,-0,9.806631656400006,9.798807302301462,764.7855923181179
