t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000014,0,0,0.000000000000000009902325758709383,80.00000000000011,0,0,12.499675788782397,12.499677195541562,999.9740631025932
1,-0,-0,49.989023984614896,-0,-0,-0.3053966048201841,79.96006825741546,-0,-0,5.586984249891082,5.586984199852674,446.73564197439606
2,0,0,49.92323815028548,0,0,-0.7636932307468756,79.92707700723302,0,0,6.402973284191953,6.402973283563412,511.77093876086593
3,0,0,49.805803116083034,0,0,-1.1838786190601747,79.89237503464405,0,0,6.109302338604934,6.109302221309296,488.0866736358533
4,-0,-0,49.634012350300864,-0,-0,-1.6657115468987727,79.8604761663996,-0,-0,5.623474094485752,5.623473898882262,449.09331889504494
5,-0,-0,49.40175896453979,-0,-0,-2.170296889950899,79.82961863632653,-0,-0,5.761129585623963,5.76112942747334,459.90877773481884
6,0,0,49.1107176031692,0,0,-2.6293947553835126,79.79671741791245,0,0,6.293541352173408,6.293541253388336,502.20394083732805
7,0,0,48.768092640280194,0,0,-3.0243211633793665,79.76093109116164,0,0,6.762018500212509,6.762018407212672,539.3448916326101
8,0,0,48.380525983506004,0,0,-3.3772427035856674,79.72326433323416,0,0,6.987352346455329,6.9873522077218295,557.0545381059021
9,-0,-0,47.95147292503143,-0,-0,-3.712631485369011,79.68482416315415,-0,-0,7.08603702241823,7.08603683004638,564.649614144997
10,-0,-0,47.48264890841389,-0,-0,-4.032853243605114,79.64571842240258,-0,-0,7.27041702925038,7.270416811626695,579.0575875251164
11,-0,-0,46.97691535811119,-0,-0,-4.318310588830195,79.60506462272724,-0,-0,7.670130129047122,7.670129921520692,610.5812045875234
12,0,0,46.440100442666,0,0,-4.542566197459617,79.56167395872319,0,0,8.267684718167837,8.26768453918455,657.7908359403878
13,0,0,45.880791058357154,0,0,-4.688707959859029,79.51478936532051,0,0,8.934784270479312,8.934784115151707,710.4474892917414
14,0,0,45.30855681968268,0,0,-4.757998860438353,79.46447388504683,0,0,9.513494218072285,9.513494066649267,755.9848128475492
15,0,0,44.731729116595645,0,0,-4.768745555473735,79.4115573498644,0,0,9.889697645288187,9.889697477232213,785.3562917316218
16,-0,-0,44.15577555369778,-0,-0,-4.748333968254097,79.35727574789661,-0,-0,10.03003301086561,10.030032815789836,795.9560954037679
17,-0,-0,43.582806539787455,-0,-0,-4.7232987785222225,79.30282360193912,-0,-0,9.978532883747974,9.978532664852114,791.3258330860145
18,-0,-0,43.01218105606456,-0,-0,-4.711643136985229,79.2490092903417,-0,-0,9.825713270518905,9.825713040908644,778.6780422595865
19,-0,-0,42.44178224900266,-0,-0,-4.719627070448272,79.19611232659719,-0,-0,9.668706941549999,9.66870671681153,765.7240009959437
20,-0,-0,41.86939899819187,-0,-0,-4.743082063785172,79.14394408711523,-0,-0,9.578481441977566,9.578481233039158,758.0787996833433
21,0,0,41.293744583360585,0,0,-4.771766598779358,79.09204444825126,0,0,9.583200995264658,9.583200804439166,757.954959073998
22,0,0,40.714870419706884,0,0,-4.794653961915691,79.03991935240182,0,0,9.669118740380911,9.66911856154517,764.2463654485043
23,0,0,40.133982321766894,0,0,-4.804254984270652,78.98723428638559,0,0,9.79456278162243,9.794562603697004,773.6454251647234
24,0,0,39.55285498446085,0,0,-4.798819419869847,78.9339121774256,0,0,9.909722042072922,9.90972185391441,782.2131293716826
25,0,0,38.97312537590281,0,0,-4.782166295471464,78.88012496315521,0,0,9.974968024409733,9.974967819085833,786.8267242689172
26,-0,-0,38.39572691827416,-0,-0,-4.761661467551088,78.82620245853997,-0,-0,9.97253553317437,9.972535310181204,786.0971049629867
27,-0,-0,37.82063285447839,-0,-0,-4.745307940800284,78.77250200518152,-0,-0,9.909407829242603,9.909407594180307,780.5888480991745
28,-0,-0,37.246952025733414,-0,-0,-4.738993302159198,78.71928566728329,-0,-0,9.812167906151549,9.812167668308158,772.4068484196927
29,-0,-0,36.6733052160054,-0,-0,-4.744709883585482,78.6666412714732,-0,-0,9.716654855007077,9.716654623922375,764.3766018375601
30,-0,-0,36.09833525731197,-0,-0,-4.760152920425312,78.61446510850959,-0,-0,9.656165443216956,9.656165225475824,759.1142813177754
31,0,0,35.52118247295382,0,0,-4.779653778959807,78.56250408866386,0,0,9.651696547892474,9.65169634515789,758.2614495063453
32,0,0,34.9417855548822,0,0,-4.7960419829337235,78.51043901891953,0,0,9.706630971756216,9.706630780539514,762.071858987222
33,0,0,34.360931157023344,0,0,-4.802828523221142,78.4579818317351,0,0,9.806759099918187,9.80675891299282,769.418527289584
34,0,0,33.780051771382226,0,0,-4.796087182475952,78.40495902754775,0,0,9.925040955374303,9.925040764252959,778.1724294528556
35,0,0,33.20083948231196,0,0,-4.77555530530868,78.35136014635525,0,0,10.029395846075328,10.029395643712542,785.8168059862073
36,-0,-0,32.62478685269241,-0,-0,-4.744721985296283,78.29734112865745,-0,-0,10.09126057234056,10.091260355236624,790.1188714507199
37,-0,-0,32.052777532175405,-0,-0,-4.709947004564684,78.24318469773465,-0,-0,10.092720543005681,10.092720312134281,789.6865975490142
38,-0,-0,31.484828992494226,-0,-0,-4.678889249806798,78.18923032336929,-0,-0,10.030588943685455,10.030588704053324,784.2840291968635
39,-0,-0,30.920046201017193,-0,-0,-4.658668590857304,78.13579268925898,-0,-0,9.916690145088808,9.916689904138734,774.8484453402766
40,-0,-0,30.356790649567426,-0,-0,-4.654216967427173,78.08308887493523,-0,-0,9.774559065286715,9.774558830666146,763.2277642080863
41,-0,-0,29.793017679936533,-0,-0,-4.667197382483326,78.03119093291264,-0,-0,9.63357830211179,9.633578079472255,751.7195878592494
42,0,0,29.226698152831858,0,0,-4.695711755953178,77.98001348148763,0,0,9.522078210372523,9.522078001816592,742.531787216629
43,0,0,28.656225467720123,0,0,-4.734822875216346,77.92933725567072,0,0,9.461043967559668,9.46104377114015,737.2928861386863
44,0,0,28.080717511988013,0,0,-4.77772869837616,77.87886132382076,0,0,9.45981925529199,9.459819065659817,736.7199519312942
45,0,0,27.500151682771996,0,0,-4.817289543871649,77.82827065469286,0,0,9.514656214390733,9.514656024370593,740.5092390399574
46,0,0,26.915311949242543,0,0,-4.847546754525408,77.77730305605333,0,0,9.610274472946303,9.610274275575762,747.4612301341978
47,0,0,26.327570144458242,0,0,-4.864893540854045,77.72580055026923,0,0,9.72391537924747,9.723915169706332,755.7991073350845
48,-0,-0,25.738559562872595,-0,-0,-4.868654722810387,77.67373454469802,-0,-0,9.830853820714259,9.83085359761773,763.5991300178896
49,-0,-0,25.149819948575875,-0,-0,-4.860976844932784,77.62120057564685,-0,-0,9.910060465397073,9.910060231111759,769.2307911013744
50,-0,-0,24.562495196526484,-0,-0,-4.84608965057603,77.56838544472483,-0,-0,9.94873474401128,9.948734503924326,771.7072913107927
51,-0,-0,23.977148931360922,-0,-0,-4.829138839130898,77.51551566114863,-0,-0,9.944733005933841,9.944732766889965,770.8711070674063
52,-0,-0,23.39373293449022,-0,-0,-4.814879038240407,77.46279996323526,-0,-0,9.906420941034302,9.906420709379336,767.3791037069449
53,0,0,22.81170640802061,0,0,-4.806537370849277,77.41037955830015,0,0,9.850070415993953,9.850070195768184,762.4976895780753
54,0,0,22.230268789290715,0,0,-4.805109173120327,77.35829750011806,0,0,9.795470188918737,9.79546998070326,757.7608970279132
55,0,0,21.648643161704317,0,0,-4.80924065463925,77.30649388457648,0,0,9.760811249042332,9.76081104978541,754.5740951325964
56,0,0,21.066336874342767,0,0,-4.815713089151962,77.25482737777031,0,0,9.75805922474588,9.75805902863045,753.8571809498021
57,0,0,20.483312967374545,0,0,-4.8204009067956965,77.20311737555913,0,0,9.789907430168174,9.789907230294174,755.811372427132
58,0,0,19.900028693637484,0,0,-4.819463584509385,77.15119621156143,0,0,9.849040255138066,9.849040045560763,759.8652372197239
59,-0,-0,19.317330596735733,-0,-0,-4.8104739346181615,77.0989583817379,-0,-0,9.919904958540005,9.919904736091903,764.8143395492713
60,-0,-0,18.736231609072625,-0,-0,-4.793196952368057,77.04639432290467,-0,-0,9.982604355175878,9.982604120540335,769.1236715184262
61,-0,-0,18.157626053938415,-0,-0,-4.769812594564992,76.99359980256982,-0,-0,10.01801143025421,10.018011187949504,771.3227628785628
62,-0,-0,17.582015929306007,-0,-0,-4.744506469515535,76.9407577219346,-0,-0,10.012885884381946,10.012885641610755,770.3990269276102
63,-0,-0,17.009321815867136,-0,-0,-4.722506068682205,76.88809584850763,-0,-0,9.963721966497577,9.963721731142815,766.0916095679466
64,-0,-0,16.43883347764686,-0,-0,-4.708782013121775,76.83583014974967,-0,-0,9.878301724298094,9.878301502612423,759.0075134561476
65,0,0,15.869322246768215,0,0,-4.706729761247885,76.78410751464361,0,0,9.774429484004408,9.774429278666814,750.5208443940969
66,0,0,15.299296828778129,0,0,-4.717171647280996,76.73296262866556,0,0,9.675983660040238,9.675983469191598,742.4668925814462
67,0,0,14.727345724095754,0,0,-4.737961056052546,76.68230116369791,0,0,9.607099178100448,9.607098995720508,736.6944724846132
68,0,0,14.152482754224962,0,0,-4.764337508350682,76.63191561223557,0,0,9.58582973460692,9.585829552213088,734.580495295656
69,0,0,13.574404880608888,0,0,-4.789999414105835,76.58153217817346,0,0,9.618892541474926,9.61889235070855,736.6295286833547
70,-0,-0,12.99358720729185,-0,-0,-4.808670590936877,76.53087888675603,-0,-0,9.698978287951336,9.698978083293078,742.27133268048
71,-0,-0,12.411176992907338,-0,-0,-4.815784210173824,76.47975852016486,-0,-0,9.805602345297192,9.805602126032305,749.9300995130915
